date,tnwiki (100+),tnwiki (5+),tnwiki (all)
2012/08/19,,7,19
2012/08/20,,7,17
2012/08/21,,7,17
2012/08/22,,8,17
2012/08/23,,8,17
2012/08/24,,7,17
2012/08/25,,8,19
2012/08/26,,8,18
2012/08/27,,8,19
2012/08/28,,8,19
2012/08/29,,8,21
2012/08/30,,8,20
2012/08/31,,7,21
2012/09/01,,7,21
2012/09/02,,7,20
2012/09/03,,7,20
2012/09/04,,7,20
2012/09/05,,8,20
2012/09/06,,8,20
2012/09/07,,8,21
2012/09/08,,8,21
2012/09/09,,8,21
2012/09/10,,7,20
2012/09/11,,6,20
2012/09/12,,7,21
2012/09/13,,7,21
2012/09/14,,7,21
2012/09/15,,7,21
2012/09/16,,7,21
2012/09/17,,7,21
2012/09/18,,7,21
2012/09/19,,7,21
2012/09/20,,8,22
2012/09/21,,8,21
2012/09/22,,8,24
2012/09/23,,8,24
2012/09/24,,8,23
2012/09/25,,8,23
2012/09/26,,9,23
2012/09/27,,9,23
2012/09/28,,9,22
2012/09/29,,9,22
2012/09/30,,9,21
2012/10/01,,9,20
2012/10/02,,9,20
2012/10/03,,9,20
2012/10/04,,10,22
2012/10/05,,10,22
2012/10/06,,10,22
2012/10/07,,10,20
2012/10/08,,10,20
2012/10/09,,10,19
2012/10/10,,10,19
2012/10/11,,10,19
2012/10/12,,10,19
2012/10/13,,10,19
2012/10/14,,10,20
2012/10/15,,10,20
2012/10/16,,10,21
2012/10/17,,10,21
2012/10/18,,10,21
2012/10/19,,9,20
2012/10/20,,9,19
2012/10/21,,10,20
2012/10/22,,9,18
2012/10/23,,8,18
2012/10/24,,8,17
2012/10/25,,7,18
2012/10/26,,7,18
2012/10/27,,7,17
2012/10/28,,7,16
2012/10/29,,7,17
2012/10/30,,7,18
2012/10/31,,7,19
2012/11/01,,7,19
2012/11/02,,7,19
2012/11/03,,6,17
2012/11/04,,6,18
2012/11/05,,6,18
2012/11/06,,6,18
2012/11/07,,6,18
2012/11/08,,6,19
2012/11/09,,6,19
2012/11/10,,6,19
2012/11/11,,6,19
2012/11/12,,7,19
2012/11/13,,9,19
2012/11/14,,9,19
2012/11/15,,9,19
2012/11/16,,9,19
2012/11/17,,9,19
2012/11/18,,9,19
2012/11/19,,9,19
2012/11/20,,8,19
2012/11/21,,8,18
2012/11/22,,9,21
2012/11/23,,9,20
2012/11/24,,9,20
2012/11/25,,9,21
2012/11/26,,9,21
2012/11/27,,9,20
2012/11/28,,9,19
2012/11/29,,10,19
2012/11/30,,11,21
2012/12/01,,11,21
2012/12/02,,11,21
2012/12/03,,11,21
2012/12/04,,11,23
2012/12/05,,10,23
2012/12/06,,10,23
2012/12/07,,10,23
2012/12/08,,10,22
2012/12/09,,11,22
2012/12/10,,12,23
2012/12/11,,12,24
2012/12/12,,12,24
2012/12/13,,10,26
2012/12/14,1,10,27
2012/12/15,1,10,27
2012/12/16,1,10,27
2012/12/17,1,10,28
2012/12/18,1,10,28
2012/12/19,1,10,28
2012/12/20,1,10,28
2012/12/21,1,10,28
2012/12/22,1,9,27
2012/12/23,1,10,27
2012/12/24,1,10,27
2012/12/25,1,11,26
2012/12/26,1,10,26
2012/12/27,1,10,26
2012/12/28,1,10,26
2012/12/29,,10,27
2012/12/30,,10,25
2012/12/31,,10,25
2013/01/01,,10,26
2013/01/02,,11,26
2013/01/03,,11,26
2013/01/04,,11,26
2013/01/05,,11,25
2013/01/06,,10,25
2013/01/07,,10,26
2013/01/08,,10,25
2013/01/09,,9,24
2013/01/10,,9,23
2013/01/11,,10,23
2013/01/12,,9,22
2013/01/13,,9,22
2013/01/14,,10,20
2013/01/15,,10,20
2013/01/16,,11,19
2013/01/17,,11,19
2013/01/18,,11,19
2013/01/19,,10,19
2013/01/20,,10,19
2013/01/21,,10,19
2013/01/22,,10,18
2013/01/23,,8,18
2013/01/24,,8,19
2013/01/25,,8,19
2013/01/26,,8,19
2013/01/27,,8,19
2013/01/28,,8,19
2013/01/29,,10,22
2013/01/30,,10,21
2013/01/31,,11,20
2013/02/01,,11,20
2013/02/02,,10,20
2013/02/03,,10,21
2013/02/04,,10,21
2013/02/05,,10,21
2013/02/06,,10,20
2013/02/07,,10,20
2013/02/08,,10,20
2013/02/09,,10,20
2013/02/10,,10,18
2013/02/11,,10,18
2013/02/12,,10,18
2013/02/13,,10,20
2013/02/14,,10,19
2013/02/15,,10,19
2013/02/16,,10,21
2013/02/17,,10,21
2013/02/18,,10,21
2013/02/19,,10,21
2013/02/20,,10,21
2013/02/21,,10,21
2013/02/22,,10,21
2013/02/23,,9,21
2013/02/24,,9,19
2013/02/25,,9,19
2013/02/26,,9,20
2013/02/27,,10,20
2013/02/28,,7,17
2013/03/01,,7,18
2013/03/02,,6,18
2013/03/03,,6,18
2013/03/04,,6,18
2013/03/05,,6,18
2013/03/06,,5,18
2013/03/07,,5,18
2013/03/08,1,6,17
2013/03/09,1,6,17
2013/03/10,1,5,17
2013/03/11,1,4,17
2013/03/12,2,5,18
2013/03/13,2,5,18
2013/03/14,2,5,18
2013/03/15,2,5,15
2013/03/16,2,5,15
2013/03/17,2,5,15
2013/03/18,2,5,13
2013/03/19,2,5,13
2013/03/20,2,5,13
2013/03/21,2,5,13
2013/03/22,2,5,13
2013/03/23,2,5,13
2013/03/24,2,5,12
2013/03/25,2,5,12
2013/03/26,2,5,13
2013/03/27,2,5,13
2013/03/28,2,5,13
2013/03/29,2,2,13
2013/03/30,2,3,12
2013/03/31,2,3,11
2013/04/01,2,3,9
2013/04/02,2,3,9
2013/04/03,2,3,9
2013/04/04,2,3,7
2013/04/05,2,3,6
2013/04/06,2,3,6
2013/04/07,1,3,6
2013/04/08,1,3,6
2013/04/09,1,3,6
2013/04/10,1,3,6
2013/04/11,,3,5
2013/04/12,,3,4
2013/04/13,,3,4
2013/04/14,,3,4
2013/04/15,,3,5
2013/04/16,,3,5
2013/04/17,,3,5
2013/04/18,,3,6
2013/04/19,,3,6
2013/04/20,,3,6
2013/04/21,,3,6
2013/04/22,,3,6
2013/04/23,,3,6
2013/04/24,,3,6
2013/04/25,,3,6
2013/04/26,,3,6
2013/04/27,,3,6
2013/04/28,,3,6
2013/04/29,,3,6
2013/04/30,,2,6
2013/05/01,,2,6
2013/05/02,,2,5
2013/05/03,,1,4
2013/05/04,,1,4
2013/05/05,,1,4
2013/05/06,,1,4
2013/05/07,,1,3
2013/05/08,,1,3
2013/05/09,,1,3
2013/05/10,,1,3
2013/05/11,,1,3
2013/05/12,,1,3
2013/05/13,,1,3
2013/05/14,,1,3
2013/05/15,,,2
2013/05/16,,,2
2013/05/17,,,2
2013/05/18,,,1
2013/05/19,,,1
2013/05/20,,,1
2013/05/21,,,1
2013/05/22,,,1
2013/05/23,,,1
2013/05/24,,,1
2013/05/25,,,2
2013/05/26,,,2
2013/05/27,,,2
2013/05/28,,,2
2013/05/29,,,2
2013/05/30,,,2
2013/05/31,,,2
2013/06/01,,,2
2013/06/02,,,2
2013/06/03,,,2
2013/06/04,,,2
2013/06/05,,,2
2013/06/06,,,2
2013/06/07,,,2
2013/06/08,,,2
2013/06/09,,2,4
2013/06/10,,2,4
2013/06/11,,2,4
2013/06/12,,2,4
2013/06/13,,2,4
2013/06/14,,2,4
2013/06/15,,2,4
2013/06/16,,2,4
2013/06/17,,2,4
2013/06/18,,2,4
2013/06/19,,2,4
2013/06/20,,2,4
2013/06/21,,2,4
2013/06/22,,2,5
2013/06/23,,2,5
2013/06/24,,2,4
2013/06/25,,2,4
2013/06/26,,2,4
2013/06/27,,2,4
2013/06/28,,2,4
2013/06/29,,2,4
2013/06/30,,2,4
2013/07/01,,2,4
2013/07/02,,2,3
2013/07/03,,2,3
2013/07/04,,2,3
2013/07/05,,2,3
2013/07/06,,2,3
2013/07/07,,2,3
2013/07/08,,2,4
2013/07/09,,,2
2013/07/10,,,2
2013/07/11,,,3
2013/07/12,,,3
2013/07/13,,,4
2013/07/14,,,4
2013/07/15,,1,4
2013/07/16,,1,4
2013/07/17,,1,4
2013/07/18,,1,4
2013/07/19,,1,4
2013/07/20,,1,4
2013/07/21,,1,4
2013/07/22,,1,4
2013/07/23,,1,4
2013/07/24,,1,4
2013/07/25,,1,4
2013/07/26,,1,4
2013/07/27,,1,4
2013/07/28,,1,4
2013/07/29,,1,4
2013/07/30,,1,4
2013/07/31,,1,4
2013/08/01,,1,5
2013/08/02,,1,5
2013/08/03,,1,5
2013/08/04,,1,5
2013/08/05,,1,5
2013/08/06,,1,5
2013/08/07,,1,5
2013/08/08,,1,4
2013/08/09,,1,4
2013/08/10,,1,3
2013/08/11,,1,3
2013/08/12,,1,3
2013/08/13,,1,3
2013/08/14,,,3
2013/08/15,,,3
2013/08/16,,,3
2013/08/17,,,4
2013/08/18,,,5
2013/08/19,,,6
2013/08/20,,,6
2013/08/21,,,6
2013/08/22,,,6
2013/08/23,,,6
2013/08/24,,1,7
2013/08/25,,1,7
2013/08/26,,1,7
2013/08/27,,1,7
2013/08/28,,1,7
2013/08/29,,1,7
2013/08/30,,1,6
2013/08/31,,1,5
2013/09/01,,1,5
2013/09/02,,1,5
2013/09/03,,1,5
2013/09/04,,1,5
2013/09/05,,1,5
2013/09/06,,1,5
2013/09/07,,1,5
2013/09/08,,1,5
2013/09/09,,1,5
2013/09/10,,1,5
2013/09/11,,1,4
2013/09/12,,1,4
2013/09/13,,1,4
2013/09/14,,1,4
2013/09/15,,1,4
2013/09/16,,1,3
2013/09/17,,1,2
2013/09/18,,,3
2013/09/19,,1,3
2013/09/20,,1,3
2013/09/21,,1,3
2013/09/22,,1,3
2013/09/23,,1,1
2013/09/24,,1,1
2013/09/25,,1,1
2013/09/26,,1,1
2013/09/27,,1,1
2013/09/28,,1,1
2013/09/29,,1,1
2013/09/30,,1,1
2013/10/01,,1,1
2013/10/02,,1,1
2013/10/03,,1,1
2013/10/04,,1,1
2013/10/05,,1,2
2013/10/06,,1,2
2013/10/07,,1,2
2013/10/08,,1,2
2013/10/09,,1,2
2013/10/10,,1,2
2013/10/11,,1,2
2013/10/12,,1,2
2013/10/13,,1,2
2013/10/14,,1,2
2013/10/15,,1,2
2013/10/16,,1,2
2013/10/17,,1,2
2013/10/18,,,2
2013/10/19,,,1
2013/10/20,,,1
2013/10/21,,,1
2013/10/22,,,1
2013/10/23,,,1
2013/10/24,,,1
2013/10/25,,,1
2013/10/26,,,1
2013/10/27,,,1
2013/10/28,,,2
2013/10/29,,,3
2013/10/30,,,3
2013/10/31,,,3
2013/11/01,,,3
2013/11/02,,,3
2013/11/03,,,4
2013/11/04,,,3
2013/11/05,,,3
2013/11/06,,1,3
2013/11/07,,1,3
2013/11/08,,1,4
2013/11/09,,1,4
2013/11/10,,1,4
2013/11/11,,1,5
2013/11/12,,1,5
2013/11/13,,1,5
2013/11/14,,1,6
2013/11/15,,1,6
2013/11/16,,1,6
2013/11/17,,1,7
2013/11/18,,2,9
2013/11/19,,2,9
2013/11/20,,2,9
2013/11/21,,2,9
2013/11/22,,2,11
2013/11/23,,2,11
2013/11/24,,2,11
2013/11/25,,2,11
2013/11/26,,2,11
2013/11/27,,2,10
2013/11/28,,5,23
2013/11/29,,5,23
2013/11/30,,5,23
2013/12/01,,5,23
2013/12/02,,5,23
2013/12/03,,5,22
2013/12/04,,5,22
2013/12/05,,5,22
2013/12/06,,4,23
2013/12/07,,4,23
2013/12/08,,4,22
2013/12/09,,4,21
2013/12/10,,4,21
2013/12/11,,5,20
2013/12/12,,5,21
2013/12/13,,5,21
2013/12/14,,5,21
2013/12/15,,5,21
2013/12/16,,5,21
2013/12/17,,5,20
2013/12/18,,4,19
