date,angwiki (100+),angwiki (5+),angwiki (all)
2012/08/19,4,26,67
2012/08/20,4,25,66
2012/08/21,4,25,66
2012/08/22,4,24,64
2012/08/23,4,24,64
2012/08/24,4,24,64
2012/08/25,4,24,63
2012/08/26,4,22,61
2012/08/27,4,21,61
2012/08/28,4,20,61
2012/08/29,4,21,66
2012/08/30,4,22,67
2012/08/31,4,23,68
2012/09/01,4,23,68
2012/09/02,4,23,68
2012/09/03,4,23,70
2012/09/04,4,22,72
2012/09/05,4,22,73
2012/09/06,4,21,72
2012/09/07,4,22,69
2012/09/08,4,22,69
2012/09/09,4,21,67
2012/09/10,4,21,66
2012/09/11,4,18,66
2012/09/12,4,18,64
2012/09/13,4,19,66
2012/09/14,4,19,65
2012/09/15,4,19,65
2012/09/16,4,19,65
2012/09/17,4,19,63
2012/09/18,4,19,64
2012/09/19,4,18,63
2012/09/20,4,19,62
2012/09/21,4,18,60
2012/09/22,4,18,60
2012/09/23,4,17,59
2012/09/24,4,17,61
2012/09/25,4,19,61
2012/09/26,4,19,59
2012/09/27,4,19,60
2012/09/28,4,21,59
2012/09/29,4,20,56
2012/09/30,4,21,56
2012/10/01,4,21,56
2012/10/02,4,20,57
2012/10/03,4,20,54
2012/10/04,5,21,54
2012/10/05,5,20,53
2012/10/06,5,19,54
2012/10/07,5,18,55
2012/10/08,5,19,54
2012/10/09,5,19,52
2012/10/10,5,20,51
2012/10/11,5,20,51
2012/10/12,5,20,51
2012/10/13,5,21,51
2012/10/14,5,21,52
2012/10/15,5,21,51
2012/10/16,5,22,51
2012/10/17,5,22,52
2012/10/18,5,22,53
2012/10/19,5,23,55
2012/10/20,5,25,55
2012/10/21,5,25,56
2012/10/22,5,25,57
2012/10/23,5,25,56
2012/10/24,5,26,54
2012/10/25,5,26,53
2012/10/26,5,26,55
2012/10/27,5,26,55
2012/10/28,5,25,56
2012/10/29,5,26,61
2012/10/30,6,27,63
2012/10/31,6,28,62
2012/11/01,6,28,61
2012/11/02,6,28,62
2012/11/03,5,28,61
2012/11/04,5,28,62
2012/11/05,5,28,62
2012/11/06,5,28,62
2012/11/07,5,28,63
2012/11/08,5,28,63
2012/11/09,4,29,66
2012/11/10,4,30,66
2012/11/11,4,30,65
2012/11/12,5,30,64
2012/11/13,5,31,64
2012/11/14,4,31,63
2012/11/15,4,29,62
2012/11/16,5,27,63
2012/11/17,5,27,59
2012/11/18,5,27,59
2012/11/19,4,27,59
2012/11/20,5,27,60
2012/11/21,4,25,60
2012/11/22,5,25,60
2012/11/23,5,25,64
2012/11/24,4,26,64
2012/11/25,3,26,65
2012/11/26,3,26,66
2012/11/27,3,27,63
2012/11/28,4,27,59
2012/11/29,4,26,57
2012/11/30,2,25,57
2012/12/01,3,26,58
2012/12/02,4,27,58
2012/12/03,4,26,58
2012/12/04,4,26,59
2012/12/05,4,26,61
2012/12/06,4,26,60
2012/12/07,4,27,59
2012/12/08,4,26,59
2012/12/09,5,26,56
2012/12/10,5,26,56
2012/12/11,5,26,56
2012/12/12,4,26,55
2012/12/13,4,26,54
2012/12/14,4,26,57
2012/12/15,4,27,59
2012/12/16,4,26,60
2012/12/17,4,26,61
2012/12/18,4,25,61
2012/12/19,4,26,61
2012/12/20,4,26,59
2012/12/21,4,26,59
2012/12/22,5,26,59
2012/12/23,5,26,56
2012/12/24,5,26,56
2012/12/25,5,23,55
2012/12/26,5,23,54
2012/12/27,5,22,54
2012/12/28,5,23,55
2012/12/29,5,23,55
2012/12/30,5,22,56
2012/12/31,5,22,54
2013/01/01,5,22,54
2013/01/02,5,22,53
2013/01/03,5,22,50
2013/01/04,5,22,49
2013/01/05,4,22,47
2013/01/06,4,22,47
2013/01/07,4,21,48
2013/01/08,4,22,50
2013/01/09,4,22,51
2013/01/10,4,22,51
2013/01/11,4,22,52
2013/01/12,4,22,54
2013/01/13,4,23,50
2013/01/14,5,21,51
2013/01/15,5,21,52
2013/01/16,5,21,51
2013/01/17,4,21,51
2013/01/18,4,21,50
2013/01/19,4,21,53
2013/01/20,4,22,54
2013/01/21,4,22,55
2013/01/22,4,22,55
2013/01/23,4,22,56
2013/01/24,4,22,56
2013/01/25,4,22,56
2013/01/26,4,23,57
2013/01/27,4,23,56
2013/01/28,4,22,56
2013/01/29,4,22,57
2013/01/30,4,22,57
2013/01/31,4,22,59
2013/02/01,4,22,60
2013/02/02,4,22,61
2013/02/03,4,22,61
2013/02/04,4,22,62
2013/02/05,4,22,62
2013/02/06,5,22,62
2013/02/07,5,21,60
2013/02/08,5,20,59
2013/02/09,5,20,58
2013/02/10,5,21,57
2013/02/11,5,22,56
2013/02/12,5,23,56
2013/02/13,4,24,57
2013/02/14,4,23,56
2013/02/15,4,25,57
2013/02/16,4,24,61
2013/02/17,4,24,63
2013/02/18,4,24,59
2013/02/19,4,24,58
2013/02/20,4,24,57
2013/02/21,4,25,57
2013/02/22,4,25,56
2013/02/23,4,25,57
2013/02/24,4,24,56
2013/02/25,4,24,55
2013/02/26,5,24,56
2013/02/27,5,23,59
2013/02/28,5,22,58
2013/03/01,5,23,58
2013/03/02,5,23,58
2013/03/03,5,23,56
2013/03/04,5,23,55
2013/03/05,5,24,55
2013/03/06,5,24,54
2013/03/07,5,25,53
2013/03/08,6,25,52
2013/03/09,6,24,56
2013/03/10,6,24,56
2013/03/11,6,23,55
2013/03/12,7,22,56
2013/03/13,7,21,56
2013/03/14,7,20,56
2013/03/15,6,20,52
2013/03/16,5,19,52
2013/03/17,5,18,52
2013/03/18,5,18,48
2013/03/19,5,17,49
2013/03/20,5,17,49
