date,eewiki (100+),eewiki (5+),eewiki (all)
2012/08/19,,8,26
2012/08/20,,7,25
2012/08/21,,7,24
2012/08/22,,7,22
2012/08/23,,7,22
2012/08/24,,8,22
2012/08/25,,8,22
2012/08/26,,8,23
2012/08/27,,8,23
2012/08/28,,8,23
2012/08/29,,8,23
2012/08/30,,8,23
2012/08/31,,8,23
2012/09/01,,8,24
2012/09/02,,8,26
2012/09/03,,8,26
2012/09/04,,8,25
2012/09/05,,8,25
2012/09/06,,7,25
2012/09/07,,7,24
2012/09/08,,7,24
2012/09/09,,8,24
2012/09/10,,8,24
2012/09/11,,8,24
2012/09/12,,8,25
2012/09/13,,8,27
2012/09/14,,8,27
2012/09/15,,8,26
2012/09/16,,8,26
2012/09/17,,8,26
2012/09/18,,8,25
2012/09/19,,8,23
2012/09/20,,8,23
2012/09/21,,8,22
2012/09/22,,8,22
2012/09/23,,8,23
2012/09/24,,9,23
2012/09/25,,10,22
2012/09/26,,10,23
2012/09/27,,11,23
2012/09/28,,10,23
2012/09/29,,10,23
2012/09/30,,10,24
2012/10/01,,10,23
2012/10/02,,10,22
2012/10/03,,10,22
2012/10/04,,10,23
2012/10/05,,10,22
2012/10/06,,10,21
2012/10/07,,10,21
2012/10/08,,10,21
2012/10/09,,10,19
2012/10/10,,10,19
2012/10/11,,10,19
2012/10/12,,10,18
2012/10/13,,10,18
2012/10/14,,10,20
2012/10/15,,9,20
2012/10/16,,9,20
2012/10/17,,9,20
2012/10/18,,10,20
2012/10/19,,9,21
2012/10/20,,9,22
2012/10/21,,9,22
2012/10/22,,8,23
2012/10/23,,9,22
2012/10/24,,9,22
2012/10/25,,9,22
2012/10/26,,9,23
2012/10/27,,9,23
2012/10/28,,9,23
2012/10/29,,9,23
2012/10/30,,9,24
2012/10/31,,9,25
2012/11/01,,9,25
2012/11/02,,9,25
2012/11/03,,9,27
2012/11/04,,9,27
2012/11/05,,9,28
2012/11/06,,9,28
2012/11/07,,9,28
2012/11/08,,9,29
2012/11/09,,9,28
2012/11/10,,9,28
2012/11/11,,10,28
2012/11/12,,11,29
2012/11/13,,12,28
2012/11/14,,12,28
2012/11/15,,12,28
2012/11/16,,12,29
2012/11/17,,11,28
2012/11/18,,11,29
2012/11/19,,11,27
2012/11/20,,12,28
2012/11/21,,13,28
2012/11/22,,12,28
2012/11/23,,12,28
2012/11/24,,11,29
2012/11/25,,12,28
2012/11/26,,12,29
2012/11/27,,12,29
2012/11/28,,12,30
2012/11/29,,12,30
2012/11/30,,12,30
2012/12/01,,14,30
2012/12/02,,14,30
2012/12/03,,14,27
2012/12/04,,14,27
2012/12/05,,14,26
2012/12/06,,14,26
2012/12/07,,13,26
2012/12/08,,14,26
2012/12/09,,14,26
