date,uzwiki (100+),uzwiki (5+),uzwiki (all)
2012/08/19,15,40,98
2012/08/20,15,40,100
2012/08/21,15,38,100
2012/08/22,14,38,98
2012/08/23,14,38,99
2012/08/24,14,41,100
2012/08/25,15,39,103
2012/08/26,15,39,105
2012/08/27,15,40,102
2012/08/28,16,40,104
2012/08/29,16,41,102
2012/08/30,16,40,102
2012/08/31,14,40,100
2012/09/01,13,40,101
2012/09/02,13,41,99
2012/09/03,13,41,102
2012/09/04,13,41,100
2012/09/05,13,40,101
2012/09/06,13,37,98
2012/09/07,14,37,98
2012/09/08,13,37,98
2012/09/09,13,38,97
2012/09/10,13,38,96
2012/09/11,13,38,95
2012/09/12,13,39,95
2012/09/13,14,38,96
2012/09/14,14,39,96
2012/09/15,14,40,94
2012/09/16,14,41,95
2012/09/17,14,40,97
2012/09/18,14,41,96
2012/09/19,14,42,98
2012/09/20,14,42,99
2012/09/21,14,42,99
2012/09/22,15,40,99
2012/09/23,16,43,97
2012/09/24,17,44,96
2012/09/25,17,44,94
2012/09/26,18,43,92
2012/09/27,18,43,91
2012/09/28,18,41,90
2012/09/29,18,42,90
2012/09/30,18,41,90
2012/10/01,18,40,88
2012/10/02,19,40,86
2012/10/03,19,39,83
2012/10/04,19,39,83
2012/10/05,18,39,85
2012/10/06,18,40,88
2012/10/07,18,42,91
2012/10/08,18,42,87
2012/10/09,18,41,87
2012/10/10,17,39,84
2012/10/11,17,39,82
2012/10/12,17,39,81
2012/10/13,17,39,78
2012/10/14,17,38,76
2012/10/15,17,38,76
2012/10/16,17,38,76
2012/10/17,16,37,75
2012/10/18,16,36,75
2012/10/19,16,35,74
2012/10/20,16,38,74
2012/10/21,16,38,73
2012/10/22,16,38,71
2012/10/23,15,36,74
2012/10/24,15,35,75
2012/10/25,15,35,75
2012/10/26,15,35,76
2012/10/27,14,34,76
2012/10/28,14,34,77
2012/10/29,14,36,79
2012/10/30,14,38,79
2012/10/31,14,40,84
2012/11/01,14,41,89
2012/11/02,14,40,93
2012/11/03,14,41,90
2012/11/04,13,41,90
2012/11/05,13,42,88
2012/11/06,14,41,84
2012/11/07,15,42,86
2012/11/08,15,42,87
2012/11/09,15,43,89
2012/11/10,15,43,94
2012/11/11,16,43,96
2012/11/12,16,47,102
2012/11/13,16,47,103
2012/11/14,15,46,102
2012/11/15,15,46,102
2012/11/16,15,46,104
2012/11/17,15,46,104
2012/11/18,15,47,109
2012/11/19,15,46,108
2012/11/20,15,47,111
2012/11/21,15,46,110
2012/11/22,15,47,111
2012/11/23,15,48,109
2012/11/24,15,48,112
2012/11/25,15,48,111
2012/11/26,15,49,110
2012/11/27,14,50,109
2012/11/28,14,48,106
2012/11/29,14,48,108
2012/11/30,13,48,104
2012/12/01,13,48,104
2012/12/02,13,47,103
2012/12/03,15,48,105
2012/12/04,15,47,106
2012/12/05,15,47,106
2012/12/06,15,47,106
2012/12/07,15,45,104
2012/12/08,15,43,104
2012/12/09,16,43,105
2012/12/10,17,41,102
2012/12/11,17,41,102
2012/12/12,17,39,98
2012/12/13,18,39,99
2012/12/14,17,41,102
2012/12/15,18,42,102
2012/12/16,18,42,103
2012/12/17,18,42,104
2012/12/18,18,41,102
2012/12/19,18,40,102
2012/12/20,18,40,101
2012/12/21,19,42,103
2012/12/22,19,45,105
2012/12/23,18,45,104
2012/12/24,18,47,102
2012/12/25,17,47,101
2012/12/26,17,46,101
2012/12/27,17,45,101
2012/12/28,17,47,101
2012/12/29,17,48,99
2012/12/30,17,48,102
2012/12/31,18,48,104
2013/01/01,17,50,103
2013/01/02,16,50,103
2013/01/03,16,51,101
2013/01/04,16,50,103
2013/01/05,18,51,105
2013/01/06,18,51,107
2013/01/07,18,50,110
2013/01/08,18,50,113
2013/01/09,18,50,112
2013/01/10,18,50,111
2013/01/11,18,51,110
2013/01/12,18,51,111
2013/01/13,19,51,116
2013/01/14,20,53,118
2013/01/15,20,53,116
2013/01/16,21,53,116
2013/01/17,22,54,115
2013/01/18,22,56,115
2013/01/19,23,57,114
2013/01/20,23,57,114
2013/01/21,23,57,116
2013/01/22,23,57,116
2013/01/23,23,56,114
2013/01/24,25,57,114
2013/01/25,25,57,115
2013/01/26,26,55,116
2013/01/27,26,54,115
2013/01/28,25,54,117
2013/01/29,24,53,119
2013/01/30,23,52,119
2013/01/31,25,50,118
2013/02/01,25,50,113
2013/02/02,24,49,112
2013/02/03,25,51,114
2013/02/04,25,53,116
2013/02/05,24,53,118
2013/02/06,24,54,119
2013/02/07,24,54,115
2013/02/08,23,56,115
2013/02/09,23,55,117
2013/02/10,25,55,118
2013/02/11,24,55,117
2013/02/12,25,54,112
2013/02/13,23,53,105
2013/02/14,23,52,106
2013/02/15,23,51,108
2013/02/16,23,51,115
2013/02/17,23,53,118
2013/02/18,24,55,131
2013/02/19,23,52,122
2013/02/20,23,51,122
2013/02/21,23,52,122
2013/02/22,23,50,120
2013/02/23,23,50,119
2013/02/24,22,51,119
2013/02/25,22,50,118
2013/02/26,22,49,117
2013/02/27,22,48,114
2013/02/28,22,48,111
2013/03/01,21,49,110
2013/03/02,23,48,110
2013/03/03,23,49,109
2013/03/04,23,50,110
2013/03/05,22,49,106
2013/03/06,21,48,105
2013/03/07,22,47,105
2013/03/08,22,48,106
2013/03/09,23,47,107
2013/03/10,23,49,109
2013/03/11,23,50,112
2013/03/12,24,48,114
2013/03/13,23,48,116
2013/03/14,21,48,115
2013/03/15,19,48,117
2013/03/16,19,48,116
2013/03/17,19,47,117
2013/03/18,19,47,115
2013/03/19,19,47,114
2013/03/20,19,48,114
2013/03/21,19,47,115
2013/03/22,18,48,113
2013/03/23,18,47,115
2013/03/24,18,48,118
2013/03/25,18,49,119
2013/03/26,18,49,121
2013/03/27,18,48,115
2013/03/28,17,47,118
2013/03/29,16,46,114
2013/03/30,16,45,114
2013/03/31,16,45,115
2013/04/01,16,41,114
2013/04/02,14,40,113
2013/04/03,14,38,113
2013/04/04,14,37,112
2013/04/05,14,34,107
2013/04/06,14,32,103
2013/04/07,12,31,100
2013/04/08,11,30,101
2013/04/09,11,29,98
2013/04/10,11,28,95
2013/04/11,10,27,92
2013/04/12,10,27,93
