date,sswiki (100+),sswiki (5+),sswiki (all)
2012/08/19,,8,20
2012/08/20,,7,20
2012/08/21,,7,20
2012/08/22,,7,20
2012/08/23,,7,20
2012/08/24,,7,20
2012/08/25,,7,21
2012/08/26,,7,22
2012/08/27,,7,22
2012/08/28,,7,22
2012/08/29,,7,23
2012/08/30,,7,22
2012/08/31,,7,22
2012/09/01,,8,23
2012/09/02,,8,23
2012/09/03,,8,23
2012/09/04,,8,22
2012/09/05,,8,23
2012/09/06,,8,25
2012/09/07,,7,25
2012/09/08,,7,25
2012/09/09,,8,26
2012/09/10,,8,26
2012/09/11,,8,26
2012/09/12,,8,26
2012/09/13,,8,26
2012/09/14,,9,26
2012/09/15,,9,26
2012/09/16,,9,25
2012/09/17,,9,25
2012/09/18,,9,24
2012/09/19,,9,23
2012/09/20,,9,23
2012/09/21,,8,22
2012/09/22,,8,22
2012/09/23,,8,22
2012/09/24,,8,22
2012/09/25,,8,22
2012/09/26,,8,23
2012/09/27,,8,22
2012/09/28,,8,22
2012/09/29,,8,22
2012/09/30,,8,22
2012/10/01,,9,22
2012/10/02,,9,22
2012/10/03,,9,22
2012/10/04,,9,23
2012/10/05,,9,22
2012/10/06,,9,21
2012/10/07,,9,21
2012/10/08,,9,21
2012/10/09,,9,19
2012/10/10,,9,19
2012/10/11,1,9,19
2012/10/12,1,9,18
2012/10/13,1,9,18
2012/10/14,1,9,17
2012/10/15,1,9,17
2012/10/16,1,9,17
2012/10/17,,9,17
2012/10/18,,9,17
2012/10/19,,9,17
2012/10/20,,9,18
2012/10/21,,9,18
2012/10/22,,8,19
2012/10/23,,8,19
2012/10/24,,8,19
2012/10/25,,8,19
2012/10/26,,8,19
2012/10/27,,8,20
2012/10/28,,8,22
2012/10/29,,8,22
2012/10/30,,8,22
2012/10/31,,7,23
2012/11/01,,7,23
2012/11/02,,7,23
2012/11/03,,8,23
2012/11/04,,7,23
2012/11/05,,7,23
2012/11/06,,7,24
2012/11/07,,8,24
2012/11/08,,8,25
2012/11/09,,8,25
2012/11/10,,8,27
2012/11/11,,9,26
2012/11/12,,9,26
2012/11/13,,9,26
2012/11/14,,10,26
2012/11/15,,10,26
2012/11/16,,10,27
2012/11/17,,11,27
2012/11/18,1,11,27
2012/11/19,1,11,27
2012/11/20,1,10,26
2012/11/21,1,11,25
2012/11/22,1,11,24
2012/11/23,,11,25
2012/11/24,,11,25
2012/11/25,,11,24
2012/11/26,,12,25
2012/11/27,,11,25
2012/11/28,,11,25
2012/11/29,,11,26
2012/11/30,,10,25
2012/12/01,,11,25
2012/12/02,,12,25
2012/12/03,,11,24
2012/12/04,,11,24
2012/12/05,,11,24
2012/12/06,,11,22
2012/12/07,,11,22
2012/12/08,,11,21
2012/12/09,,11,20
2012/12/10,,11,19
2012/12/11,,10,19
2012/12/12,,10,19
2012/12/13,,9,18
2012/12/14,,9,18
2012/12/15,,9,19
2012/12/16,,10,19
2012/12/17,,11,19
2012/12/18,,11,19
2012/12/19,,10,19
2012/12/20,,10,19
2012/12/21,,9,20
2012/12/22,,9,21
2012/12/23,,9,21
2012/12/24,,9,21
2012/12/25,,9,21
2012/12/26,,9,21
2012/12/27,,9,21
2012/12/28,,9,22
2012/12/29,,9,21
2012/12/30,,10,21
2012/12/31,,10,22
2013/01/01,,9,22
2013/01/02,,9,22
2013/01/03,,9,22
2013/01/04,,9,22
2013/01/05,,9,22
2013/01/06,,8,22
2013/01/07,,8,22
2013/01/08,,8,22
2013/01/09,,8,21
2013/01/10,,8,21
2013/01/11,,8,21
2013/01/12,,8,21
2013/01/13,,9,22
2013/01/14,,9,22
2013/01/15,,9,21
2013/01/16,,10,19
2013/01/17,,10,19
2013/01/18,,11,20
2013/01/19,,11,20
2013/01/20,,11,20
2013/01/21,,11,20
2013/01/22,,11,20
2013/01/23,,10,20
2013/01/24,,10,20
2013/01/25,,10,20
2013/01/26,,10,21
2013/01/27,,10,20
2013/01/28,,10,20
2013/01/29,,10,20
2013/01/30,,10,20
2013/01/31,,11,20
2013/02/01,,11,20
2013/02/02,,11,19
2013/02/03,,11,19
2013/02/04,,12,19
2013/02/05,,11,20
2013/02/06,,12,22
2013/02/07,,12,23
2013/02/08,,12,23
2013/02/09,,12,24
2013/02/10,,12,25
2013/02/11,,12,25
2013/02/12,,12,25
2013/02/13,,12,25
2013/02/14,1,10,24
2013/02/15,1,10,24
2013/02/16,1,10,26
2013/02/17,1,8,25
2013/02/18,1,8,24
2013/02/19,1,8,24
2013/02/20,1,8,24
2013/02/21,1,8,23
2013/02/22,1,8,23
2013/02/23,1,8,23
2013/02/24,1,8,23
2013/02/25,1,8,22
2013/02/26,1,7,22
2013/02/27,1,7,23
