date,sawiki (100+),sawiki (5+),sawiki (all)
2012/08/19,6,39,64
2012/08/20,6,38,66
2012/08/21,6,38,66
2012/08/22,5,38,67
2012/08/23,4,40,69
2012/08/24,4,42,67
2012/08/25,5,42,67
2012/08/26,5,40,66
2012/08/27,5,41,68
2012/08/28,4,39,69
2012/08/29,4,41,71
2012/08/30,4,41,75
2012/08/31,4,38,79
2012/09/01,5,36,79
2012/09/02,5,38,78
2012/09/03,5,38,78
2012/09/04,5,37,80
2012/09/05,5,38,85
2012/09/06,5,40,85
2012/09/07,5,40,84
2012/09/08,5,39,82
2012/09/09,5,37,83
2012/09/10,5,36,83
2012/09/11,5,36,84
2012/09/12,5,37,84
2012/09/13,6,37,86
2012/09/14,7,38,85
2012/09/15,8,38,84
2012/09/16,8,37,84
2012/09/17,8,35,85
2012/09/18,8,34,83
2012/09/19,9,33,79
2012/09/20,8,32,79
2012/09/21,9,32,78
2012/09/22,9,32,76
2012/09/23,8,33,77
2012/09/24,8,33,78
2012/09/25,8,33,79
2012/09/26,9,33,78
2012/09/27,8,33,76
2012/09/28,9,32,74
2012/09/29,9,31,72
2012/09/30,9,32,66
2012/10/01,9,30,66
2012/10/02,8,27,63
2012/10/03,8,26,62
2012/10/04,8,26,62
2012/10/05,8,25,58
2012/10/06,8,25,55
2012/10/07,10,26,54
2012/10/08,10,26,54
2012/10/09,10,29,58
2012/10/10,11,28,58
2012/10/11,11,29,57
2012/10/12,11,28,55
2012/10/13,11,29,54
2012/10/14,11,30,54
2012/10/15,11,32,54
2012/10/16,11,32,53
2012/10/17,11,32,55
2012/10/18,11,32,56
2012/10/19,9,32,59
2012/10/20,9,32,59
2012/10/21,9,32,62
2012/10/22,8,33,65
2012/10/23,9,32,64
2012/10/24,10,32,63
2012/10/25,10,32,63
2012/10/26,10,32,63
2012/10/27,10,33,64
2012/10/28,10,33,65
2012/10/29,10,34,66
2012/10/30,10,34,64
2012/10/31,10,34,67
2012/11/01,10,35,67
2012/11/02,10,35,68
2012/11/03,10,35,65
2012/11/04,10,35,67
2012/11/05,10,34,67
2012/11/06,9,34,67
2012/11/07,10,34,68
2012/11/08,9,33,65
2012/11/09,8,33,66
2012/11/10,8,33,66
2012/11/11,7,33,64
2012/11/12,7,33,63
2012/11/13,7,34,60
2012/11/14,7,33,60
2012/11/15,7,34,60
2012/11/16,7,34,60
