date,hifwiki (100+),hifwiki (5+),hifwiki (all)
2012/08/19,6,27,60
2012/08/20,6,27,59
2012/08/21,6,26,57
2012/08/22,6,25,57
2012/08/23,6,26,58
2012/08/24,6,28,58
2012/08/25,6,25,59
2012/08/26,6,24,60
2012/08/27,6,24,61
2012/08/28,6,25,62
2012/08/29,5,25,61
2012/08/30,5,26,61
2012/08/31,6,29,67
2012/09/01,6,29,66
2012/09/02,6,30,66
2012/09/03,6,30,64
2012/09/04,6,30,63
2012/09/05,6,29,65
2012/09/06,6,32,66
2012/09/07,5,31,67
2012/09/08,5,31,64
2012/09/09,5,29,67
2012/09/10,5,29,66
2012/09/11,5,30,66
2012/09/12,5,29,65
2012/09/13,5,31,64
2012/09/14,5,32,64
2012/09/15,5,32,62
2012/09/16,5,32,63
2012/09/17,5,31,63
2012/09/18,6,30,61
2012/09/19,6,30,58
2012/09/20,6,29,58
2012/09/21,6,29,59
2012/09/22,6,29,58
2012/09/23,7,29,61
2012/09/24,7,30,61
2012/09/25,8,31,60
2012/09/26,8,30,61
2012/09/27,8,29,60
2012/09/28,8,29,60
2012/09/29,8,29,57
2012/09/30,8,29,50
2012/10/01,8,28,49
2012/10/02,7,29,52
2012/10/03,7,28,52
2012/10/04,7,28,53
2012/10/05,7,28,52
2012/10/06,7,27,52
2012/10/07,7,29,51
2012/10/08,7,29,51
2012/10/09,7,28,49
2012/10/10,7,28,49
2012/10/11,7,28,49
2012/10/12,7,28,49
2012/10/13,7,28,51
2012/10/14,7,29,53
2012/10/15,7,30,54
2012/10/16,7,31,54
2012/10/17,7,30,54
2012/10/18,7,30,53
2012/10/19,7,29,55
2012/10/20,7,29,54
2012/10/21,7,29,55
2012/10/22,6,30,56
2012/10/23,6,31,54
2012/10/24,6,31,55
2012/10/25,5,29,55
2012/10/26,4,29,57
2012/10/27,4,29,58
2012/10/28,5,30,58
2012/10/29,5,30,60
2012/10/30,5,31,61
2012/10/31,5,31,61
2012/11/01,5,31,60
2012/11/02,5,31,59
2012/11/03,6,31,63
2012/11/04,6,32,63
2012/11/05,6,32,62
2012/11/06,6,32,63
2012/11/07,6,32,62
2012/11/08,6,32,62
2012/11/09,6,31,62
2012/11/10,6,31,64
2012/11/11,6,32,63
2012/11/12,6,31,61
2012/11/13,6,32,62
2012/11/14,7,31,61
2012/11/15,8,28,61
2012/11/16,8,29,64
2012/11/17,8,30,63
2012/11/18,8,29,65
2012/11/19,8,30,66
2012/11/20,8,29,68
2012/11/21,8,29,65
2012/11/22,8,29,66
2012/11/23,8,28,67
2012/11/24,8,28,65
2012/11/25,8,28,65
2012/11/26,8,30,63
2012/11/27,8,30,64
2012/11/28,8,31,62
2012/11/29,8,31,62
2012/11/30,8,31,62
2012/12/01,8,31,62
2012/12/02,8,31,63
2012/12/03,8,31,65
2012/12/04,8,31,66
2012/12/05,8,30,69
2012/12/06,8,29,69
2012/12/07,8,29,71
2012/12/08,8,28,73
2012/12/09,8,30,73
2012/12/10,8,30,72
2012/12/11,8,30,71
2012/12/12,8,31,70
2012/12/13,8,31,69
2012/12/14,8,31,69
2012/12/15,8,31,70
2012/12/16,8,31,67
2012/12/17,8,31,67
2012/12/18,8,31,66
2012/12/19,9,31,66
2012/12/20,9,31,64
2012/12/21,9,31,65
2012/12/22,9,32,66
2012/12/23,9,32,65
2012/12/24,9,32,65
2012/12/25,9,31,67
2012/12/26,8,29,67
2012/12/27,8,28,66
2012/12/28,8,27,66
2012/12/29,8,29,64
2012/12/30,9,29,65
2012/12/31,9,29,69
2013/01/01,8,29,70
2013/01/02,8,29,69
2013/01/03,9,28,69
2013/01/04,8,30,68
2013/01/05,8,29,66
2013/01/06,7,29,65
2013/01/07,7,29,65
2013/01/08,7,29,64
2013/01/09,7,31,67
2013/01/10,8,31,70
2013/01/11,8,30,69
2013/01/12,9,31,70
2013/01/13,9,30,69
2013/01/14,9,29,69
2013/01/15,9,31,72
2013/01/16,10,33,74
2013/01/17,10,31,73
2013/01/18,10,32,72
2013/01/19,9,32,71
2013/01/20,9,31,67
2013/01/21,9,31,67
2013/01/22,9,31,67
2013/01/23,9,31,69
2013/01/24,9,31,66
2013/01/25,9,32,66
2013/01/26,9,32,66
2013/01/27,8,33,66
2013/01/28,8,33,66
2013/01/29,8,33,65
2013/01/30,7,32,65
2013/01/31,7,31,66
2013/02/01,7,31,65
2013/02/02,7,31,65
2013/02/03,7,28,65
2013/02/04,7,28,65
2013/02/05,7,29,67
2013/02/06,7,30,67
2013/02/07,7,30,69
2013/02/08,6,31,71
2013/02/09,6,30,68
2013/02/10,6,30,67
2013/02/11,6,30,66
2013/02/12,6,30,67
2013/02/13,6,32,67
2013/02/14,6,30,63
2013/02/15,6,28,61
2013/02/16,6,28,62
2013/02/17,6,28,63
2013/02/18,6,29,63
2013/02/19,6,29,64
2013/02/20,6,28,62
2013/02/21,6,28,62
2013/02/22,7,28,60
2013/02/23,7,28,60
2013/02/24,7,28,59
2013/02/25,7,27,59
2013/02/26,7,25,61
2013/02/27,8,25,62
2013/02/28,8,25,61
2013/03/01,8,25,60
2013/03/02,8,25,60
