date,be_x_oldwiki (100+),be_x_oldwiki (5+),be_x_oldwiki (all)
2012/08/19,14,55,157
2012/08/20,15,54,157
2012/08/21,15,55,156
2012/08/22,15,53,157
2012/08/23,16,53,159
2012/08/24,15,54,159
2012/08/25,15,54,167
2012/08/26,15,55,171
2012/08/27,15,55,169
2012/08/28,15,55,168
2012/08/29,15,60,173
2012/08/30,15,61,173
2012/08/31,15,61,172
2012/09/01,15,64,174
2012/09/02,15,64,175
2012/09/03,15,64,175
2012/09/04,15,63,176
2012/09/05,15,61,177
2012/09/06,15,63,178
2012/09/07,14,62,178
2012/09/08,14,63,172
2012/09/09,14,64,171
2012/09/10,12,63,175
2012/09/11,12,62,177
2012/09/12,12,62,176
2012/09/13,11,60,177
2012/09/14,11,58,175
2012/09/15,11,58,174
2012/09/16,10,58,174
2012/09/17,10,58,177
2012/09/18,10,58,176
2012/09/19,10,58,174
2012/09/20,9,56,174
2012/09/21,10,55,173
2012/09/22,10,55,172
2012/09/23,9,52,170
2012/09/24,9,51,164
2012/09/25,9,51,163
2012/09/26,9,52,162
2012/09/27,9,53,160
2012/09/28,9,54,160
2012/09/29,9,52,158
2012/09/30,9,51,157
2012/10/01,9,51,158
2012/10/02,8,52,156
2012/10/03,8,50,154
2012/10/04,8,45,151
2012/10/05,8,44,152
2012/10/06,8,45,154
2012/10/07,8,43,147
2012/10/08,8,44,147
2012/10/09,8,41,145
2012/10/10,7,39,143
2012/10/11,7,39,143
2012/10/12,7,41,148
2012/10/13,7,42,149
2012/10/14,7,43,151
2012/10/15,8,43,152
2012/10/16,8,43,153
2012/10/17,7,42,153
2012/10/18,6,43,150
2012/10/19,7,43,153
2012/10/20,7,43,152
2012/10/21,8,44,153
2012/10/22,9,44,155
2012/10/23,9,44,156
2012/10/24,9,44,156
2012/10/25,9,46,158
2012/10/26,9,47,155
2012/10/27,10,46,154
2012/10/28,10,46,153
2012/10/29,10,47,151
2012/10/30,10,47,153
2012/10/31,10,48,154
2012/11/01,10,48,155
2012/11/02,11,49,163
2012/11/03,11,51,160
2012/11/04,11,50,162
2012/11/05,11,52,161
2012/11/06,11,52,162
2012/11/07,11,50,162
2012/11/08,11,50,163
2012/11/09,11,51,161
2012/11/10,10,52,161
2012/11/11,10,51,158
2012/11/12,10,51,159
2012/11/13,11,51,160
2012/11/14,11,51,159
2012/11/15,10,50,158
2012/11/16,10,53,158
2012/11/17,10,52,162
2012/11/18,10,48,164
2012/11/19,11,47,161
2012/11/20,10,47,162
2012/11/21,10,48,163
2012/11/22,10,48,164
2012/11/23,10,49,168
2012/11/24,10,48,167
2012/11/25,10,48,168
2012/11/26,10,47,167
2012/11/27,11,46,168
2012/11/28,11,44,169
2012/11/29,11,44,165
2012/11/30,11,45,164
2012/12/01,10,44,166
2012/12/02,10,44,160
2012/12/03,12,44,156
2012/12/04,11,43,152
2012/12/05,13,41,151
2012/12/06,13,41,153
2012/12/07,13,42,152
2012/12/08,13,43,155
2012/12/09,13,43,155
2012/12/10,14,45,154
2012/12/11,15,44,157
2012/12/12,14,45,155
2012/12/13,13,45,157
2012/12/14,13,44,160
2012/12/15,13,45,159
2012/12/16,13,43,156
2012/12/17,14,42,154
2012/12/18,13,42,150
2012/12/19,13,42,153
2012/12/20,13,41,151
2012/12/21,13,42,151
2012/12/22,13,43,150
2012/12/23,13,44,147
2012/12/24,13,45,147
2012/12/25,13,44,146
2012/12/26,12,44,144
2012/12/27,12,43,143
2012/12/28,12,43,144
2012/12/29,12,43,145
2012/12/30,12,41,142
2012/12/31,12,40,148
2013/01/01,12,40,145
2013/01/02,12,41,149
2013/01/03,12,42,148
2013/01/04,11,43,147
2013/01/05,11,43,150
2013/01/06,9,44,154
2013/01/07,10,44,151
2013/01/08,9,46,157
2013/01/09,9,44,158
2013/01/10,9,44,157
2013/01/11,9,45,159
2013/01/12,9,47,156
2013/01/13,9,48,156
2013/01/14,10,49,158
2013/01/15,10,48,159
2013/01/16,10,50,160
2013/01/17,12,52,159
2013/01/18,11,54,161
2013/01/19,11,56,163
2013/01/20,11,56,163
2013/01/21,11,57,168
2013/01/22,11,59,168
2013/01/23,11,59,170
2013/01/24,11,59,169
2013/01/25,12,60,168
2013/01/26,12,59,171
2013/01/27,12,58,174
2013/01/28,12,58,175
2013/01/29,13,60,172
2013/01/30,13,60,169
2013/01/31,13,63,173
2013/02/01,12,62,173
2013/02/02,12,62,174
2013/02/03,12,61,176
2013/02/04,12,60,178
2013/02/05,13,58,179
2013/02/06,13,56,178
2013/02/07,13,57,175
2013/02/08,13,57,174
2013/02/09,13,55,179
2013/02/10,13,54,175
2013/02/11,12,56,174
2013/02/12,11,56,172
2013/02/13,11,53,170
2013/02/14,12,52,175
2013/02/15,12,53,174
2013/02/16,12,50,176
2013/02/17,12,54,191
2013/02/18,11,53,193
2013/02/19,11,52,193
2013/02/20,10,52,190
2013/02/21,10,51,187
2013/02/22,11,51,190
2013/02/23,11,53,193
2013/02/24,9,53,193
2013/02/25,9,52,190
2013/02/26,10,53,197
2013/02/27,10,53,195
2013/02/28,10,54,194
2013/03/01,10,54,197
2013/03/02,10,53,195
2013/03/03,11,55,195
2013/03/04,11,55,194
2013/03/05,11,56,192
2013/03/06,11,56,189
2013/03/07,11,57,187
2013/03/08,12,57,190
2013/03/09,13,58,193
2013/03/10,13,57,191
2013/03/11,13,56,190
2013/03/12,12,56,188
2013/03/13,12,55,186
2013/03/14,12,55,187
2013/03/15,12,55,187
2013/03/16,12,54,181
2013/03/17,11,53,179
2013/03/18,11,55,185
2013/03/19,11,50,172
2013/03/20,11,49,166
2013/03/21,11,50,163
2013/03/22,11,50,160
2013/03/23,11,49,161
2013/03/24,10,49,160
2013/03/25,11,49,159
2013/03/26,11,49,160
2013/03/27,12,48,158
2013/03/28,12,48,160
2013/03/29,12,47,162
2013/03/30,12,47,164
2013/03/31,12,46,161
2013/04/01,12,44,160
