date,mhrwiki (100+),mhrwiki (5+),mhrwiki (all)
2012/08/19,2,16,39
2012/08/20,2,16,37
2012/08/21,2,16,37
2012/08/22,2,15,35
2012/08/23,2,15,35
2012/08/24,2,15,35
2012/08/25,2,15,35
2012/08/26,2,15,35
2012/08/27,2,16,37
2012/08/28,2,16,37
2012/08/29,2,15,36
2012/08/30,2,16,36
2012/08/31,2,17,37
2012/09/01,2,17,37
2012/09/02,2,17,37
2012/09/03,2,17,37
2012/09/04,2,18,37
2012/09/05,2,18,40
2012/09/06,2,18,39
2012/09/07,2,18,37
2012/09/08,2,18,37
2012/09/09,2,19,37
2012/09/10,2,19,37
2012/09/11,2,19,37
2012/09/12,2,20,36
2012/09/13,2,20,36
2012/09/14,2,21,37
2012/09/15,2,21,39
2012/09/16,2,21,37
2012/09/17,2,21,37
2012/09/18,2,21,37
2012/09/19,1,20,38
2012/09/20,1,20,38
2012/09/21,1,18,37
2012/09/22,1,18,36
2012/09/23,1,18,36
2012/09/24,1,17,35
2012/09/25,1,17,35
2012/09/26,1,16,34
2012/09/27,1,16,36
2012/09/28,1,15,36
2012/09/29,1,14,37
2012/09/30,1,13,37
2012/10/01,1,12,36
2012/10/02,1,11,36
2012/10/03,1,11,37
2012/10/04,1,11,38
2012/10/05,1,12,37
2012/10/06,1,12,37
2012/10/07,1,12,38
2012/10/08,2,11,36
2012/10/09,2,13,34
2012/10/10,2,13,33
2012/10/11,2,13,34
2012/10/12,2,13,33
2012/10/13,2,13,33
2012/10/14,2,13,32
2012/10/15,2,13,29
2012/10/16,2,13,29
2012/10/17,2,13,29
2012/10/18,2,12,30
2012/10/19,2,11,31
2012/10/20,2,14,32
2012/10/21,2,14,35
2012/10/22,2,15,36
2012/10/23,2,15,36
2012/10/24,2,15,36
2012/10/25,2,14,37
2012/10/26,2,15,37
2012/10/27,2,15,44
2012/10/28,2,15,44
2012/10/29,2,15,43
2012/10/30,3,16,44
2012/10/31,3,16,45
2012/11/01,3,16,46
2012/11/02,3,16,45
2012/11/03,3,16,44
2012/11/04,3,16,45
2012/11/05,3,16,45
2012/11/06,3,17,44
2012/11/07,2,17,44
2012/11/08,2,16,46
2012/11/09,2,16,47
2012/11/10,2,15,45
2012/11/11,2,16,45
2012/11/12,2,18,45
2012/11/13,2,18,44
2012/11/14,2,18,44
2012/11/15,2,18,44
2012/11/16,2,19,47
2012/11/17,2,19,46
2012/11/18,2,18,46
2012/11/19,2,17,45
2012/11/20,2,17,44
2012/11/21,2,16,42
2012/11/22,2,16,45
2012/11/23,2,19,46
2012/11/24,2,19,45
2012/11/25,2,19,44
2012/11/26,2,19,38
2012/11/27,2,19,41
2012/11/28,1,19,41
2012/11/29,1,20,40
2012/11/30,1,22,41
2012/12/01,1,22,42
2012/12/02,1,23,41
2012/12/03,1,23,42
2012/12/04,1,23,42
2012/12/05,1,23,43
2012/12/06,1,23,43
2012/12/07,1,23,43
2012/12/08,1,23,43
2012/12/09,1,24,45
2012/12/10,1,25,46
2012/12/11,1,25,46
2012/12/12,1,24,47
2012/12/13,1,26,49
2012/12/14,1,26,49
2012/12/15,1,28,55
2012/12/16,1,27,52
2012/12/17,1,27,52
2012/12/18,1,26,53
2012/12/19,1,25,54
2012/12/20,1,25,53
2012/12/21,1,25,53
2012/12/22,1,25,52
2012/12/23,1,25,52
2012/12/24,1,25,52
2012/12/25,2,24,52
2012/12/26,2,24,53
2012/12/27,2,22,52
2012/12/28,2,22,51
2012/12/29,2,23,51
2012/12/30,3,22,52
2012/12/31,3,23,50
2013/01/01,3,23,51
2013/01/02,3,24,50
2013/01/03,3,23,49
2013/01/04,3,24,50
2013/01/05,4,23,50
2013/01/06,4,22,50
2013/01/07,4,22,52
2013/01/08,5,23,50
2013/01/09,5,24,50
2013/01/10,5,22,51
2013/01/11,5,23,53
2013/01/12,5,22,53
2013/01/13,5,21,54
2013/01/14,5,20,49
2013/01/15,5,20,48
2013/01/16,5,20,47
2013/01/17,5,20,46
2013/01/18,5,21,47
2013/01/19,5,21,47
2013/01/20,5,21,48
2013/01/21,5,21,43
2013/01/22,5,21,43
2013/01/23,5,21,43
2013/01/24,5,22,43
2013/01/25,5,22,45
2013/01/26,5,22,45
2013/01/27,5,22,45
2013/01/28,5,22,44
2013/01/29,5,22,44
2013/01/30,4,21,45
2013/01/31,4,21,46
2013/02/01,4,21,46
2013/02/02,4,21,47
2013/02/03,4,20,47
2013/02/04,5,20,47
2013/02/05,5,20,48
2013/02/06,5,21,47
2013/02/07,3,21,47
2013/02/08,3,21,47
2013/02/09,3,20,44
2013/02/10,3,22,41
2013/02/11,3,22,40
2013/02/12,3,22,39
2013/02/13,3,22,40
2013/02/14,3,21,38
2013/02/15,3,21,38
2013/02/16,3,21,38
2013/02/17,2,21,39
2013/02/18,3,22,38
2013/02/19,2,22,37
2013/02/20,2,21,37
2013/02/21,2,20,38
2013/02/22,2,20,39
2013/02/23,2,20,39
2013/02/24,2,20,36
2013/02/25,2,20,34
2013/02/26,2,20,33
2013/02/27,2,19,33
2013/02/28,2,19,34
2013/03/01,2,17,35
2013/03/02,2,18,33
2013/03/03,2,19,35
2013/03/04,2,19,36
2013/03/05,2,19,35
2013/03/06,2,19,36
2013/03/07,2,19,34
2013/03/08,3,19,35
2013/03/09,3,19,35
2013/03/10,3,19,34
2013/03/11,3,19,34
2013/03/12,3,18,32
2013/03/13,3,15,33
2013/03/14,3,13,35
2013/03/15,3,12,31
2013/03/16,3,12,31
2013/03/17,3,12,31
2013/03/18,3,12,31
2013/03/19,3,10,32
2013/03/20,3,10,31
2013/03/21,3,10,31
2013/03/22,3,10,30
2013/03/23,3,10,29
2013/03/24,3,10,28
2013/03/25,3,10,27
2013/03/26,2,11,27
2013/03/27,2,10,26
2013/03/28,2,10,26
2013/03/29,2,10,27
2013/03/30,2,11,27
2013/03/31,3,11,27
2013/04/01,3,11,28
2013/04/02,2,9,26
2013/04/03,2,9,24
2013/04/04,2,8,23
2013/04/05,2,7,19
2013/04/06,1,6,16
2013/04/07,1,6,16
2013/04/08,1,6,17
2013/04/09,1,6,19
2013/04/10,1,6,19
2013/04/11,1,6,19
2013/04/12,2,6,19
2013/04/13,2,6,17
2013/04/14,2,6,17
2013/04/15,2,6,18
2013/04/16,2,6,18
2013/04/17,2,6,17
2013/04/18,2,6,18
2013/04/19,2,6,18
2013/04/20,2,7,19
2013/04/21,1,7,19
2013/04/22,1,7,19
2013/04/23,2,7,19
2013/04/24,2,7,19
2013/04/25,2,8,20
2013/04/26,1,8,21
2013/04/27,1,8,21
2013/04/28,1,8,20
2013/04/29,1,7,18
2013/04/30,1,6,17
2013/05/01,1,6,16
2013/05/02,1,6,15
2013/05/03,1,6,15
2013/05/04,1,6,14
2013/05/05,2,6,14
2013/05/06,2,7,15
2013/05/07,2,7,15
2013/05/08,2,6,15
2013/05/09,2,6,13
2013/05/10,2,6,13
2013/05/11,2,6,15
2013/05/12,2,5,16
2013/05/13,2,5,17
2013/05/14,2,5,18
2013/05/15,2,5,17
2013/05/16,2,5,17
2013/05/17,2,6,17
2013/05/18,2,6,17
2013/05/19,2,7,18
2013/05/20,2,7,17
2013/05/21,2,7,17
2013/05/22,2,8,18
2013/05/23,2,8,19
2013/05/24,2,8,19
2013/05/25,2,7,18
2013/05/26,2,7,18
2013/05/27,2,7,19
2013/05/28,2,6,21
2013/05/29,2,6,22
2013/05/30,2,6,22
2013/05/31,2,6,22
2013/06/01,2,6,22
2013/06/02,2,8,22
2013/06/03,2,8,23
2013/06/04,2,8,23
2013/06/05,2,7,22
2013/06/06,2,7,22
2013/06/07,2,7,22
2013/06/08,2,7,22
2013/06/09,2,7,22
2013/06/10,2,7,20
2013/06/11,2,7,19
2013/06/12,2,7,18
2013/06/13,2,7,18
2013/06/14,2,7,18
2013/06/15,2,7,18
2013/06/16,2,6,18
2013/06/17,2,6,17
2013/06/18,2,6,17
2013/06/19,2,6,17
2013/06/20,2,6,17
2013/06/21,2,7,17
