date,ganwiki (100+),ganwiki (5+),ganwiki (all)
2012/08/19,3,24,53
2012/08/20,3,23,51
2012/08/21,3,23,51
2012/08/22,3,24,50
2012/08/23,3,24,50
2012/08/24,3,24,50
2012/08/25,2,21,49
2012/08/26,2,21,49
2012/08/27,2,23,49
2012/08/28,2,23,48
2012/08/29,2,23,48
2012/08/30,2,22,50
2012/08/31,2,21,52
2012/09/01,2,21,54
2012/09/02,2,21,53
2012/09/03,2,22,52
2012/09/04,2,22,53
2012/09/05,2,21,53
2012/09/06,2,23,53
2012/09/07,2,23,52
2012/09/08,2,23,51
2012/09/09,2,23,50
2012/09/10,2,22,50
2012/09/11,2,23,48
2012/09/12,2,22,48
2012/09/13,2,23,48
2012/09/14,2,23,48
2012/09/15,2,23,48
2012/09/16,2,24,48
2012/09/17,2,24,49
2012/09/18,2,25,48
2012/09/19,2,24,48
2012/09/20,2,23,48
2012/09/21,2,22,47
2012/09/22,2,22,46
2012/09/23,2,19,47
2012/09/24,2,19,47
2012/09/25,2,18,48
2012/09/26,2,16,48
2012/09/27,2,17,48
2012/09/28,2,17,48
2012/09/29,2,17,47
2012/09/30,2,17,47
2012/10/01,2,17,46
2012/10/02,2,17,44
2012/10/03,2,18,42
2012/10/04,2,18,41
2012/10/05,2,18,40
2012/10/06,2,16,39
2012/10/07,3,16,39
2012/10/08,3,16,39
2012/10/09,3,17,37
2012/10/10,3,18,37
2012/10/11,3,19,39
2012/10/12,3,19,39
2012/10/13,3,19,38
2012/10/14,3,19,38
2012/10/15,3,20,39
2012/10/16,3,21,38
2012/10/17,3,21,37
2012/10/18,3,21,38
2012/10/19,3,21,37
2012/10/20,3,21,37
2012/10/21,3,21,38
2012/10/22,3,22,38
2012/10/23,3,22,36
2012/10/24,3,20,36
2012/10/25,3,20,37
2012/10/26,3,20,37
2012/10/27,3,19,38
2012/10/28,3,20,40
2012/10/29,3,21,41
2012/10/30,4,21,41
2012/10/31,4,21,41
2012/11/01,4,21,42
2012/11/02,4,22,43
2012/11/03,4,22,44
2012/11/04,4,22,44
2012/11/05,4,23,43
2012/11/06,3,23,43
2012/11/07,3,22,43
2012/11/08,3,22,44
2012/11/09,3,22,45
2012/11/10,2,22,45
2012/11/11,2,22,44
2012/11/12,3,23,44
2012/11/13,3,22,44
2012/11/14,3,21,43
2012/11/15,3,21,45
2012/11/16,3,20,46
2012/11/17,3,20,44
2012/11/18,3,19,44
2012/11/19,3,21,44
2012/11/20,3,21,44
2012/11/21,3,20,45
2012/11/22,3,20,45
2012/11/23,3,20,46
2012/11/24,3,19,45
2012/11/25,3,19,45
2012/11/26,3,19,45
2012/11/27,3,19,46
2012/11/28,2,18,46
2012/11/29,2,18,44
2012/11/30,2,18,42
2012/12/01,2,18,41
2012/12/02,2,19,41
2012/12/03,3,19,41
2012/12/04,3,19,45
2012/12/05,3,20,46
2012/12/06,3,20,46
2012/12/07,3,20,47
2012/12/08,3,20,47
2012/12/09,3,20,47
2012/12/10,3,20,45
2012/12/11,3,20,46
2012/12/12,3,20,45
2012/12/13,3,20,45
2012/12/14,2,21,45
2012/12/15,2,22,45
2012/12/16,2,21,44
2012/12/17,1,21,44
2012/12/18,1,21,44
2012/12/19,1,21,44
2012/12/20,2,20,45
2012/12/21,2,20,44
2012/12/22,2,20,45
2012/12/23,2,19,45
2012/12/24,3,19,45
2012/12/25,3,18,46
2012/12/26,3,17,45
2012/12/27,3,17,44
2012/12/28,3,17,44
2012/12/29,3,18,44
2012/12/30,4,19,45
2012/12/31,3,19,45
2013/01/01,4,19,46
2013/01/02,3,20,44
2013/01/03,3,21,41
2013/01/04,3,21,42
2013/01/05,3,22,42
2013/01/06,3,22,42
2013/01/07,3,22,41
2013/01/08,4,22,40
2013/01/09,4,22,41
2013/01/10,4,22,41
2013/01/11,4,21,41
2013/01/12,4,21,41
2013/01/13,4,21,41
2013/01/14,4,21,43
2013/01/15,4,23,42
2013/01/16,5,23,43
2013/01/17,5,23,42
2013/01/18,5,23,44
2013/01/19,4,24,45
2013/01/20,4,24,44
2013/01/21,4,25,44
2013/01/22,4,23,44
2013/01/23,4,24,42
2013/01/24,4,25,42
2013/01/25,4,26,41
2013/01/26,4,25,41
2013/01/27,4,25,42
2013/01/28,4,25,42
2013/01/29,5,24,42
2013/01/30,5,24,44
2013/01/31,4,25,44
2013/02/01,4,25,45
2013/02/02,4,24,45
2013/02/03,4,23,45
2013/02/04,4,23,45
2013/02/05,4,23,45
2013/02/06,4,23,45
2013/02/07,3,24,44
2013/02/08,3,24,46
2013/02/09,3,23,45
2013/02/10,3,26,45
2013/02/11,3,26,45
2013/02/12,3,26,45
2013/02/13,3,25,44
2013/02/14,3,25,43
2013/02/15,3,24,42
2013/02/16,3,24,45
2013/02/17,3,25,45
2013/02/18,3,24,44
2013/02/19,4,24,44
2013/02/20,4,24,43
2013/02/21,4,23,41
2013/02/22,4,22,41
