date,simplewiki (100+),simplewiki (5+),simplewiki (all)
2012/08/19,30,150,628
2012/08/20,29,152,629
2012/08/21,28,151,625
2012/08/22,25,155,626
2012/08/23,25,155,630
2012/08/24,24,162,589
2012/08/25,26,158,611
2012/08/26,27,156,610
2012/08/27,27,156,615
2012/08/28,29,153,616
2012/08/29,27,157,623
2012/08/30,27,154,616
2012/08/31,26,156,611
2012/09/01,27,155,614
2012/09/02,28,154,610
2012/09/03,27,153,614
2012/09/04,25,156,613
2012/09/05,25,158,611
2012/09/06,25,153,609
2012/09/07,27,152,608
2012/09/08,26,151,612
2012/09/09,27,150,608
2012/09/10,27,148,610
2012/09/11,27,152,617
2012/09/12,26,155,625
2012/09/13,26,157,627
2012/09/14,26,157,622
2012/09/15,26,159,624
2012/09/16,26,160,615
2012/09/17,28,160,617
2012/09/18,28,164,623
2012/09/19,29,166,625
2012/09/20,30,166,628
2012/09/21,28,164,623
2012/09/22,30,161,621
2012/09/23,30,156,614
2012/09/24,29,154,600
2012/09/25,30,157,604
2012/09/26,30,155,613
2012/09/27,31,154,611
2012/09/28,29,153,616
2012/09/29,29,153,618
2012/09/30,29,154,607
2012/10/01,27,152,603
2012/10/02,27,157,609
2012/10/03,27,160,618
2012/10/04,28,159,625
2012/10/05,27,158,626
2012/10/06,28,168,638
2012/10/07,30,169,626
2012/10/08,29,167,617
2012/10/09,28,164,621
2012/10/10,27,164,613
2012/10/11,25,162,613
2012/10/12,26,160,620
2012/10/13,26,156,603
2012/10/14,25,154,606
2012/10/15,25,152,607
2012/10/16,25,152,603
2012/10/17,25,149,606
2012/10/18,25,150,604
2012/10/19,24,153,600
2012/10/20,24,153,609
2012/10/21,24,156,613
2012/10/22,23,162,612
2012/10/23,24,163,611
2012/10/24,24,164,620
2012/10/25,23,165,617
2012/10/26,24,165,614
2012/10/27,23,165,617
2012/10/28,23,165,622
2012/10/29,23,165,618
2012/10/30,24,162,621
2012/10/31,24,164,636
2012/11/01,24,159,626
2012/11/02,23,159,631
2012/11/03,22,157,626
2012/11/04,21,155,627
2012/11/05,22,154,625
2012/11/06,23,155,635
2012/11/07,25,157,638
2012/11/08,25,161,634
2012/11/09,25,163,639
2012/11/10,25,159,632
2012/11/11,24,160,626
2012/11/12,25,158,632
2012/11/13,26,159,622
2012/11/14,26,159,618
2012/11/15,26,159,633
2012/11/16,26,161,634
2012/11/17,25,162,629
2012/11/18,25,165,623
2012/11/19,25,165,627
2012/11/20,24,165,628
2012/11/21,25,163,658
2012/11/22,25,164,665
2012/11/23,25,164,672
2012/11/24,25,160,660
2012/11/25,26,162,664
2012/11/26,26,159,665
2012/11/27,27,159,656
2012/11/28,28,170,671
2012/11/29,27,171,680
2012/11/30,27,176,681
2012/12/01,27,179,690
2012/12/02,28,175,685
2012/12/03,28,174,685
2012/12/04,29,178,690
2012/12/05,27,178,700
2012/12/06,27,179,705
2012/12/07,27,183,726
2012/12/08,27,185,726
2012/12/09,27,185,720
2012/12/10,26,187,724
2012/12/11,27,192,732
2012/12/12,28,193,738
2012/12/13,28,201,744
2012/12/14,27,206,755
2012/12/15,27,210,747
