date,dsbwiki (100+),dsbwiki (5+),dsbwiki (all)
2012/08/19,2,20,42
2012/08/20,2,21,44
2012/08/21,1,21,43
2012/08/22,1,20,43
2012/08/23,1,20,45
2012/08/24,1,21,46
2012/08/25,1,20,49
2012/08/26,1,19,48
2012/08/27,1,19,48
2012/08/28,1,19,49
2012/08/29,1,19,52
2012/08/30,1,19,51
2012/08/31,1,19,50
2012/09/01,1,20,50
2012/09/02,1,20,50
2012/09/03,1,19,52
2012/09/04,1,19,54
2012/09/05,1,18,54
2012/09/06,1,20,55
2012/09/07,1,21,54
2012/09/08,1,20,53
2012/09/09,1,18,51
2012/09/10,2,18,51
2012/09/11,2,18,52
2012/09/12,2,18,52
2012/09/13,2,17,54
2012/09/14,2,17,53
2012/09/15,2,16,53
2012/09/16,2,15,53
2012/09/17,2,15,54
2012/09/18,2,15,52
2012/09/19,2,14,51
2012/09/20,2,14,51
2012/09/21,2,14,49
2012/09/22,2,14,48
2012/09/23,2,13,47
2012/09/24,2,12,44
2012/09/25,2,12,44
2012/09/26,2,11,44
2012/09/27,2,11,43
2012/09/28,2,12,42
2012/09/29,2,12,43
2012/09/30,2,12,43
2012/10/01,2,12,39
2012/10/02,2,12,40
2012/10/03,2,12,39
2012/10/04,2,12,40
2012/10/05,2,12,39
2012/10/06,2,12,38
2012/10/07,2,12,39
2012/10/08,3,12,39
2012/10/09,3,12,37
2012/10/10,3,13,37
2012/10/11,3,15,35
2012/10/12,3,17,35
2012/10/13,3,16,32
2012/10/14,3,18,31
2012/10/15,3,18,32
2012/10/16,3,18,32
2012/10/17,3,17,34
2012/10/18,3,17,34
2012/10/19,3,18,34
2012/10/20,3,18,38
2012/10/21,3,19,40
2012/10/22,3,21,41
2012/10/23,3,21,41
2012/10/24,3,21,42
2012/10/25,3,19,42
2012/10/26,3,19,44
2012/10/27,3,21,43
2012/10/28,3,21,44
2012/10/29,3,21,44
2012/10/30,3,20,45
2012/10/31,3,22,45
2012/11/01,3,22,44
2012/11/02,3,22,43
2012/11/03,3,22,42
2012/11/04,3,22,41
2012/11/05,3,22,42
2012/11/06,2,22,42
2012/11/07,2,22,42
2012/11/08,2,22,42
2012/11/09,2,23,42
2012/11/10,2,23,42
2012/11/11,2,23,42
2012/11/12,2,23,43
2012/11/13,2,23,42
2012/11/14,1,24,42
2012/11/15,1,23,43
2012/11/16,1,23,44
2012/11/17,1,23,44
2012/11/18,1,23,45
2012/11/19,1,22,41
2012/11/20,1,21,39
2012/11/21,1,19,39
2012/11/22,2,19,41
2012/11/23,1,19,41
2012/11/24,1,19,41
