date,fiwiki (100+),fiwiki (5+),fiwiki (all)
2012/08/19,98,565,1707
2012/08/20,99,566,1724
2012/08/21,100,569,1722
2012/08/22,102,575,1735
2012/08/23,103,576,1738
2012/08/24,96,571,1713
2012/08/25,99,582,1750
2012/08/26,101,580,1760
2012/08/27,102,592,1774
2012/08/28,104,593,1782
2012/08/29,102,589,1797
2012/08/30,102,596,1817
2012/08/31,104,592,1822
2012/09/01,104,593,1812
2012/09/02,105,597,1810
2012/09/03,106,588,1808
2012/09/04,107,590,1815
2012/09/05,107,584,1799
2012/09/06,108,590,1806
2012/09/07,107,581,1810
2012/09/08,106,581,1811
2012/09/09,107,584,1814
2012/09/10,108,583,1815
2012/09/11,107,590,1827
2012/09/12,105,589,1823
2012/09/13,106,590,1803
2012/09/14,105,581,1812
2012/09/15,109,580,1815
2012/09/16,106,581,1808
2012/09/17,110,576,1811
2012/09/18,108,573,1832
2012/09/19,109,576,1839
2012/09/20,108,575,1857
2012/09/21,106,582,1846
2012/09/22,105,575,1846
2012/09/23,106,583,1841
2012/09/24,105,570,1839
2012/09/25,104,570,1841
2012/09/26,101,569,1837
2012/09/27,101,574,1838
2012/09/28,101,574,1842
2012/09/29,104,574,1811
2012/09/30,102,582,1804
2012/10/01,100,580,1797
2012/10/02,99,577,1789
2012/10/03,98,579,1791
2012/10/04,97,581,1791
2012/10/05,97,581,1792
2012/10/06,97,583,1799
2012/10/07,97,584,1786
2012/10/08,96,576,1767
2012/10/09,97,564,1762
2012/10/10,95,563,1758
2012/10/11,97,560,1765
2012/10/12,97,559,1761
2012/10/13,96,562,1774
2012/10/14,96,572,1771
2012/10/15,96,573,1777
2012/10/16,96,574,1798
2012/10/17,99,569,1801
2012/10/18,98,570,1798
2012/10/19,99,577,1794
2012/10/20,98,579,1784
2012/10/21,97,578,1781
2012/10/22,97,574,1780
2012/10/23,94,575,1789
2012/10/24,95,577,1798
2012/10/25,95,571,1791
2012/10/26,95,566,1791
2012/10/27,96,563,1794
2012/10/28,96,566,1785
2012/10/29,97,569,1787
2012/10/30,97,566,1791
2012/10/31,94,567,1809
2012/11/01,94,559,1816
2012/11/02,93,560,1811
2012/11/03,93,570,1821
2012/11/04,94,568,1829
2012/11/05,97,568,1831
2012/11/06,97,576,1839
2012/11/07,95,582,1855
2012/11/08,95,580,1846
2012/11/09,92,580,1843
2012/11/10,94,578,1833
2012/11/11,93,573,1831
2012/11/12,93,571,1838
2012/11/13,95,566,1834
2012/11/14,96,569,1830
2012/11/15,98,576,1831
2012/11/16,98,575,1841
2012/11/17,96,570,1847
2012/11/18,94,575,1850
2012/11/19,96,574,1835
2012/11/20,97,572,1836
2012/11/21,93,572,1843
2012/11/22,94,575,1843
2012/11/23,96,577,1853
2012/11/24,98,579,1854
2012/11/25,96,589,1871
2012/11/26,94,595,1873
2012/11/27,97,588,1878
2012/11/28,96,593,1878
2012/11/29,93,604,1884
2012/11/30,91,604,1875
2012/12/01,92,606,1886
2012/12/02,93,609,1885
2012/12/03,94,604,1869
2012/12/04,95,602,1870
2012/12/05,93,598,1861
2012/12/06,94,599,1849
2012/12/07,93,593,1836
2012/12/08,95,589,1843
2012/12/09,96,593,1844
2012/12/10,97,595,1849
2012/12/11,96,593,1846
2012/12/12,95,586,1837
2012/12/13,97,589,1840
2012/12/14,96,580,1847
2012/12/15,96,581,1834
2012/12/16,96,585,1823
2012/12/17,98,581,1813
2012/12/18,102,582,1819
2012/12/19,100,581,1800
2012/12/20,98,584,1792
2012/12/21,98,582,1779
2012/12/22,97,583,1753
2012/12/23,96,581,1719
2012/12/24,96,572,1703
2012/12/25,95,565,1682
2012/12/26,91,560,1665
2012/12/27,93,555,1668
2012/12/28,92,542,1671
2012/12/29,93,535,1663
2012/12/30,95,535,1664
2012/12/31,95,538,1655
2013/01/01,96,544,1653
2013/01/02,97,552,1676
2013/01/03,99,564,1688
2013/01/04,98,561,1683
2013/01/05,99,567,1692
2013/01/06,97,570,1700
2013/01/07,95,570,1697
2013/01/08,94,574,1711
2013/01/09,97,573,1717
2013/01/10,97,578,1710
2013/01/11,97,583,1726
2013/01/12,99,584,1729
2013/01/13,101,588,1738
2013/01/14,101,589,1736
2013/01/15,101,587,1746
2013/01/16,95,589,1739
2013/01/17,95,598,1764
2013/01/18,94,605,1780
2013/01/19,96,613,1795
2013/01/20,99,604,1796
2013/01/21,102,599,1810
2013/01/22,101,601,1827
2013/01/23,100,608,1845
2013/01/24,101,619,1879
2013/01/25,102,623,1893
2013/01/26,102,629,1907
2013/01/27,104,641,1923
2013/01/28,104,638,1915
2013/01/29,102,646,1922
2013/01/30,103,641,1935
2013/01/31,102,642,1933
2013/02/01,99,633,1920
2013/02/02,99,646,1939
2013/02/03,99,649,1945
2013/02/04,101,644,1939
2013/02/05,96,640,1951
2013/02/06,97,638,1955
2013/02/07,98,640,1949
2013/02/08,101,641,1959
2013/02/09,98,645,1967
2013/02/10,99,641,1957
2013/02/11,99,647,1977
2013/02/12,96,639,1968
2013/02/13,95,638,1952
2013/02/14,95,637,1953
2013/02/15,98,633,1955
2013/02/16,96,628,1948
2013/02/17,97,625,1953
2013/02/18,95,618,1958
2013/02/19,95,626,1966
2013/02/20,92,629,1972
2013/02/21,93,630,1972
2013/02/22,91,622,1975
2013/02/23,94,622,1949
2013/02/24,96,625,1937
2013/02/25,97,627,1930
2013/02/26,96,625,1930
2013/02/27,94,621,1913
2013/02/28,98,619,1917
2013/03/01,96,625,1908
2013/03/02,97,623,1909
2013/03/03,94,624,1909
2013/03/04,96,605,1887
2013/03/05,92,599,1869
2013/03/06,87,601,1877
2013/03/07,87,605,1879
2013/03/08,89,603,1874
2013/03/09,86,596,1872
2013/03/10,89,588,1860
2013/03/11,87,586,1869
2013/03/12,88,584,1882
2013/03/13,85,584,1878
2013/03/14,86,591,1896
2013/03/15,87,595,1910
2013/03/16,86,605,1915
2013/03/17,86,603,1908
2013/03/18,90,603,1887
2013/03/19,89,596,1905
2013/03/20,89,598,1901
2013/03/21,90,602,1894
2013/03/22,90,596,1878
2013/03/23,92,596,1883
2013/03/24,94,595,1881
2013/03/25,96,596,1892
2013/03/26,97,597,1901
2013/03/27,96,594,1907
2013/03/28,97,593,1906
2013/03/29,95,587,1916
2013/03/30,97,591,1907
2013/03/31,99,585,1897
2013/04/01,99,588,1871
2013/04/02,99,587,1864
2013/04/03,97,588,1859
2013/04/04,97,591,1859
2013/04/05,97,590,1861
