date,nawiki (100+),nawiki (5+),nawiki (all)
2012/08/19,,8,23
2012/08/20,,9,24
2012/08/21,,9,24
2012/08/22,,9,24
2012/08/23,,10,25
2012/08/24,,10,24
2012/08/25,,11,24
2012/08/26,,11,25
2012/08/27,,11,25
2012/08/28,,10,26
2012/08/29,,11,26
2012/08/30,,11,26
2012/08/31,,11,26
2012/09/01,,12,26
2012/09/02,,12,26
2012/09/03,,12,28
2012/09/04,,12,28
2012/09/05,,11,27
2012/09/06,,11,27
2012/09/07,,11,27
2012/09/08,,11,27
2012/09/09,,11,29
2012/09/10,,11,29
2012/09/11,,11,29
2012/09/12,,11,29
2012/09/13,,11,30
2012/09/14,,10,31
2012/09/15,,10,31
2012/09/16,,10,31
2012/09/17,,11,32
2012/09/18,,11,32
2012/09/19,,9,31
2012/09/20,,9,31
2012/09/21,,9,30
2012/09/22,,9,30
2012/09/23,,8,30
2012/09/24,,9,29
2012/09/25,,9,28
2012/09/26,,9,27
2012/09/27,,9,26
2012/09/28,,9,25
2012/09/29,,9,25
2012/09/30,,10,25
2012/10/01,,8,24
2012/10/02,,8,23
2012/10/03,,10,21
2012/10/04,,10,23
2012/10/05,,10,22
2012/10/06,,10,22
2012/10/07,,10,22
2012/10/08,,10,22
2012/10/09,,10,21
2012/10/10,,10,21
2012/10/11,1,10,20
2012/10/12,1,10,20
2012/10/13,1,10,20
2012/10/14,1,10,21
2012/10/15,1,10,22
2012/10/16,1,10,22
2012/10/17,,10,22
2012/10/18,,10,22
2012/10/19,,10,24
2012/10/20,,9,24
2012/10/21,,9,24
2012/10/22,,9,26
2012/10/23,,9,27
2012/10/24,,9,27
2012/10/25,,9,27
2012/10/26,,9,28
2012/10/27,,9,29
2012/10/28,1,10,30
2012/10/29,1,9,30
2012/10/30,1,9,31
2012/10/31,1,9,32
2012/11/01,1,9,33
2012/11/02,1,9,33
2012/11/03,1,11,33
2012/11/04,,11,34
2012/11/05,1,11,33
2012/11/06,,11,33
2012/11/07,1,11,33
2012/11/08,,12,34
2012/11/09,1,13,33
2012/11/10,1,13,33
2012/11/11,1,13,33
2012/11/12,,12,33
2012/11/13,1,13,32
2012/11/14,1,13,31
2012/11/15,1,13,31
2012/11/16,1,13,32
2012/11/17,1,14,32
2012/11/18,1,14,33
2012/11/19,1,14,31
2012/11/20,1,14,32
2012/11/21,1,14,31
2012/11/22,1,14,32
2012/11/23,1,14,33
2012/11/24,1,15,33
2012/11/25,1,15,33
2012/11/26,1,15,34
2012/11/27,,15,34
2012/11/28,,15,35
2012/11/29,,15,35
2012/11/30,,15,34
2012/12/01,,15,33
2012/12/02,,15,32
2012/12/03,,14,30
2012/12/04,,14,29
2012/12/05,,14,29
2012/12/06,1,14,29
2012/12/07,,13,29
2012/12/08,,15,29
2012/12/09,,14,29
2012/12/10,,14,29
2012/12/11,,14,29
2012/12/12,,12,29
2012/12/13,,12,29
2012/12/14,,14,29
2012/12/15,,14,29
2012/12/16,,14,29
2012/12/17,,14,29
2012/12/18,,14,27
2012/12/19,,14,27
2012/12/20,,14,26
2012/12/21,,14,26
2012/12/22,,14,24
2012/12/23,,14,24
2012/12/24,,13,25
2012/12/25,,12,26
2012/12/26,,12,26
2012/12/27,,12,27
2012/12/28,,12,26
2012/12/29,,12,25
2012/12/30,,13,26
2012/12/31,,14,26
2013/01/01,,14,26
2013/01/02,,14,26
2013/01/03,,14,26
2013/01/04,,14,26
2013/01/05,,14,26
2013/01/06,,13,26
2013/01/07,,13,25
2013/01/08,,13,25
2013/01/09,,13,25
2013/01/10,,13,25
2013/01/11,,13,25
2013/01/12,,13,25
2013/01/13,,13,26
2013/01/14,,13,26
2013/01/15,,13,26
2013/01/16,,13,27
2013/01/17,,13,26
2013/01/18,,13,26
2013/01/19,,14,27
2013/01/20,,14,28
2013/01/21,1,14,28
2013/01/22,1,13,27
2013/01/23,,14,26
2013/01/24,,14,25
2013/01/25,1,15,25
2013/01/26,1,15,25
2013/01/27,1,15,25
2013/01/28,1,15,25
2013/01/29,1,15,25
2013/01/30,2,15,25
2013/01/31,2,15,25
2013/02/01,1,15,24
2013/02/02,1,14,24
2013/02/03,1,13,24
2013/02/04,1,13,24
2013/02/05,1,13,24
2013/02/06,1,12,25
2013/02/07,1,12,25
2013/02/08,1,11,24
2013/02/09,1,11,25
2013/02/10,1,12,26
2013/02/11,1,13,26
2013/02/12,1,13,25
2013/02/13,1,13,25
2013/02/14,1,14,25
2013/02/15,1,14,24
2013/02/16,1,14,26
2013/02/17,1,14,27
2013/02/18,1,13,27
2013/02/19,1,12,27
2013/02/20,1,12,27
2013/02/21,1,12,28
2013/02/22,1,12,28
2013/02/23,1,12,28
2013/02/24,1,13,27
2013/02/25,1,13,27
2013/02/26,1,14,26
2013/02/27,1,14,26
2013/02/28,1,14,26
2013/03/01,1,13,26
2013/03/02,1,13,26
2013/03/03,1,13,26
2013/03/04,1,13,26
2013/03/05,1,13,27
2013/03/06,1,13,27
2013/03/07,1,13,27
2013/03/08,2,14,27
2013/03/09,2,14,27
2013/03/10,2,14,28
2013/03/11,2,14,28
2013/03/12,2,13,28
2013/03/13,2,13,29
2013/03/14,2,13,30
2013/03/15,2,12,29
2013/03/16,2,11,27
