date,sgwiki (100+),sgwiki (5+),sgwiki (all)
2012/08/19,,8,22
2012/08/20,,7,24
2012/08/21,,7,24
2012/08/22,,7,23
2012/08/23,,7,23
2012/08/24,,7,23
2012/08/25,,7,24
2012/08/26,,7,21
2012/08/27,,7,22
2012/08/28,,7,23
2012/08/29,,7,23
2012/08/30,,8,25
2012/08/31,,8,25
2012/09/01,,8,25
2012/09/02,,7,25
2012/09/03,,7,25
2012/09/04,,7,25
2012/09/05,,7,25
2012/09/06,,7,25
2012/09/07,,7,24
2012/09/08,,7,23
2012/09/09,,7,24
2012/09/10,,7,25
2012/09/11,,7,26
2012/09/12,,7,27
2012/09/13,,7,27
2012/09/14,,7,27
2012/09/15,,7,27
2012/09/16,,7,27
2012/09/17,,8,27
2012/09/18,,8,27
2012/09/19,,8,27
2012/09/20,,9,27
2012/09/21,,9,26
2012/09/22,,9,27
2012/09/23,,8,27
2012/09/24,,8,26
2012/09/25,,8,26
2012/09/26,,8,23
2012/09/27,,8,24
2012/09/28,,8,24
2012/09/29,,8,21
2012/09/30,,8,21
2012/10/01,,8,22
2012/10/02,,8,22
2012/10/03,,8,22
2012/10/04,,8,23
2012/10/05,,8,22
2012/10/06,,8,22
2012/10/07,,8,22
2012/10/08,,8,22
2012/10/09,,8,21
2012/10/10,,8,20
2012/10/11,,8,19
2012/10/12,,8,19
2012/10/13,,8,19
2012/10/14,,8,19
2012/10/15,,8,19
2012/10/16,,8,20
2012/10/17,,8,20
2012/10/18,,9,20
2012/10/19,,7,20
2012/10/20,,7,21
2012/10/21,,7,22
2012/10/22,,6,22
2012/10/23,,6,22
2012/10/24,,6,22
2012/10/25,,6,22
2012/10/26,,5,22
2012/10/27,,5,23
2012/10/28,,5,24
2012/10/29,,6,25
2012/10/30,,6,25
2012/10/31,,6,25
2012/11/01,,6,25
2012/11/02,,7,26
2012/11/03,,7,25
2012/11/04,,6,25
2012/11/05,,6,25
2012/11/06,,7,26
2012/11/07,,7,26
2012/11/08,,7,26
2012/11/09,,7,26
2012/11/10,,7,26
2012/11/11,,8,26
2012/11/12,,8,26
2012/11/13,,10,26
2012/11/14,,10,26
2012/11/15,,10,25
2012/11/16,,10,25
2012/11/17,,10,24
2012/11/18,,10,24
2012/11/19,,10,23
2012/11/20,,10,22
2012/11/21,,10,22
2012/11/22,,10,23
2012/11/23,,9,24
2012/11/24,,10,24
2012/11/25,,9,25
2012/11/26,,9,25
2012/11/27,,9,24
2012/11/28,,9,24
2012/11/29,,9,24
2012/11/30,,9,24
2012/12/01,,9,24
2012/12/02,,9,25
2012/12/03,,9,25
2012/12/04,,10,25
2012/12/05,,10,25
2012/12/06,,10,25
2012/12/07,,10,26
2012/12/08,,11,26
2012/12/09,,11,26
2012/12/10,,11,26
2012/12/11,,11,25
2012/12/12,,10,25
2012/12/13,,9,27
2012/12/14,,9,28
2012/12/15,,9,29
2012/12/16,,9,30
2012/12/17,,9,31
2012/12/18,,9,31
2012/12/19,,9,31
2012/12/20,,9,31
2012/12/21,,9,30
2012/12/22,,10,29
2012/12/23,,10,30
2012/12/24,,10,30
2012/12/25,,10,30
2012/12/26,,10,29
2012/12/27,,10,29
2012/12/28,,10,29
2012/12/29,,10,29
2012/12/30,,10,29
2012/12/31,,10,30
2013/01/01,,10,31
2013/01/02,,9,30
2013/01/03,,9,30
2013/01/04,,9,31
2013/01/05,,9,31
2013/01/06,,9,29
2013/01/07,,9,29
2013/01/08,,8,30
2013/01/09,,8,30
2013/01/10,,8,29
2013/01/11,,8,29
2013/01/12,,8,27
2013/01/13,,8,27
2013/01/14,,8,27
2013/01/15,,8,28
2013/01/16,,7,26
2013/01/17,,7,26
2013/01/18,,7,27
2013/01/19,,7,27
2013/01/20,,7,30
2013/01/21,,7,29
2013/01/22,,6,30
2013/01/23,,6,30
2013/01/24,,6,30
2013/01/25,,6,31
2013/01/26,,7,31
2013/01/27,,7,30
2013/01/28,,7,29
2013/01/29,,7,29
2013/01/30,,7,30
2013/01/31,,7,28
2013/02/01,,6,27
2013/02/02,,5,27
2013/02/03,,5,26
2013/02/04,,5,25
2013/02/05,,5,25
2013/02/06,,6,27
2013/02/07,,6,26
2013/02/08,,6,27
2013/02/09,,6,28
2013/02/10,,6,29
2013/02/11,,6,27
2013/02/12,,6,28
2013/02/13,,6,28
2013/02/14,,6,27
2013/02/15,,6,27
2013/02/16,,6,29
2013/02/17,,6,28
2013/02/18,,6,27
2013/02/19,,6,24
2013/02/20,,6,25
2013/02/21,,6,23
2013/02/22,,7,23
2013/02/23,,7,23
2013/02/24,,6,23
2013/02/25,,6,22
2013/02/26,,7,22
2013/02/27,,7,22
2013/02/28,,7,22
2013/03/01,,7,22
2013/03/02,,7,22
2013/03/03,,7,22
2013/03/04,,7,22
2013/03/05,,7,22
2013/03/06,,7,22
2013/03/07,,7,22
2013/03/08,1,8,21
2013/03/09,1,8,22
2013/03/10,1,8,22
2013/03/11,1,8,21
2013/03/12,1,9,20
2013/03/13,1,8,20
2013/03/14,1,8,19
2013/03/15,1,8,18
2013/03/16,1,8,17
2013/03/17,1,8,17
2013/03/18,1,8,15
2013/03/19,1,8,14
2013/03/20,1,8,14
2013/03/21,1,8,14
2013/03/22,1,7,14
2013/03/23,1,7,14
2013/03/24,1,7,14
2013/03/25,1,7,14
2013/03/26,1,7,15
2013/03/27,1,6,14
2013/03/28,1,5,13
2013/03/29,1,4,13
2013/03/30,1,4,12
2013/03/31,1,4,12
2013/04/01,1,4,12
2013/04/02,1,3,12
2013/04/03,1,2,11
2013/04/04,1,2,8
2013/04/05,1,2,7
2013/04/06,1,2,7
2013/04/07,,2,6
2013/04/08,,1,4
2013/04/09,,1,6
2013/04/10,,1,6
2013/04/11,,,5
2013/04/12,,,5
2013/04/13,,,5
2013/04/14,,,5
2013/04/15,,,6
2013/04/16,,,6
2013/04/17,,,7
2013/04/18,,,7
2013/04/19,,,7
2013/04/20,,,7
2013/04/21,,,7
2013/04/22,,,7
2013/04/23,,,7
2013/04/24,,,7
2013/04/25,,,6
2013/04/26,,,6
2013/04/27,,,6
2013/04/28,,,6
2013/04/29,,,6
2013/04/30,,,6
2013/05/01,,,6
2013/05/02,,,6
2013/05/03,,,5
2013/05/04,,,5
2013/05/05,,,5
2013/05/06,,,6
2013/05/07,,,7
2013/05/08,,,6
2013/05/09,,,5
2013/05/10,,,5
2013/05/11,,,5
2013/05/12,,,5
2013/05/13,,,5
2013/05/14,,,5
2013/05/15,,,5
2013/05/16,,,5
2013/05/17,,,4
2013/05/18,,,4
2013/05/19,,,4
2013/05/20,,,5
2013/05/21,,,5
2013/05/22,,,5
2013/05/23,,,5
2013/05/24,,,5
2013/05/25,,,5
2013/05/26,,,5
2013/05/27,,,5
2013/05/28,,,5
2013/05/29,,,5
2013/05/30,,,5
2013/05/31,,,5
2013/06/01,,,5
2013/06/02,,1,6
2013/06/03,,1,6
2013/06/04,,1,6
2013/06/05,,1,5
2013/06/06,,1,4
2013/06/07,,1,4
2013/06/08,,1,3
2013/06/09,,1,3
2013/06/10,,1,3
2013/06/11,,1,3
2013/06/12,,1,3
2013/06/13,,1,3
2013/06/14,,1,3
2013/06/15,,1,3
2013/06/16,,1,3
2013/06/17,,1,3
2013/06/18,,1,3
2013/06/19,,1,2
2013/06/20,,1,1
2013/06/21,,1,1
2013/06/22,,1,2
2013/06/23,,1,2
2013/06/24,,1,2
2013/06/25,,1,2
2013/06/26,,1,2
2013/06/27,,1,2
2013/06/28,,1,2
2013/06/29,,1,2
2013/06/30,,1,2
2013/07/01,,1,2
2013/07/02,,,2
2013/07/03,,,2
2013/07/04,,,2
2013/07/05,,,2
2013/07/06,,,2
2013/07/07,,,2
2013/07/08,,,2
2013/07/09,,,2
2013/07/10,,,2
2013/07/11,,,2
2013/07/12,,,2
2013/07/13,,,2
2013/07/14,,,2
2013/07/15,,,2
2013/07/16,,,2
2013/07/17,,,2
2013/07/18,,,2
2013/07/19,,,2
2013/07/20,,,2
2013/07/21,,,3
2013/07/22,,,2
2013/07/23,,,2
2013/07/24,,,2
2013/07/25,,,2
2013/07/26,,,2
2013/07/27,,,2
2013/07/28,,,2
2013/07/29,,,2
2013/07/30,,,2
2013/07/31,,,2
2013/08/01,,,1
2013/08/02,,,1
2013/08/03,,,1
2013/08/04,,,1
2013/08/05,,,1
2013/08/06,,,1
2013/08/07,,,2
2013/08/08,,,2
2013/08/09,,,2
2013/08/10,,,2
2013/08/11,,,2
2013/08/12,,,2
2013/08/13,,,2
2013/08/14,,,2
2013/08/15,,,2
2013/08/16,,,2
2013/08/17,,,2
2013/08/18,,,2
2013/08/19,,,2
2013/08/20,,,1
2013/08/21,,,1
2013/08/22,,,1
2013/08/23,,,1
2013/08/24,,,1
2013/08/25,,,1
2013/08/26,,,1
2013/08/27,,,1
2013/08/28,,,1
2013/08/29,,,2
2013/08/30,,,1
2013/08/31,,,1
2013/09/01,,,1
2013/09/02,,,1
2013/09/03,,,1
2013/09/04,,,1
2013/09/05,,,1
2013/09/24,,,1
2013/09/25,,,1
2013/09/26,,,1
2013/09/27,,,1
2013/09/28,,,1
2013/09/29,,,1
2013/09/30,,,1
2013/10/01,,,2
2013/10/02,,,2
2013/10/03,,,2
2013/10/04,,,2
2013/10/05,,,2
2013/10/06,,,2
2013/10/07,,,2
2013/10/08,,,2
2013/10/09,,,2
2013/10/10,,,2
2013/10/11,,,3
2013/10/12,,,2
2013/10/13,,,2
2013/10/14,,,2
2013/10/15,,,2
2013/10/16,,,2
2013/10/17,,,2
2013/10/18,,,2
2013/10/19,,,2
2013/10/20,,,2
2013/10/21,,,2
2013/10/22,,,2
2013/10/23,,,2
2013/10/24,,,1
2013/10/25,,,1
2013/10/26,,,1
2013/10/27,,,1
2013/10/28,,,1
2013/10/29,,,1
2013/10/30,,,1
2013/11/24,,,1
2013/11/25,,,1
2013/11/26,,,1
2013/11/27,,,1
2013/11/28,,,2
2013/11/29,,,2
2013/11/30,,,2
2013/12/01,,,2
2013/12/02,,,2
2013/12/03,,,2
2013/12/04,,,2
2013/12/05,,,2
2013/12/06,,,2
2013/12/07,,,2
2013/12/08,,,2
2013/12/09,,,3
2013/12/10,,,3
2013/12/11,,,3
2013/12/12,,,3
2013/12/13,,,3
2013/12/14,,,3
2013/12/15,,,3
2013/12/16,,,3
2013/12/17,,,3
2013/12/18,,,3
2013/12/19,,,3
2013/12/20,,,3
2013/12/21,,,3
2013/12/22,,,3
2013/12/23,,,3
2013/12/24,,,2
2013/12/25,,,2
2013/12/26,,,2
2013/12/27,,,2
2013/12/28,,,2
2013/12/29,,,2
2013/12/30,,,2
2013/12/31,,,2
2014/01/01,,,2
2014/01/02,,,3
2014/01/03,,,3
2014/01/04,,,3
2014/01/05,,,3
2014/01/06,,,3
2014/01/07,,,3
2014/01/08,,,3
2014/01/09,,,3
2014/01/10,,,3
2014/01/11,,,3
2014/01/12,,,3
2014/01/13,,,3
2014/01/14,,,3
2014/01/15,,,3
2014/01/16,,,3
2014/01/17,,,3
2014/01/18,,,3
2014/01/19,,1,4
2014/01/20,,1,5
2014/01/21,,1,5
2014/01/22,,1,5
2014/01/23,,1,5
2014/01/24,,1,5
2014/01/25,,1,5
2014/01/26,,1,5
2014/01/27,,1,4
2014/01/28,,1,4
2014/01/29,,1,4
2014/01/30,,1,4
2014/01/31,,1,4
2014/02/01,,1,3
2014/02/02,,1,4
2014/02/03,,1,4
2014/02/04,,1,4
2014/02/05,,1,4
2014/02/06,,1,4
2014/02/07,,1,3
2014/02/08,,1,3
2014/02/09,,1,3
2014/02/10,,1,3
2014/02/11,,1,3
2014/02/12,,1,3
2014/02/13,,1,3
2014/02/14,,1,3
2014/02/15,,1,3
2014/02/16,,1,3
2014/02/17,,1,3
2014/02/18,,,2
2014/02/19,,,1
2014/02/20,,,1
2014/02/21,,,1
2014/02/22,,,1
2014/02/23,,,1
2014/02/24,,,1
2014/02/25,,,1
2014/02/26,,,1
2014/02/27,,,1
2014/02/28,,,1
2014/03/01,,,1
2014/03/02,,,1
2014/03/03,,,1
2014/03/14,,1,1
2014/03/15,,1,1
2014/03/16,,1,1
2014/03/17,,1,1
2014/03/18,,1,1
2014/03/19,,1,1
2014/03/20,,2,2
2014/03/21,,2,2
2014/03/22,,2,2
2014/03/23,,2,2
2014/03/24,,2,2
2014/03/25,,3,3
2014/03/26,,3,3
2014/03/27,,3,4
2014/03/28,,3,4
2014/03/29,,3,4
2014/03/30,,3,4
2014/03/31,,3,4
2014/04/01,,3,4
2014/04/02,,3,4
2014/04/03,,3,4
2014/04/04,,3,4
2014/04/05,,3,4
2014/04/06,,3,4
2014/04/07,,3,4
2014/04/08,,3,4
2014/04/09,,3,4
2014/04/10,,3,4
2014/04/11,,3,4
2014/04/12,,3,4
2014/04/13,,2,4
2014/04/14,,2,3
2014/04/15,,2,3
2014/04/16,,2,3
2014/04/17,,2,3
2014/04/18,,2,3
2014/04/19,,1,2
2014/04/20,,1,2
2014/04/21,,1,2
2014/04/22,,1,2
2014/04/23,,1,2
2014/04/24,,,1
2014/04/25,,,1
2014/05/01,,,1
2014/05/02,,,1
2014/05/03,,,1
2014/05/04,,,1
2014/05/05,,,1
2014/05/06,,,1
2014/05/07,,,3
2014/05/08,,,3
2014/05/09,,,3
2014/05/10,,,3
2014/05/11,,,3
2014/05/12,,,3
2014/05/13,,,3
2014/05/14,,,3
2014/05/15,,,3
2014/05/16,,,3
2014/05/17,,,4
2014/05/18,,,4
2014/05/19,,,4
2014/05/20,,,4
2014/05/21,,,4
2014/05/22,,,4
2014/05/23,,,4
2014/05/24,,,4
2014/05/25,,,4
2014/05/26,,,5
2014/05/27,,,5
2014/05/28,,,6
2014/05/29,,,7
2014/05/30,,,7
2014/05/31,,,6
2014/06/01,,,6
2014/06/02,,,6
2014/06/03,,,7
2014/06/04,,,7
2014/06/05,,,7
2014/06/06,,,7
2014/06/07,,,8
2014/06/08,,,8
2014/06/09,,,8
2014/06/10,,,8
2014/06/11,,,7
2014/06/12,,,7
2014/06/13,,,7
2014/06/14,,,7
2014/06/15,,,7
2014/06/16,,,6
2014/06/17,,,6
2014/06/18,,,6
2014/06/19,,,6
2014/06/20,,,6
2014/06/21,,,6
2014/06/22,,,6
2014/06/23,,,6
2014/06/24,,,6
2014/06/25,,,5
2014/06/26,,,5
2014/06/27,,,4
2014/06/28,,,3
2014/06/29,,,3
2014/06/30,,,3
2014/07/01,,,3
2014/07/02,,,3
2014/07/03,,,2
2014/07/04,,,2
2014/07/05,,,2
2014/07/06,,,3
2014/07/07,,,2
2014/07/08,,,2
2014/07/09,,,3
2014/07/10,,,3
2014/07/11,,,3
2014/07/12,,,3
2014/07/13,,,3
2014/07/14,,,3
2014/07/15,,,3
2014/07/16,,,3
2014/07/17,,,3
2014/07/18,,,3
2014/07/19,,,3
2014/07/20,,,3
2014/07/21,,,3
2014/07/22,,,3
2014/07/23,,,3
2014/07/24,,,3
2014/07/25,,,3
2014/07/26,,,3
2014/07/27,,,3
2014/07/28,,,3
2014/07/29,,,3
2014/07/30,,,5
2014/07/31,,,5
2014/08/01,,,5
2014/08/02,,,5
2014/08/03,,,5
2014/08/04,,,5
2014/08/05,,,4
2014/08/06,,,4
2014/08/07,,,4
2014/08/08,,,4
2014/08/09,,,3
2014/08/10,,,3
2014/08/11,,,3
2014/08/12,,,3
2014/08/13,,,3
2014/08/14,,,3
2014/08/15,,,3
2014/08/16,,,3
2014/08/17,,,3
2014/08/18,,,3
2014/08/19,,,3
2014/08/20,,,3
2014/08/21,,,3
2014/08/22,,,3
2014/08/23,,,3
2014/08/24,,,3
2014/08/25,,,3
2014/08/26,,,3
2014/08/27,,,3
2014/08/28,,,3
2014/08/29,,,1
2014/08/30,,,1
2014/08/31,,,1
2014/09/01,,,1
2014/09/02,,,1
2014/09/03,,,1
2014/09/04,,,1
2014/09/05,,,1
2014/09/06,,,1
2014/09/07,,,1
2014/09/13,,1,1
2014/09/14,,1,2
2014/09/15,,1,2
2014/09/16,,1,2
2014/09/17,,1,2
2014/09/18,,1,2
2014/09/19,,1,2
2014/09/20,,1,2
2014/09/21,,1,2
2014/09/22,,1,2
2014/09/23,,1,2
2014/09/24,,1,2
2014/09/25,,1,3
2014/09/26,,1,3
2014/09/27,,1,3
2014/09/28,,1,3
2014/09/29,,1,3
2014/09/30,,1,3
2014/10/01,,1,3
2014/10/02,,1,3
2014/10/03,,1,3
2014/10/04,,1,3
2014/10/05,,1,3
2014/10/06,,1,3
2014/10/07,,1,3
2014/10/08,,1,3
2014/10/09,,1,3
2014/10/10,,1,3
2014/10/11,,1,3
2014/10/12,,1,3
2014/10/13,,,2
2014/10/14,,,1
2014/10/15,,,1
2014/10/16,,,1
2014/10/17,,,2
2014/10/18,,,2
2014/10/19,,,2
2014/10/20,,,2
2014/10/21,,,2
2014/10/22,,,3
2014/10/23,,,3
2014/10/24,,,3
2014/10/25,,,2
2014/10/26,,,2
2014/10/27,,,2
2014/10/28,,,2
2014/10/29,,,2
2014/10/30,,,2
2014/10/31,,,2
2014/11/01,,,2
2014/11/02,,,2
2014/11/03,,,2
2014/11/04,,,2
2014/11/05,,,2
2014/11/06,,,2
2014/11/07,,,2
2014/11/08,,,2
2014/11/09,,,2
2014/11/10,,,2
2014/11/11,,,2
2014/11/12,,,2
2014/11/13,,,2
2014/11/14,,,2
