date,afwiki (100+),afwiki (5+),afwiki (all)
2012/08/19,16,55,166
2012/08/20,17,54,162
2012/08/21,16,54,159
2012/08/22,16,53,159
2012/08/23,16,52,156
2012/08/24,16,53,156
2012/08/25,16,50,158
2012/08/26,16,51,156
2012/08/27,16,53,159
2012/08/28,16,51,162
2012/08/29,16,54,170
2012/08/30,16,55,175
2012/08/31,16,56,178
2012/09/01,15,58,183
2012/09/02,15,56,182
2012/09/03,15,58,182
2012/09/04,15,57,180
2012/09/05,15,56,179
2012/09/06,15,55,180
2012/09/07,15,52,182
2012/09/08,14,52,181
2012/09/09,14,51,179
2012/09/10,14,52,183
2012/09/11,14,51,189
2012/09/12,14,49,188
2012/09/13,14,49,190
2012/09/14,14,49,191
2012/09/15,13,47,190
2012/09/16,13,47,188
2012/09/17,12,47,188
2012/09/18,13,49,187
2012/09/19,13,50,184
2012/09/20,13,50,185
2012/09/21,13,50,183
2012/09/22,13,52,182
2012/09/23,13,53,182
2012/09/24,13,53,177
2012/09/25,13,55,177
2012/09/26,14,54,176
2012/09/27,13,54,174
2012/09/28,13,52,171
2012/09/29,14,50,168
2012/09/30,14,50,162
2012/10/01,14,48,157
2012/10/02,14,51,156
2012/10/03,14,50,154
2012/10/04,14,50,148
2012/10/05,14,50,147
2012/10/06,14,49,143
2012/10/07,13,50,136
2012/10/08,13,49,137
2012/10/09,13,49,139
2012/10/10,13,49,138
2012/10/11,13,47,135
2012/10/12,14,45,133
2012/10/13,14,45,132
2012/10/14,14,45,128
2012/10/15,14,44,127
2012/10/16,14,42,125
2012/10/17,14,42,124
2012/10/18,14,42,124
2012/10/19,14,42,126
2012/10/20,14,42,125
2012/10/21,14,42,129
2012/10/22,14,42,129
2012/10/23,14,38,129
2012/10/24,14,38,129
2012/10/25,14,36,126
2012/10/26,14,37,127
2012/10/27,14,37,129
2012/10/28,14,37,128
2012/10/29,14,36,128
2012/10/30,13,36,128
2012/10/31,13,36,131
2012/11/01,13,35,130
2012/11/02,13,35,136
2012/11/03,13,35,140
2012/11/04,14,35,146
2012/11/05,14,35,148
2012/11/06,13,35,149
2012/11/07,13,35,147
2012/11/08,14,34,146
2012/11/09,14,34,146
2012/11/10,15,35,147
2012/11/11,15,35,155
2012/11/12,15,35,155
2012/11/13,15,35,158
2012/11/14,15,35,160
2012/11/15,15,36,166
2012/11/16,15,38,161
2012/11/17,15,39,159
2012/11/18,15,40,162
2012/11/19,15,40,159
2012/11/20,15,39,159
2012/11/21,15,39,158
2012/11/22,15,40,162
2012/11/23,15,40,164
2012/11/24,15,41,164
2012/11/25,15,44,168
2012/11/26,15,45,167
2012/11/27,14,46,168
2012/11/28,14,46,167
2012/11/29,14,48,169
2012/11/30,14,48,164
2012/12/01,15,48,160
2012/12/02,15,48,158
2012/12/03,15,48,153
2012/12/04,15,48,149
2012/12/05,15,48,156
2012/12/06,16,49,158
2012/12/07,16,49,160
2012/12/08,17,49,165
2012/12/09,17,49,165
2012/12/10,18,48,164
2012/12/11,18,48,163
2012/12/12,18,49,167
2012/12/13,18,49,161
2012/12/14,18,49,164
2012/12/15,18,50,165
2012/12/16,19,49,162
2012/12/17,17,50,167
2012/12/18,17,50,168
2012/12/19,17,50,172
2012/12/20,17,50,173
2012/12/21,17,49,169
2012/12/22,17,47,170
2012/12/23,17,46,168
2012/12/24,17,46,168
2012/12/25,17,45,166
2012/12/26,17,45,164
2012/12/27,17,46,167
2012/12/28,17,47,164
2012/12/29,17,46,161
2012/12/30,17,46,160
2012/12/31,17,46,169
2013/01/01,16,46,172
2013/01/02,17,46,173
2013/01/03,17,46,171
2013/01/04,17,47,169
2013/01/05,16,47,167
2013/01/06,16,50,165
2013/01/07,16,50,167
2013/01/08,16,51,171
2013/01/09,16,52,171
2013/01/10,16,51,170
2013/01/11,17,51,170
2013/01/12,17,51,170
2013/01/13,16,54,169
2013/01/14,17,56,169
2013/01/15,17,57,171
2013/01/16,17,60,174
2013/01/17,17,60,182
2013/01/18,17,61,183
2013/01/19,17,64,186
2013/01/20,18,65,187
2013/01/21,18,65,189
2013/01/22,18,65,193
2013/01/23,19,66,194
2013/01/24,18,67,193
2013/01/25,18,64,197
2013/01/26,18,62,196
2013/01/27,19,62,197
2013/01/28,19,62,200
2013/01/29,19,61,200
2013/01/30,20,61,198
2013/01/31,19,61,198
2013/02/01,18,62,195
2013/02/02,18,64,197
2013/02/03,18,65,201
2013/02/04,19,65,200
2013/02/05,19,66,202
2013/02/06,19,64,198
2013/02/07,18,63,200
2013/02/08,18,63,197
2013/02/09,17,62,198
2013/02/10,18,62,195
2013/02/11,18,60,195
2013/02/12,18,62,199
2013/02/13,18,60,199
2013/02/14,18,58,200
2013/02/15,18,56,194
2013/02/16,18,56,189
2013/02/17,18,57,190
2013/02/18,18,55,191
2013/02/19,18,55,194
2013/02/20,19,56,194
2013/02/21,19,57,191
2013/02/22,19,56,192
2013/02/23,19,55,192
2013/02/24,18,53,187
2013/02/25,18,52,182
2013/02/26,20,51,182
2013/02/27,20,52,179
2013/02/28,20,54,180
2013/03/01,20,53,176
2013/03/02,21,52,176
2013/03/03,21,52,175
2013/03/04,21,54,170
2013/03/05,21,54,163
2013/03/06,21,52,165
2013/03/07,22,53,160
2013/03/08,22,51,156
2013/03/09,23,51,153
2013/03/10,22,50,157
2013/03/11,22,50,158
2013/03/12,21,50,164
2013/03/13,21,49,166
2013/03/14,21,49,164
2013/03/15,20,50,163
2013/03/16,20,48,163
2013/03/17,19,47,166
2013/03/18,19,48,164
2013/03/19,19,48,165
2013/03/20,19,47,160
2013/03/21,19,45,158
2013/03/22,19,45,159
2013/03/23,19,45,162
2013/03/24,18,46,159
2013/03/25,18,47,164
2013/03/26,16,47,162
2013/03/27,16,46,161
2013/03/28,16,43,165
2013/03/29,15,44,167
2013/03/30,15,44,163
2013/03/31,15,44,165
2013/04/01,14,40,165
2013/04/02,12,40,170
2013/04/03,12,40,166
2013/04/04,12,42,168
2013/04/05,11,37,170
2013/04/06,10,33,161
2013/04/07,10,32,152
2013/04/08,10,33,155
2013/04/09,10,34,155
2013/04/10,10,34,157
2013/04/11,10,35,155
2013/04/12,10,37,155
2013/04/13,10,40,155
2013/04/14,10,40,151
2013/04/15,10,43,151
2013/04/16,10,45,150
2013/04/17,10,43,146
2013/04/18,10,44,143
2013/04/19,10,44,142
2013/04/20,10,43,143
2013/04/21,10,42,143
2013/04/22,10,42,140
2013/04/23,10,41,140
2013/04/24,10,38,140
2013/04/25,10,40,139
2013/04/26,10,42,138
2013/04/27,10,41,140
2013/04/28,10,41,136
2013/04/29,10,43,135
2013/04/30,10,41,137
2013/05/01,10,43,136
2013/05/02,10,42,135
2013/05/03,9,41,137
2013/05/04,9,39,135
2013/05/05,9,39,130
2013/05/06,9,39,131
2013/05/07,9,38,133
2013/05/08,9,40,127
2013/05/09,9,40,125
2013/05/10,9,39,123
2013/05/11,9,38,123
2013/05/12,9,34,123
2013/05/13,9,34,120
2013/05/14,9,33,121
2013/05/15,9,32,122
2013/05/16,9,30,122
2013/05/17,8,30,121
2013/05/18,8,32,124
2013/05/19,8,33,121
2013/05/20,8,33,117
2013/05/21,8,32,115
2013/05/22,8,31,116
2013/05/23,8,33,116
2013/05/24,8,33,120
2013/05/25,8,33,119
2013/05/26,8,32,123
2013/05/27,8,31,121
2013/05/28,7,31,121
2013/05/29,7,31,123
2013/05/30,7,31,122
2013/05/31,7,29,124
2013/06/01,7,29,122
2013/06/02,7,28,117
2013/06/03,7,30,116
2013/06/04,7,32,120
2013/06/05,7,31,121
2013/06/06,7,31,124
2013/06/07,7,31,126
