date,napwiki (100+),napwiki (5+),napwiki (all)
2012/08/19,5,14,43
2012/08/20,5,13,43
2012/08/21,5,12,42
2012/08/22,4,11,44
2012/08/23,4,11,44
2012/08/24,4,12,44
2012/08/25,4,13,45
2012/08/26,4,13,46
2012/08/27,4,14,47
2012/08/28,5,13,49
2012/08/29,5,13,52
2012/08/30,5,13,49
2012/08/31,5,13,47
2012/09/01,5,13,47
2012/09/02,5,14,47
2012/09/03,5,15,47
2012/09/04,5,15,48
2012/09/05,5,15,49
2012/09/06,5,16,48
2012/09/07,5,16,47
2012/09/08,5,15,47
2012/09/09,5,15,47
2012/09/10,5,15,45
2012/09/11,5,15,45
2012/09/12,5,15,44
2012/09/13,5,15,44
2012/09/14,5,15,43
2012/09/15,5,15,43
2012/09/16,5,15,43
2012/09/17,5,15,42
2012/09/18,5,15,39
2012/09/19,5,15,39
2012/09/20,5,15,39
2012/09/21,5,14,37
2012/09/22,5,14,39
2012/09/23,7,16,40
2012/09/24,9,17,38
2012/09/25,9,17,37
2012/09/26,9,16,36
2012/09/27,9,15,34
2012/09/28,9,15,32
2012/09/29,9,15,34
2012/09/30,9,15,33
2012/10/01,9,15,32
2012/10/02,9,15,33
2012/10/03,8,14,33
2012/10/04,9,14,34
2012/10/05,8,14,34
2012/10/06,8,14,34
2012/10/07,8,15,35
2012/10/08,8,15,35
2012/10/09,8,15,34
2012/10/10,8,16,34
2012/10/11,8,16,34
2012/10/12,8,18,37
2012/10/13,8,16,36
2012/10/14,8,17,37
2012/10/15,8,17,37
2012/10/16,7,17,36
2012/10/17,7,17,36
2012/10/18,7,17,35
2012/10/19,7,17,36
2012/10/20,7,18,38
2012/10/21,7,18,38
2012/10/22,7,18,36
2012/10/23,6,17,35
2012/10/24,5,16,37
2012/10/25,5,15,37
2012/10/26,5,16,38
2012/10/27,5,16,39
2012/10/28,5,17,39
2012/10/29,5,17,38
2012/10/30,5,18,38
2012/10/31,5,18,38
2012/11/01,5,18,39
2012/11/02,5,18,39
2012/11/03,5,18,40
2012/11/04,5,18,41
2012/11/05,5,18,41
2012/11/06,5,20,40
2012/11/07,4,19,40
2012/11/08,4,19,41
2012/11/09,4,19,38
2012/11/10,4,20,40
2012/11/11,4,19,38
2012/11/12,4,18,38
2012/11/13,4,19,37
2012/11/14,4,18,36
2012/11/15,5,18,38
2012/11/16,5,18,37
2012/11/17,5,19,38
2012/11/18,5,19,38
2012/11/19,5,18,37
2012/11/20,4,17,36
2012/11/21,5,17,36
2012/11/22,5,17,36
2012/11/23,5,17,34
2012/11/24,5,15,32
2012/11/25,5,16,32
2012/11/26,5,16,33
2012/11/27,5,16,32
2012/11/28,5,15,34
2012/11/29,5,15,34
2012/11/30,5,15,34
2012/12/01,5,15,34
2012/12/02,5,16,33
2012/12/03,5,16,34
2012/12/04,5,15,35
2012/12/05,5,15,37
2012/12/06,5,15,38
2012/12/07,5,15,39
2012/12/08,5,14,39
2012/12/09,5,14,39
2012/12/10,5,14,39
2012/12/11,5,14,41
2012/12/12,5,14,41
2012/12/13,5,14,41
2012/12/14,4,14,41
2012/12/15,4,14,41
2012/12/16,4,14,42
2012/12/17,4,14,41
2012/12/18,4,14,43
2012/12/19,4,14,43
2012/12/20,4,14,42
2012/12/21,4,14,43
2012/12/22,4,14,44
2012/12/23,4,14,47
2012/12/24,4,14,47
2012/12/25,4,14,46
2012/12/26,4,14,46
2012/12/27,4,14,46
2012/12/28,4,14,44
2012/12/29,4,17,44
2012/12/30,4,17,45
2012/12/31,4,17,47
2013/01/01,4,17,46
2013/01/02,4,17,43
2013/01/03,4,16,41
2013/01/04,4,16,41
2013/01/05,5,17,40
2013/01/06,5,17,39
2013/01/07,5,17,39
2013/01/08,5,17,39
2013/01/09,5,17,37
2013/01/10,5,16,37
2013/01/11,5,16,37
2013/01/12,5,16,37
2013/01/13,5,16,38
2013/01/14,5,16,37
2013/01/15,5,16,35
2013/01/16,5,16,35
2013/01/17,5,16,35
2013/01/18,5,17,36
2013/01/19,5,18,36
2013/01/20,5,18,38
2013/01/21,5,18,38
2013/01/22,5,18,37
2013/01/23,5,18,37
2013/01/24,5,18,39
2013/01/25,5,18,40
2013/01/26,6,18,42
2013/01/27,6,18,44
2013/01/28,6,18,43
2013/01/29,6,18,44
2013/01/30,6,18,43
2013/01/31,5,19,42
2013/02/01,5,18,41
2013/02/02,5,18,41
2013/02/03,5,16,41
2013/02/04,6,16,41
2013/02/05,6,16,42
2013/02/06,6,16,43
2013/02/07,6,16,45
2013/02/08,6,16,46
2013/02/09,6,16,45
2013/02/10,6,16,45
2013/02/11,6,18,46
2013/02/12,6,16,46
2013/02/13,6,15,45
2013/02/14,6,16,45
2013/02/15,6,16,46
2013/02/16,6,16,46
2013/02/17,6,17,46
2013/02/18,6,17,46
2013/02/19,6,17,43
2013/02/20,6,17,42
2013/02/21,6,18,40
2013/02/22,6,18,40
2013/02/23,5,18,40
2013/02/24,5,20,41
2013/02/25,5,19,38
2013/02/26,5,18,36
2013/02/27,5,18,35
2013/02/28,5,17,34
2013/03/01,5,17,35
2013/03/02,5,16,35
2013/03/03,5,16,35
2013/03/04,5,17,35
2013/03/05,5,17,33
2013/03/06,5,18,33
2013/03/07,5,17,33
2013/03/08,6,18,33
2013/03/09,6,18,31
2013/03/10,6,18,31
2013/03/11,6,17,32
2013/03/12,7,18,33
2013/03/13,7,18,32
2013/03/14,7,18,32
2013/03/15,7,17,35
2013/03/16,7,16,36
2013/03/17,7,16,33
2013/03/18,7,16,33
2013/03/19,7,16,32
2013/03/20,7,16,31
2013/03/21,7,16,31
2013/03/22,7,16,31
2013/03/23,7,16,31
2013/03/24,7,14,31
2013/03/25,6,14,30
2013/03/26,5,12,29
2013/03/27,4,12,27
2013/03/28,4,12,27
2013/03/29,4,12,28
2013/03/30,4,12,28
2013/03/31,4,10,29
2013/04/01,4,10,28
2013/04/02,4,10,27
2013/04/03,4,9,28
2013/04/04,3,8,27
2013/04/05,3,6,25
2013/04/06,3,6,22
2013/04/07,3,6,21
2013/04/08,3,6,21
2013/04/09,3,6,22
2013/04/10,3,6,21
2013/04/11,2,6,20
2013/04/12,2,7,20
2013/04/13,2,7,23
2013/04/14,2,7,20
2013/04/15,2,6,21
2013/04/16,2,6,21
2013/04/17,2,7,20
2013/04/18,2,7,20
2013/04/19,2,7,20
2013/04/20,2,7,21
2013/04/21,1,7,22
2013/04/22,1,7,25
2013/04/23,1,8,26
2013/04/24,1,8,26
2013/04/25,1,8,25
2013/04/26,1,9,25
2013/04/27,1,8,24
2013/04/28,1,9,23
2013/04/29,2,9,23
2013/04/30,2,9,23
2013/05/01,2,8,23
2013/05/02,2,8,23
2013/05/03,2,7,22
2013/05/04,2,7,24
2013/05/05,2,7,23
2013/05/06,2,7,23
2013/05/07,2,6,22
2013/05/08,2,6,21
2013/05/09,2,6,21
2013/05/10,2,6,23
2013/05/11,2,6,24
2013/05/12,2,6,26
2013/05/13,2,6,24
2013/05/14,2,6,25
2013/05/15,2,6,24
2013/05/16,2,5,24
2013/05/17,2,4,24
2013/05/18,2,4,24
2013/05/19,2,4,25
2013/05/20,2,4,25
2013/05/21,2,5,25
2013/05/22,2,5,22
2013/05/23,2,5,21
2013/05/24,2,5,21
2013/05/25,2,6,20
2013/05/26,2,6,22
2013/05/27,2,7,24
2013/05/28,2,7,24
2013/05/29,2,7,25
2013/05/30,2,7,24
2013/05/31,2,7,24
2013/06/01,1,7,25
2013/06/02,1,6,26
2013/06/03,1,6,23
2013/06/04,1,6,24
2013/06/05,1,6,25
2013/06/06,1,6,25
2013/06/07,1,6,26
2013/06/08,1,6,26
2013/06/09,1,6,24
2013/06/10,1,6,25
2013/06/11,1,5,24
2013/06/12,1,5,25
2013/06/13,1,5,23
2013/06/14,1,5,23
2013/06/15,1,5,25
2013/06/16,1,5,25
2013/06/17,1,5,26
2013/06/18,1,5,26
2013/06/19,1,5,27
2013/06/20,1,4,26
2013/06/21,1,4,25
2013/06/22,1,4,24
2013/06/23,1,4,24
2013/06/24,1,4,24
2013/06/25,1,4,23
2013/06/26,1,3,23
2013/06/27,1,4,23
2013/06/28,1,3,25
2013/06/29,1,3,24
2013/06/30,1,3,24
2013/07/01,1,3,22
2013/07/02,1,2,22
2013/07/03,1,4,25
2013/07/04,1,4,23
2013/07/05,1,4,22
2013/07/06,1,4,23
2013/07/07,1,4,24
2013/07/08,1,5,25
2013/07/09,1,5,27
2013/07/10,1,5,25
2013/07/11,1,5,24
2013/07/12,1,4,24
2013/07/13,1,4,24
2013/07/14,1,4,25
2013/07/15,1,4,24
2013/07/16,1,4,27
2013/07/17,1,4,26
2013/07/18,1,4,26
2013/07/19,1,4,26
2013/07/20,1,4,27
2013/07/21,1,5,27
2013/07/22,1,5,27
2013/07/23,1,5,27
2013/07/24,1,5,29
2013/07/25,1,5,27
2013/07/26,1,5,27
2013/07/27,1,4,27
2013/07/28,1,4,25
2013/07/29,1,4,26
2013/07/30,1,5,26
2013/07/31,1,5,26
2013/08/01,1,5,25
2013/08/02,1,5,24
2013/08/03,1,5,23
2013/08/04,1,5,26
2013/08/05,1,6,26
2013/08/06,1,6,26
2013/08/07,1,6,26
2013/08/08,1,6,23
2013/08/09,1,6,22
2013/08/10,1,5,24
2013/08/11,1,6,23
2013/08/12,1,6,23
2013/08/13,1,5,22
2013/08/14,1,5,22
2013/08/15,1,5,19
2013/08/16,1,5,20
2013/08/17,1,6,20
2013/08/18,1,7,20
2013/08/19,1,6,20
2013/08/20,1,6,19
2013/08/21,1,6,18
2013/08/22,1,6,18
2013/08/23,1,6,18
2013/08/24,1,6,20
2013/08/25,1,6,20
2013/08/26,1,6,20
2013/08/27,1,6,20
2013/08/28,1,6,19
2013/08/29,1,6,19
2013/08/30,1,5,18
2013/08/31,1,5,18
2013/09/01,1,5,18
2013/09/02,1,5,18
2013/09/03,1,5,16
2013/09/04,1,5,17
2013/09/05,1,4,17
2013/09/06,1,3,18
2013/09/07,1,3,17
2013/09/08,1,3,17
2013/09/09,1,3,14
2013/09/10,1,3,14
2013/09/11,1,3,14
2013/09/12,1,3,13
2013/09/13,1,3,13
2013/09/14,1,3,13
2013/09/15,,3,13
2013/09/16,,2,13
2013/09/17,,2,12
2013/09/18,,2,14
2013/09/19,,2,14
2013/09/20,,2,14
2013/09/21,,2,15
2013/09/22,,3,14
2013/09/23,,3,12
2013/09/24,,3,12
2013/09/25,,3,12
2013/09/26,,3,13
2013/09/27,,3,13
2013/09/28,,3,13
2013/09/29,,3,15
2013/09/30,,3,15
2013/10/01,,3,15
2013/10/02,,4,16
2013/10/03,,4,15
2013/10/04,,4,14
2013/10/05,,4,13
2013/10/06,,4,13
2013/10/07,,4,14
2013/10/08,,3,14
2013/10/09,,3,15
2013/10/10,,3,16
2013/10/11,,3,17
2013/10/12,,4,17
2013/10/13,,4,17
2013/10/14,,4,18
2013/10/15,,4,19
2013/10/16,,4,19
2013/10/17,,4,19
2013/10/18,,4,18
2013/10/19,,4,18
2013/10/20,,4,18
2013/10/21,,4,17
2013/10/22,,4,18
2013/10/23,,4,18
2013/10/24,,4,18
2013/10/25,,4,18
2013/10/26,,4,18
2013/10/27,,4,18
2013/10/28,,4,18
2013/10/29,,4,17
2013/10/30,,4,17
2013/10/31,,4,17
2013/11/01,,3,18
2013/11/02,,3,18
2013/11/03,,3,18
2013/11/04,1,3,18
2013/11/05,,3,17
2013/11/06,,4,17
2013/11/07,,4,17
2013/11/08,1,4,20
2013/11/09,1,4,19
2013/11/10,2,4,18
2013/11/11,2,3,17
2013/11/12,2,3,18
2013/11/13,2,3,17
2013/11/14,2,4,16
2013/11/15,2,4,16
2013/11/16,2,4,16
2013/11/17,2,4,15
2013/11/18,2,4,15
2013/11/19,2,5,16
2013/11/20,2,5,17
2013/11/21,2,6,18
2013/11/22,2,6,19
