date,kvwiki (100+),kvwiki (5+),kvwiki (all)
2012/08/19,3,16,43
2012/08/20,3,17,42
2012/08/21,3,17,42
2012/08/22,3,17,42
2012/08/23,3,17,42
2012/08/24,3,18,42
2012/08/25,3,16,41
2012/08/26,3,16,39
2012/08/27,3,15,38
2012/08/28,3,14,39
2012/08/29,3,14,39
2012/08/30,3,15,40
2012/08/31,2,15,40
2012/09/01,1,16,41
2012/09/02,1,16,40
2012/09/03,1,17,40
2012/09/04,1,16,37
2012/09/05,1,16,37
2012/09/06,2,17,38
2012/09/07,2,17,37
2012/09/08,2,17,38
2012/09/09,2,18,39
2012/09/10,2,18,39
2012/09/11,2,18,40
2012/09/12,2,17,41
2012/09/13,2,18,43
2012/09/14,2,18,43
2012/09/15,2,18,43
2012/09/16,2,18,43
2012/09/17,2,17,41
2012/09/18,2,18,41
2012/09/19,1,18,40
2012/09/20,2,18,40
2012/09/21,1,17,41
2012/09/22,2,18,42
2012/09/23,2,18,42
2012/09/24,2,17,42
2012/09/25,2,16,42
2012/09/26,2,16,42
2012/09/27,2,16,41
2012/09/28,3,17,41
2012/09/29,2,17,42
2012/09/30,3,17,43
2012/10/01,4,16,42
2012/10/02,3,18,41
2012/10/03,3,18,41
2012/10/04,3,18,42
2012/10/05,3,18,42
2012/10/06,3,16,41
2012/10/07,3,16,41
2012/10/08,4,16,39
2012/10/09,4,15,36
2012/10/10,3,17,34
2012/10/11,3,18,33
2012/10/12,3,18,32
2012/10/13,3,18,30
2012/10/14,3,19,29
2012/10/15,3,19,30
2012/10/16,3,20,30
2012/10/17,3,19,30
2012/10/18,3,18,30
2012/10/19,3,19,32
2012/10/20,3,19,33
2012/10/21,3,19,33
2012/10/22,3,20,33
2012/10/23,3,19,34
2012/10/24,3,19,34
2012/10/25,3,19,34
2012/10/26,3,19,36
2012/10/27,3,19,37
2012/10/28,3,18,38
2012/10/29,2,18,38
2012/10/30,3,18,38
2012/10/31,3,18,39
2012/11/01,3,18,39
2012/11/02,3,18,41
2012/11/03,3,19,40
2012/11/04,3,20,40
2012/11/05,3,20,40
2012/11/06,3,21,40
2012/11/07,3,20,40
2012/11/08,3,20,40
2012/11/09,3,19,39
2012/11/10,3,19,40
2012/11/11,4,21,41
2012/11/12,4,19,41
2012/11/13,3,20,42
2012/11/14,3,21,42
2012/11/15,3,21,43
2012/11/16,3,21,44
2012/11/17,3,20,43
2012/11/18,3,20,41
2012/11/19,4,20,40
