date,pawiki (100+),pawiki (5+),pawiki (all)
2012/08/19,5,22,69
2012/08/20,6,22,72
2012/08/21,6,23,73
2012/08/22,6,23,74
2012/08/23,6,23,75
2012/08/24,6,23,75
2012/08/25,5,23,75
2012/08/26,5,25,76
2012/08/27,5,25,75
2012/08/28,5,25,69
2012/08/29,5,26,71
2012/08/30,5,25,73
2012/08/31,5,26,74
2012/09/01,5,25,75
2012/09/02,5,25,75
2012/09/03,5,25,74
2012/09/04,5,25,73
2012/09/05,5,25,74
2012/09/06,5,27,77
2012/09/07,6,27,76
2012/09/08,6,26,75
2012/09/09,6,27,76
2012/09/10,7,27,78
2012/09/11,7,28,81
2012/09/12,7,29,82
2012/09/13,7,30,83
2012/09/14,7,31,81
2012/09/15,7,31,82
2012/09/16,8,30,81
2012/09/17,8,29,77
2012/09/18,7,29,76
2012/09/19,7,29,74
2012/09/20,5,29,72
2012/09/21,7,29,72
2012/09/22,7,31,73
2012/09/23,7,30,73
2012/09/24,6,31,74
2012/09/25,6,30,74
2012/09/26,6,32,75
2012/09/27,8,32,75
2012/09/28,9,32,73
2012/09/29,10,31,73
2012/09/30,10,31,71
2012/10/01,10,30,68
2012/10/02,10,31,69
2012/10/03,10,31,70
2012/10/04,10,32,68
2012/10/05,10,32,66
2012/10/06,10,32,65
2012/10/07,10,33,64
2012/10/08,10,33,63
2012/10/09,10,32,59
2012/10/10,10,32,57
2012/10/11,10,32,56
2012/10/12,10,32,55
2012/10/13,10,33,55
2012/10/14,10,33,56
2012/10/15,10,32,54
2012/10/16,10,34,53
2012/10/17,10,33,51
2012/10/18,10,33,50
2012/10/19,10,33,51
2012/10/20,10,33,53
2012/10/21,10,34,52
2012/10/22,10,34,53
2012/10/23,9,35,52
2012/10/24,9,35,52
2012/10/25,9,34,52
2012/10/26,8,33,54
2012/10/27,8,33,52
2012/10/28,9,34,51
2012/10/29,9,33,51
2012/10/30,9,32,52
2012/10/31,9,33,52
2012/11/01,8,33,52
2012/11/02,8,31,53
2012/11/03,8,30,52
2012/11/04,8,30,51
2012/11/05,9,30,51
2012/11/06,7,30,51
2012/11/07,9,30,53
2012/11/08,10,30,53
2012/11/09,10,30,53
2012/11/10,10,30,54
2012/11/11,9,30,54
2012/11/12,9,29,53
2012/11/13,9,29,55
2012/11/14,9,29,56
2012/11/15,8,31,56
2012/11/16,9,30,57
2012/11/17,9,32,63
2012/11/18,9,32,63
2012/11/19,9,34,62
2012/11/20,9,33,62
2012/11/21,10,34,64
2012/11/22,10,34,65
2012/11/23,9,36,69
2012/11/24,10,37,83
2012/11/25,10,38,81
2012/11/26,10,40,82
2012/11/27,11,43,86
2012/11/28,12,44,93
2012/11/29,12,44,91
2012/11/30,12,45,93
2012/12/01,13,45,99
2012/12/02,13,45,98
2012/12/03,12,45,97
2012/12/04,12,44,100
2012/12/05,12,44,101
2012/12/06,12,44,103
2012/12/07,13,44,101
2012/12/08,13,45,101
2012/12/09,14,45,101
2012/12/10,14,46,102
2012/12/11,15,46,103
2012/12/12,15,45,102
2012/12/13,16,45,100
2012/12/14,16,46,99
2012/12/15,16,46,103
2012/12/16,16,46,106
2012/12/17,16,46,106
2012/12/18,16,45,106
2012/12/19,16,45,106
