date,suwiki (100+),suwiki (5+),suwiki (all)
2012/08/19,8,22,48
2012/08/20,8,21,48
2012/08/21,8,20,48
2012/08/22,7,19,48
2012/08/23,7,21,49
2012/08/24,6,21,48
2012/08/25,6,21,48
2012/08/26,6,21,50
2012/08/27,6,22,52
2012/08/28,7,23,53
2012/08/29,5,23,55
2012/08/30,4,24,54
2012/08/31,4,24,55
2012/09/01,4,26,57
2012/09/02,4,26,58
2012/09/03,4,28,59
2012/09/04,4,28,59
2012/09/05,4,27,62
2012/09/06,4,27,62
2012/09/07,4,27,64
2012/09/08,4,28,63
2012/09/09,4,28,61
2012/09/10,4,28,59
2012/09/11,4,28,58
2012/09/12,4,28,58
2012/09/13,4,28,60
2012/09/14,4,27,60
2012/09/15,4,27,59
2012/09/16,4,27,61
2012/09/17,4,28,61
2012/09/18,4,28,59
2012/09/19,4,28,59
2012/09/20,4,28,58
2012/09/21,4,27,57
2012/09/22,5,25,57
2012/09/23,5,24,55
2012/09/24,5,24,56
2012/09/25,5,24,55
2012/09/26,5,22,54
2012/09/27,6,22,53
2012/09/28,6,20,52
2012/09/29,6,20,52
2012/09/30,6,20,52
2012/10/01,6,19,50
2012/10/02,6,19,48
2012/10/03,6,19,46
2012/10/04,6,19,46
2012/10/05,6,18,45
2012/10/06,6,18,43
2012/10/07,7,18,42
2012/10/08,7,18,43
2012/10/09,7,18,41
2012/10/10,7,18,42
2012/10/11,7,18,41
2012/10/12,7,18,39
2012/10/13,7,18,39
2012/10/14,7,18,39
2012/10/15,7,18,39
2012/10/16,7,18,38
2012/10/17,7,16,39
2012/10/18,7,15,39
2012/10/19,6,15,39
2012/10/20,6,15,40
2012/10/21,6,15,41
2012/10/22,6,16,43
2012/10/23,6,16,43
2012/10/24,6,16,43
2012/10/25,6,17,44
2012/10/26,6,17,44
2012/10/27,6,20,45
2012/10/28,6,20,45
2012/10/29,6,22,46
2012/10/30,6,21,46
2012/10/31,6,21,45
2012/11/01,6,21,45
2012/11/02,6,19,47
2012/11/03,6,20,46
2012/11/04,6,20,46
2012/11/05,6,19,46
2012/11/06,5,19,47
2012/11/07,5,20,47
2012/11/08,5,20,47
2012/11/09,5,20,46
2012/11/10,5,20,48
2012/11/11,5,20,47
2012/11/12,5,22,47
2012/11/13,5,23,46
2012/11/14,5,23,46
2012/11/15,5,23,47
2012/11/16,5,23,46
