date,wuuwiki (100+),wuuwiki (5+),wuuwiki (all)
2012/08/19,,4,24
2012/08/20,,4,24
2012/08/21,,4,24
2012/08/22,,4,23
2012/08/23,,4,21
2012/08/24,,6,22
2012/08/25,,5,23
2012/08/26,,4,24
2012/08/27,,4,24
2012/08/28,,4,25
2012/08/29,,4,24
2012/08/30,,4,25
2012/08/31,,4,24
2012/09/01,,5,25
2012/09/02,,5,25
2012/09/03,,5,26
2012/09/04,,5,26
2012/09/05,,4,25
2012/09/06,,4,25
2012/09/07,,4,24
2012/09/08,,4,22
2012/09/09,,2,22
2012/09/10,,2,22
2012/09/11,,2,20
2012/09/12,,2,21
2012/09/13,,2,22
2012/09/14,,2,22
2012/09/15,,2,22
2012/09/16,,2,22
2012/09/17,,2,21
2012/09/18,,2,18
2012/09/19,,2,18
2012/09/20,,2,17
2012/09/21,,2,17
2012/09/22,,2,17
2012/09/23,,1,17
2012/09/24,,1,15
2012/09/25,,1,15
2012/09/26,,1,15
2012/09/27,,1,15
2012/09/28,,1,16
2012/09/29,,2,15
2012/09/30,,2,15
2012/10/01,,,14
2012/10/02,,,14
2012/10/03,,,13
2012/10/04,,,14
2012/10/05,,,16
2012/10/06,,,16
2012/10/07,,,16
2012/10/08,,,17
2012/10/09,,,16
2012/10/10,,,15
2012/10/11,,,16
2012/10/12,,,15
2012/10/13,,,14
2012/10/14,,,15
2012/10/15,,,16
2012/10/16,,,16
2012/10/17,,,17
2012/10/18,,,21
2012/10/19,,,23
2012/10/20,,,24
2012/10/21,,,25
2012/10/22,,1,27
2012/10/23,,1,26
2012/10/24,,1,26
2012/10/25,,1,26
2012/10/26,,2,26
2012/10/27,,2,27
2012/10/28,,2,28
2012/10/29,,2,28
2012/10/30,,2,29
2012/10/31,,2,31
2012/11/01,,2,30
2012/11/02,,2,30
2012/11/03,,2,31
2012/11/04,,3,30
2012/11/05,,3,31
2012/11/06,,3,31
2012/11/07,,3,32
2012/11/08,,3,32
2012/11/09,,3,34
2012/11/10,,3,32
2012/11/11,,3,30
2012/11/12,,4,30
2012/11/13,,4,29
2012/11/14,,4,28
2012/11/15,,3,28
2012/11/16,,3,28
2012/11/17,,3,27
2012/11/18,,4,25
2012/11/19,,5,25
2012/11/20,,6,24
2012/11/21,,7,24
2012/11/22,,7,25
2012/11/23,,7,27
2012/11/24,,7,26
2012/11/25,,7,26
2012/11/26,,7,25
2012/11/27,,7,24
2012/11/28,,7,25
2012/11/29,,8,28
2012/11/30,,8,28
2012/12/01,,8,28
2012/12/02,,8,26
2012/12/03,,8,27
2012/12/04,,8,26
2012/12/05,,8,26
2012/12/06,,8,26
2012/12/07,,9,25
2012/12/08,,9,25
2012/12/09,,9,25
2012/12/10,,8,25
2012/12/11,,8,26
