date,scowiki (100+),scowiki (5+),scowiki (all)
2012/08/19,8,26,77
2012/08/20,8,27,77
2012/08/21,8,27,77
2012/08/22,8,28,76
2012/08/23,8,30,78
2012/08/24,8,30,79
2012/08/25,8,30,79
2012/08/26,8,30,80
2012/08/27,9,31,81
2012/08/28,9,31,82
2012/08/29,9,32,83
2012/08/30,9,32,80
2012/08/31,9,32,82
2012/09/01,9,33,83
2012/09/02,7,32,83
2012/09/03,7,33,82
2012/09/04,7,32,81
2012/09/05,7,31,83
2012/09/06,7,32,84
2012/09/07,7,32,80
2012/09/08,7,32,79
2012/09/09,7,32,79
2012/09/10,7,32,81
2012/09/11,6,33,82
2012/09/12,6,34,85
2012/09/13,6,34,87
2012/09/14,6,36,86
2012/09/15,6,37,88
2012/09/16,6,37,87
2012/09/17,7,38,88
2012/09/18,7,37,85
2012/09/19,7,36,84
2012/09/20,7,36,84
2012/09/21,7,37,85
2012/09/22,8,35,80
2012/09/23,8,34,77
2012/09/24,8,33,75
2012/09/25,8,33,75
2012/09/26,7,34,77
2012/09/27,7,34,75
2012/09/28,7,36,78
2012/09/29,7,36,79
2012/09/30,7,34,79
2012/10/01,7,34,77
2012/10/02,7,34,77
2012/10/03,7,34,78
2012/10/04,7,34,79
2012/10/05,8,35,78
2012/10/06,8,33,74
2012/10/07,8,34,77
2012/10/08,8,34,77
2012/10/09,8,32,75
2012/10/10,8,33,74
2012/10/11,8,33,77
2012/10/12,8,33,75
2012/10/13,8,34,77
2012/10/14,8,34,77
2012/10/15,8,33,74
2012/10/16,8,33,72
2012/10/17,8,32,72
2012/10/18,8,32,72
2012/10/19,8,32,74
2012/10/20,8,33,75
2012/10/21,8,33,78
2012/10/22,8,35,80
2012/10/23,8,35,80
2012/10/24,8,34,81
2012/10/25,8,32,80
2012/10/26,8,32,79
2012/10/27,7,34,82
2012/10/28,7,33,78
2012/10/29,7,33,79
2012/10/30,7,33,78
2012/10/31,7,33,80
2012/11/01,7,33,81
2012/11/02,7,33,81
2012/11/03,7,32,80
2012/11/04,6,31,79
2012/11/05,6,30,81
2012/11/06,6,31,80
2012/11/07,6,31,80
2012/11/08,6,31,80
2012/11/09,6,31,81
2012/11/10,6,31,81
2012/11/11,6,31,81
2012/11/12,7,32,81
2012/11/13,8,31,80
2012/11/14,8,31,79
2012/11/15,8,31,79
2012/11/16,8,31,76
2012/11/17,8,30,75
2012/11/18,8,31,76
2012/11/19,8,31,75
2012/11/20,8,31,72
2012/11/21,8,30,73
2012/11/22,8,30,73
2012/11/23,8,29,74
2012/11/24,8,29,73
2012/11/25,9,29,77
2012/11/26,9,28,74
2012/11/27,9,29,75
2012/11/28,9,29,74
2012/11/29,9,29,75
2012/11/30,9,31,72
2012/12/01,9,31,72
2012/12/02,8,30,72
2012/12/03,8,29,74
2012/12/04,9,29,74
2012/12/05,11,29,74
2012/12/06,11,29,73
2012/12/07,11,29,72
2012/12/08,11,29,74
2012/12/09,11,31,75
2012/12/10,11,32,72
2012/12/11,11,32,71
2012/12/12,11,32,69
2012/12/13,11,32,70
2012/12/14,11,31,68
2012/12/15,12,31,68
2012/12/16,12,31,70
2012/12/17,12,31,71
2012/12/18,12,31,70
2012/12/19,12,31,71
2012/12/20,12,31,71
2012/12/21,12,31,71
2012/12/22,12,31,70
2012/12/23,12,31,69
2012/12/24,12,31,70
2012/12/25,12,31,68
2012/12/26,12,31,70
2012/12/27,11,29,70
2012/12/28,11,30,69
2012/12/29,11,31,69
2012/12/30,11,30,70
