date,novwiki (100+),novwiki (5+),novwiki (all)
2012/08/19,3,13,31
2012/08/20,4,15,31
2012/08/21,4,15,31
2012/08/22,4,15,31
2012/08/23,4,15,32
2012/08/24,3,15,32
2012/08/25,3,15,33
2012/08/26,3,15,34
2012/08/27,3,16,35
2012/08/28,3,16,33
2012/08/29,3,14,33
2012/08/30,3,16,35
2012/08/31,5,17,36
2012/09/01,4,18,37
2012/09/02,5,18,37
2012/09/03,5,18,38
2012/09/04,5,17,38
2012/09/05,5,18,39
2012/09/06,5,19,40
2012/09/07,5,19,39
2012/09/08,5,18,39
2012/09/09,5,19,39
2012/09/10,5,19,38
2012/09/11,5,19,38
2012/09/12,5,19,37
2012/09/13,5,19,37
2012/09/14,5,19,37
2012/09/15,4,19,38
2012/09/16,4,19,38
2012/09/17,4,18,39
2012/09/18,4,18,37
2012/09/19,4,16,37
2012/09/20,3,17,37
2012/09/21,4,15,36
2012/09/22,4,15,36
2012/09/23,4,15,36
2012/09/24,3,15,35
2012/09/25,3,16,35
2012/09/26,4,16,35
2012/09/27,4,17,34
2012/09/28,4,17,34
2012/09/29,4,17,32
2012/09/30,3,17,31
2012/10/01,3,15,29
2012/10/02,3,15,29
2012/10/03,3,13,28
2012/10/04,3,14,31
2012/10/05,3,14,30
2012/10/06,3,15,30
2012/10/07,3,14,29
2012/10/08,3,14,29
2012/10/09,4,13,25
2012/10/10,4,13,25
2012/10/11,4,14,26
2012/10/12,4,14,25
2012/10/13,4,14,24
2012/10/14,4,16,25
2012/10/15,4,16,24
2012/10/16,4,15,24
2012/10/17,4,15,24
2012/10/18,4,15,24
2012/10/19,4,15,25
2012/10/20,4,17,26
2012/10/21,4,17,28
2012/10/22,4,18,29
2012/10/23,4,18,29
2012/10/24,4,19,29
2012/10/25,4,18,29
2012/10/26,4,18,32
2012/10/27,4,17,33
2012/10/28,4,17,33
2012/10/29,4,17,34
2012/10/30,5,17,34
2012/10/31,5,19,34
2012/11/01,5,19,34
2012/11/02,5,20,34
2012/11/03,3,19,35
2012/11/04,2,19,35
2012/11/05,2,19,34
2012/11/06,2,19,34
2012/11/07,2,19,34
2012/11/08,2,18,35
2012/11/09,2,17,35
2012/11/10,2,17,35
2012/11/11,2,17,34
2012/11/12,2,18,34
2012/11/13,2,19,33
2012/11/14,2,19,33
2012/11/15,2,18,34
2012/11/16,2,19,34
2012/11/17,2,19,35
2012/11/18,2,20,37
2012/11/19,2,19,36
2012/11/20,2,19,32
2012/11/21,3,18,30
2012/11/22,3,18,31
2012/11/23,2,18,31
2012/11/24,2,18,31
2012/11/25,2,18,30
2012/11/26,3,18,29
2012/11/27,3,18,30
2012/11/28,2,19,31
2012/11/29,2,19,32
2012/11/30,2,19,33
2012/12/01,2,19,34
2012/12/02,2,19,33
2012/12/03,2,19,32
2012/12/04,2,19,33
2012/12/05,2,18,33
2012/12/06,2,18,33
2012/12/07,2,18,33
2012/12/08,2,18,34
2012/12/09,3,19,35
2012/12/10,2,19,35
2012/12/11,3,18,35
2012/12/12,2,17,35
2012/12/13,3,18,35
2012/12/14,3,18,36
2012/12/15,3,18,35
2012/12/16,3,17,36
2012/12/17,3,18,36
2012/12/18,3,17,35
2012/12/19,3,17,35
2012/12/20,3,17,36
2012/12/21,3,17,36
2012/12/22,3,17,38
2012/12/23,4,17,38
2012/12/24,4,17,37
2012/12/25,4,17,37
2012/12/26,4,18,37
2012/12/27,5,18,38
2012/12/28,5,19,37
2012/12/29,5,20,37
2012/12/30,5,19,37
2012/12/31,6,19,37
2013/01/01,6,19,38
2013/01/02,6,19,37
2013/01/03,6,20,36
2013/01/04,6,20,37
2013/01/05,5,20,38
2013/01/06,5,19,38
2013/01/07,5,19,37
2013/01/08,5,20,36
2013/01/09,5,21,35
2013/01/10,5,20,34
2013/01/11,5,19,34
2013/01/12,5,19,36
2013/01/13,5,19,36
2013/01/14,6,20,37
2013/01/15,6,21,37
2013/01/16,6,21,37
