date,astwiki (100+),astwiki (5+),astwiki (all)
2012/08/19,8,32,94
2012/08/20,8,32,92
2012/08/21,8,30,87
2012/08/22,8,32,90
2012/08/23,8,32,89
2012/08/24,8,33,87
2012/08/25,8,32,92
2012/08/26,8,33,94
2012/08/27,8,33,93
2012/08/28,8,33,93
2012/08/29,8,33,95
2012/08/30,8,34,96
2012/08/31,8,33,96
2012/09/01,8,35,97
2012/09/02,7,34,96
2012/09/03,7,33,96
2012/09/04,7,33,96
2012/09/05,7,32,95
2012/09/06,7,32,94
2012/09/07,7,32,91
2012/09/08,7,30,90
2012/09/09,7,31,86
2012/09/10,7,31,85
2012/09/11,7,30,84
2012/09/12,7,33,87
2012/09/13,7,33,90
2012/09/14,7,33,88
2012/09/15,7,35,91
2012/09/16,7,34,87
2012/09/17,7,35,88
2012/09/18,7,36,86
2012/09/19,6,35,87
2012/09/20,6,35,88
2012/09/21,6,33,83
2012/09/22,6,32,84
2012/09/23,6,31,84
2012/09/24,6,30,82
2012/09/25,6,31,81
2012/09/26,6,31,82
2012/09/27,7,32,83
2012/09/28,6,32,83
2012/09/29,7,29,81
2012/09/30,6,28,81
2012/10/01,7,27,78
2012/10/02,7,27,80
2012/10/03,7,27,81
2012/10/04,8,30,81
2012/10/05,8,30,81
2012/10/06,7,30,82
2012/10/07,8,30,82
2012/10/08,8,31,83
2012/10/09,8,29,80
2012/10/10,8,29,81
2012/10/11,8,30,86
2012/10/12,8,30,84
2012/10/13,8,31,82
2012/10/14,8,31,85
2012/10/15,8,27,83
2012/10/16,8,28,84
2012/10/17,8,29,82
2012/10/18,8,29,82
2012/10/19,8,29,82
2012/10/20,8,30,83
2012/10/21,8,30,83
2012/10/22,8,31,85
2012/10/23,7,31,84
2012/10/24,7,31,81
2012/10/25,7,32,78
2012/10/26,7,31,81
2012/10/27,7,28,79
2012/10/28,7,30,79
2012/10/29,7,30,81
2012/10/30,7,30,81
2012/10/31,7,29,79
2012/11/01,7,30,78
2012/11/02,7,30,83
2012/11/03,7,29,81
2012/11/04,7,29,84
2012/11/05,7,28,87
2012/11/06,7,28,88
2012/11/07,6,28,89
2012/11/08,6,27,88
2012/11/09,6,27,88
2012/11/10,5,27,86
2012/11/11,6,27,88
2012/11/12,7,27,89
2012/11/13,8,25,85
2012/11/14,8,25,85
2012/11/15,7,24,87
2012/11/16,7,24,87
2012/11/17,7,24,87
2012/11/18,7,23,88
2012/11/19,7,23,84
2012/11/20,7,24,86
2012/11/21,7,26,86
2012/11/22,7,26,87
2012/11/23,7,26,89
2012/11/24,7,25,90
2012/11/25,7,24,92
2012/11/26,8,24,92
2012/11/27,8,25,93
2012/11/28,8,26,91
2012/11/29,8,25,89
2012/11/30,8,25,90
2012/12/01,8,24,92
2012/12/02,8,26,91
2012/12/03,8,27,91
2012/12/04,8,30,89
2012/12/05,8,31,87
2012/12/06,8,30,87
2012/12/07,9,31,87
2012/12/08,9,31,88
2012/12/09,9,31,90
2012/12/10,10,33,90
2012/12/11,10,32,90
2012/12/12,10,32,86
