date,kawiki (100+),kawiki (5+),kawiki (all)
2012/08/19,23,85,236
2012/08/20,22,87,236
2012/08/21,23,85,239
2012/08/22,24,83,239
2012/08/23,23,82,238
2012/08/24,22,80,233
2012/08/25,22,81,235
2012/08/26,23,78,232
2012/08/27,23,75,228
2012/08/28,23,75,234
2012/08/29,21,78,237
2012/08/30,22,78,235
2012/08/31,22,78,232
2012/09/01,23,78,232
2012/09/02,22,79,235
2012/09/03,23,80,232
2012/09/04,23,81,234
2012/09/05,23,79,238
2012/09/06,24,79,237
2012/09/07,24,79,236
2012/09/08,25,81,235
2012/09/09,25,79,235
2012/09/10,27,79,240
2012/09/11,26,79,241
2012/09/12,26,80,240
2012/09/13,26,81,238
2012/09/14,25,80,229
2012/09/15,26,80,225
2012/09/16,27,79,223
2012/09/17,27,79,224
2012/09/18,27,78,226
2012/09/19,26,81,227
2012/09/20,26,80,222
2012/09/21,26,81,226
2012/09/22,26,80,227
2012/09/23,25,78,227
2012/09/24,24,78,225
2012/09/25,24,78,225
2012/09/26,24,78,226
2012/09/27,24,79,224
2012/09/28,24,79,227
2012/09/29,24,79,220
2012/09/30,24,78,223
2012/10/01,25,76,221
2012/10/02,24,75,220
2012/10/03,24,74,217
2012/10/04,24,75,212
2012/10/05,24,75,212
2012/10/06,24,75,211
2012/10/07,24,76,216
2012/10/08,24,73,218
2012/10/09,23,72,215
2012/10/10,23,73,213
2012/10/11,22,73,215
2012/10/12,22,70,215
2012/10/13,22,68,217
2012/10/14,22,69,217
2012/10/15,21,69,217
2012/10/16,21,69,217
2012/10/17,21,69,219
2012/10/18,21,69,222
2012/10/19,22,68,221
2012/10/20,23,68,220
2012/10/21,23,70,220
2012/10/22,23,71,216
2012/10/23,22,73,215
2012/10/24,20,75,222
2012/10/25,21,74,223
2012/10/26,21,74,227
2012/10/27,22,74,227
2012/10/28,23,74,224
2012/10/29,23,74,224
2012/10/30,23,74,228
2012/10/31,23,76,231
2012/11/01,23,74,231
2012/11/02,23,74,235
2012/11/03,23,76,239
2012/11/04,20,77,242
2012/11/05,20,77,246
2012/11/06,20,77,241
2012/11/07,20,77,245
2012/11/08,20,78,245
2012/11/09,20,75,247
2012/11/10,20,75,252
2012/11/11,20,75,248
2012/11/12,20,80,253
2012/11/13,20,78,256
2012/11/14,20,77,255
2012/11/15,20,78,263
2012/11/16,20,78,262
2012/11/17,20,78,262
2012/11/18,22,77,265
2012/11/19,23,76,274
2012/11/20,23,75,274
2012/11/21,23,76,276
2012/11/22,23,78,275
2012/11/23,23,75,270
2012/11/24,23,75,269
2012/11/25,23,78,270
2012/11/26,22,79,266
2012/11/27,23,79,268
2012/11/28,23,78,265
2012/11/29,23,79,261
2012/11/30,23,80,259
2012/12/01,23,81,260
2012/12/02,23,79,263
2012/12/03,24,80,256
2012/12/04,25,80,254
2012/12/05,24,79,255
2012/12/06,24,78,259
2012/12/07,24,74,256
2012/12/08,25,74,255
2012/12/09,25,72,254
2012/12/10,23,72,260
2012/12/11,24,71,266
2012/12/12,24,69,263
2012/12/13,24,68,257
2012/12/14,24,71,259
2012/12/15,24,74,254
2012/12/16,24,76,251
2012/12/17,24,76,246
2012/12/18,25,78,245
2012/12/19,25,78,241
2012/12/20,25,79,239
2012/12/21,25,79,241
2012/12/22,26,80,240
2012/12/23,26,79,243
2012/12/24,27,82,245
2012/12/25,26,78,244
2012/12/26,26,80,242
2012/12/27,26,78,240
2012/12/28,25,76,246
2012/12/29,25,75,250
2012/12/30,25,73,254
2012/12/31,26,72,257
2013/01/01,26,74,255
2013/01/02,26,72,253
2013/01/03,26,72,250
2013/01/04,26,75,247
2013/01/05,26,72,241
2013/01/06,26,71,240
2013/01/07,26,70,235
2013/01/08,27,71,239
2013/01/09,29,72,234
2013/01/10,30,74,241
2013/01/11,31,75,240
2013/01/12,31,77,242
2013/01/13,31,78,242
2013/01/14,31,78,245
2013/01/15,31,79,241
2013/01/16,30,80,243
2013/01/17,30,83,239
2013/01/18,31,85,244
2013/01/19,30,85,248
2013/01/20,29,83,245
2013/01/21,29,86,252
2013/01/22,29,88,257
2013/01/23,28,89,256
2013/01/24,29,90,254
2013/01/25,30,90,260
2013/01/26,29,91,261
2013/01/27,29,94,260
2013/01/28,29,94,259
2013/01/29,29,93,255
2013/01/30,29,93,253
2013/01/31,30,93,252
2013/02/01,31,94,255
2013/02/02,31,94,257
2013/02/03,31,94,259
2013/02/04,30,92,265
2013/02/05,29,90,266
2013/02/06,29,87,266
2013/02/07,30,88,269
2013/02/08,31,87,267
2013/02/09,30,85,264
2013/02/10,31,86,259
2013/02/11,32,87,269
2013/02/12,32,87,265
2013/02/13,32,86,265
2013/02/14,31,87,264
2013/02/15,31,85,266
2013/02/16,30,87,268
2013/02/17,30,84,263
2013/02/18,31,84,266
2013/02/19,31,85,266
2013/02/20,32,79,264
2013/02/21,33,79,263
2013/02/22,32,79,267
2013/02/23,30,79,264
2013/02/24,31,82,261
2013/02/25,30,80,254
2013/02/26,31,81,258
2013/02/27,31,80,260
2013/02/28,30,78,257
2013/03/01,30,77,257
2013/03/02,31,78,260
2013/03/03,32,80,261
2013/03/04,34,81,260
2013/03/05,33,82,255
2013/03/06,33,82,258
2013/03/07,32,80,257
2013/03/08,33,85,261
2013/03/09,33,83,259
2013/03/10,33,83,255
2013/03/11,34,84,252
2013/03/12,33,83,255
