date,mkwiki (100+),mkwiki (5+),mkwiki (all)
2012/08/19,22,70,207
2012/08/20,22,71,206
2012/08/21,21,69,209
2012/08/22,22,67,208
2012/08/23,21,65,211
2012/08/24,21,66,209
2012/08/25,21,64,213
2012/08/26,21,64,210
2012/08/27,22,67,207
2012/08/28,21,66,209
2012/08/29,21,68,210
2012/08/30,21,69,209
2012/08/31,22,68,210
2012/09/01,22,67,214
2012/09/02,21,68,212
2012/09/03,21,68,217
2012/09/04,21,67,216
2012/09/05,21,67,214
2012/09/06,21,65,219
2012/09/07,21,67,219
2012/09/08,21,67,220
2012/09/09,21,66,220
2012/09/10,20,66,223
2012/09/11,20,65,220
2012/09/12,19,65,217
2012/09/13,20,63,222
2012/09/14,19,59,220
2012/09/15,19,60,215
2012/09/16,19,59,212
2012/09/17,19,59,216
2012/09/18,20,61,219
2012/09/19,20,61,216
2012/09/20,20,63,218
2012/09/21,20,62,215
2012/09/22,20,63,215
2012/09/23,20,62,219
2012/09/24,20,61,212
2012/09/25,20,63,214
2012/09/26,19,63,213
2012/09/27,19,63,211
2012/09/28,18,63,209
2012/09/29,18,60,204
2012/09/30,19,62,200
2012/10/01,20,62,197
2012/10/02,21,62,197
2012/10/03,21,61,194
2012/10/04,20,61,194
2012/10/05,20,62,194
2012/10/06,19,63,194
2012/10/07,20,63,191
2012/10/08,20,64,191
2012/10/09,19,60,190
2012/10/10,18,59,187
2012/10/11,18,60,185
2012/10/12,17,61,188
2012/10/13,17,61,185
2012/10/14,17,62,184
2012/10/15,17,60,187
2012/10/16,17,60,190
2012/10/17,17,60,186
2012/10/18,17,61,182
2012/10/19,17,62,185
2012/10/20,16,63,187
2012/10/21,17,64,193
2012/10/22,17,65,194
2012/10/23,16,64,195
2012/10/24,15,61,193
2012/10/25,15,60,191
2012/10/26,15,62,196
2012/10/27,15,63,195
2012/10/28,16,65,195
2012/10/29,16,68,197
2012/10/30,16,64,200
2012/10/31,15,66,200
2012/11/01,15,65,203
2012/11/02,16,65,208
2012/11/03,16,65,213
2012/11/04,16,66,215
2012/11/05,16,64,212
2012/11/06,16,62,212
2012/11/07,16,62,213
2012/11/08,16,63,214
2012/11/09,16,64,214
2012/11/10,17,63,213
2012/11/11,17,66,212
2012/11/12,18,66,214
2012/11/13,18,63,216
2012/11/14,18,65,211
2012/11/15,18,63,209
2012/11/16,18,65,209
2012/11/17,20,63,207
2012/11/18,20,64,213
2012/11/19,18,64,211
2012/11/20,18,62,210
2012/11/21,18,61,215
2012/11/22,18,62,216
2012/11/23,18,64,216
2012/11/24,17,63,214
2012/11/25,17,64,210
2012/11/26,17,62,207
2012/11/27,16,61,208
2012/11/28,17,59,205
2012/11/29,18,60,206
2012/11/30,19,58,203
2012/12/01,18,59,202
2012/12/02,18,59,203
2012/12/03,18,57,197
2012/12/04,19,58,194
2012/12/05,19,57,195
2012/12/06,19,59,200
2012/12/07,19,57,196
2012/12/08,20,58,200
2012/12/09,19,60,200
2012/12/10,19,63,203
2012/12/11,16,61,201
2012/12/12,16,60,195
2012/12/13,16,60,196
2012/12/14,15,60,196
2012/12/15,16,61,196
2012/12/16,16,60,197
2012/12/17,16,63,195
2012/12/18,16,63,191
2012/12/19,16,63,192
2012/12/20,16,64,190
2012/12/21,16,64,189
2012/12/22,16,65,182
2012/12/23,16,66,185
2012/12/24,15,65,189
2012/12/25,15,68,193
2012/12/26,15,69,193
2012/12/27,15,69,198
2012/12/28,15,70,198
2012/12/29,15,68,198
2012/12/30,16,70,200
2012/12/31,17,70,201
2013/01/01,17,70,199
2013/01/02,17,70,198
2013/01/03,17,70,203
2013/01/04,17,67,206
