date,cewiki (100+),cewiki (5+),cewiki (all)
2012/08/19,1,7,29
2012/08/20,1,8,29
2012/08/21,1,7,29
2012/08/22,1,7,30
2012/08/23,1,8,29
2012/08/24,1,9,29
2012/08/25,1,9,29
2012/08/26,1,9,29
2012/08/27,1,9,30
2012/08/28,,9,31
2012/08/29,,8,32
2012/08/30,,8,32
2012/08/31,,8,32
2012/09/01,1,8,33
2012/09/02,1,8,32
2012/09/03,1,9,32
2012/09/04,1,9,34
2012/09/05,1,10,35
2012/09/06,1,11,35
2012/09/07,1,11,33
2012/09/08,1,11,34
2012/09/09,1,12,34
2012/09/10,1,12,33
2012/09/11,1,12,34
2012/09/12,1,13,33
2012/09/13,1,13,35
2012/09/14,1,13,35
2012/09/15,1,13,34
2012/09/16,1,11,34
2012/09/17,1,12,34
2012/09/18,1,13,33
2012/09/19,1,13,33
2012/09/20,1,13,32
2012/09/21,1,11,31
2012/09/22,1,11,33
2012/09/23,1,11,33
2012/09/24,1,11,33
2012/09/25,1,13,36
2012/09/26,1,13,36
2012/09/27,1,13,35
2012/09/28,1,13,33
2012/09/29,1,12,34
2012/09/30,1,12,33
2012/10/01,1,12,32
2012/10/02,1,13,33
2012/10/03,1,13,33
2012/10/04,1,12,32
2012/10/05,1,12,31
2012/10/06,1,11,30
2012/10/07,1,11,30
2012/10/08,1,11,29
2012/10/09,1,11,28
2012/10/10,1,11,29
2012/10/11,1,11,29
2012/10/12,1,10,29
2012/10/13,1,10,28
2012/10/14,1,11,29
2012/10/15,1,11,29
2012/10/16,1,11,28
2012/10/17,1,10,28
2012/10/18,1,10,29
2012/10/19,1,11,30
2012/10/20,1,12,31
2012/10/21,1,12,31
2012/10/22,1,10,29
2012/10/23,1,10,29
2012/10/24,1,10,29
2012/10/25,1,9,24
2012/10/26,1,9,25
2012/10/27,1,9,25
2012/10/28,1,10,28
2012/10/29,1,10,28
2012/10/30,1,10,29
2012/10/31,1,10,29
2012/11/01,1,10,27
2012/11/02,1,10,27
2012/11/03,1,11,28
2012/11/04,1,11,30
2012/11/05,1,10,30
2012/11/06,1,9,30
2012/11/07,1,9,30
2012/11/08,1,9,29
2012/11/09,1,9,27
2012/11/10,1,9,26
2012/11/11,1,10,27
2012/11/12,1,10,28
2012/11/13,1,9,28
2012/11/14,1,11,28
2012/11/15,1,11,28
2012/11/16,1,11,29
2012/11/17,1,10,29
2012/11/18,1,10,31
2012/11/19,1,10,31
2012/11/20,1,10,31
2012/11/21,1,11,33
2012/11/22,1,11,33
2012/11/23,1,11,34
2012/11/24,1,12,34
2012/11/25,1,12,34
2012/11/26,1,12,34
2012/11/27,1,10,33
2012/11/28,1,11,35
2012/11/29,1,11,34
2012/11/30,1,11,34
2012/12/01,1,13,37
2012/12/02,1,13,37
2012/12/03,1,13,35
2012/12/04,1,13,35
2012/12/05,1,14,35
2012/12/06,1,14,35
2012/12/07,1,14,34
2012/12/08,1,14,34
2012/12/09,,14,33
2012/12/10,,14,33
2012/12/11,1,12,33
2012/12/12,1,12,32
2012/12/13,1,13,33
2012/12/14,1,13,33
2012/12/15,1,14,34
2012/12/16,1,14,35
2012/12/17,1,15,34
2012/12/18,,15,33
2012/12/19,,14,32
2012/12/20,,14,31
2012/12/21,,15,29
2012/12/22,,15,30
2012/12/23,,15,31
2012/12/24,,15,31
2012/12/25,,15,31
2012/12/26,,15,31
2012/12/27,1,16,33
2012/12/28,1,16,33
2012/12/29,1,16,33
2012/12/30,1,16,33
2012/12/31,1,14,32
2013/01/01,,14,31
2013/01/02,1,14,30
2013/01/03,1,14,31
2013/01/04,,14,31
2013/01/05,,13,31
2013/01/06,,13,31
2013/01/07,,14,31
2013/01/08,,14,32
2013/01/09,,15,30
2013/01/10,,13,30
2013/01/11,,13,30
2013/01/12,,13,30
2013/01/13,,10,30
2013/01/14,,12,32
2013/01/15,,13,30
2013/01/16,,14,32
2013/01/17,,14,32
2013/01/18,,15,31
2013/01/19,,15,32
2013/01/20,1,15,32
2013/01/21,1,13,32
2013/01/22,1,13,31
2013/01/23,1,13,33
2013/01/24,1,13,32
2013/01/25,1,13,32
2013/01/26,1,12,32
2013/01/27,1,12,31
2013/01/28,1,12,31
2013/01/29,1,11,30
2013/01/30,1,10,29
2013/01/31,1,12,30
2013/02/01,1,12,30
2013/02/02,1,12,29
2013/02/03,1,11,28
2013/02/04,1,11,28
2013/02/05,1,12,28
2013/02/06,1,10,28
2013/02/07,1,11,29
2013/02/08,1,11,29
2013/02/09,1,11,29
2013/02/10,1,12,30
2013/02/11,1,11,30
2013/02/12,1,12,31
2013/02/13,1,11,32
2013/02/14,1,10,32
2013/02/15,1,10,32
2013/02/16,1,10,33
2013/02/17,1,11,51
2013/02/18,1,13,71
2013/02/19,2,13,68
2013/02/20,3,15,67
2013/02/21,3,15,67
2013/02/22,3,14,66
2013/02/23,3,14,68
2013/02/24,3,14,67
2013/02/25,3,13,67
2013/02/26,3,13,68
2013/02/27,3,13,69
2013/02/28,3,13,71
2013/03/01,3,15,72
2013/03/02,3,15,71
2013/03/03,3,15,71
2013/03/04,3,16,73
2013/03/05,3,16,73
2013/03/06,3,14,73
2013/03/07,3,14,75
2013/03/08,4,13,74
2013/03/09,4,13,71
2013/03/10,4,12,72
2013/03/11,4,12,72
2013/03/12,5,13,73
2013/03/13,5,14,73
2013/03/14,6,16,75
2013/03/15,7,17,75
2013/03/16,7,18,72
2013/03/17,7,19,72
2013/03/18,7,20,72
2013/03/19,7,20,58
2013/03/20,7,20,41
2013/03/21,6,20,42
2013/03/22,7,20,42
2013/03/23,7,21,42
2013/03/24,7,21,41
2013/03/25,8,20,39
2013/03/26,8,20,39
2013/03/27,8,20,38
2013/03/28,8,20,37
2013/03/29,8,20,36
2013/03/30,8,20,34
2013/03/31,8,18,34
2013/04/01,8,17,34
2013/04/02,8,16,35
2013/04/03,8,18,34
2013/04/04,7,18,33
2013/04/05,7,18,30
2013/04/06,7,18,29
2013/04/07,7,18,29
2013/04/08,6,18,29
2013/04/09,6,18,30
2013/04/10,6,18,29
2013/04/11,5,17,29
2013/04/12,5,15,29
2013/04/13,4,10,26
2013/04/14,3,10,24
2013/04/15,3,13,26
2013/04/16,3,15,29
