date,urwiki (100+),urwiki (5+),urwiki (all)
2012/08/19,5,24,100
2012/08/20,4,22,101
2012/08/21,4,22,100
2012/08/22,4,22,101
2012/08/23,4,22,98
2012/08/24,4,21,97
2012/08/25,4,20,101
2012/08/26,4,21,101
2012/08/27,5,22,97
2012/08/28,5,21,97
2012/08/29,5,24,101
2012/08/30,5,24,103
2012/08/31,4,23,100
2012/09/01,4,25,105
2012/09/02,4,24,98
2012/09/03,4,24,95
2012/09/04,4,24,98
2012/09/05,4,24,99
2012/09/06,4,24,96
2012/09/07,4,24,94
2012/09/08,4,24,92
2012/09/09,4,23,93
2012/09/10,4,23,93
2012/09/11,4,22,91
2012/09/12,4,22,88
2012/09/13,4,22,88
2012/09/14,4,23,89
2012/09/15,4,23,85
2012/09/16,4,24,88
2012/09/17,4,24,87
2012/09/18,4,24,88
2012/09/19,5,25,92
2012/09/20,5,27,94
2012/09/21,6,27,91
2012/09/22,6,27,91
2012/09/23,6,27,94
2012/09/24,6,26,95
2012/09/25,6,25,95
2012/09/26,6,24,96
2012/09/27,6,24,99
2012/09/28,7,24,97
2012/09/29,7,25,91
2012/09/30,7,26,88
2012/10/01,6,25,82
2012/10/02,6,25,84
2012/10/03,6,26,85
2012/10/04,6,26,81
2012/10/05,6,29,85
2012/10/06,6,29,84
2012/10/07,6,28,84
2012/10/08,6,28,86
2012/10/09,6,28,83
2012/10/10,6,28,81
2012/10/11,6,28,83
2012/10/12,6,30,87
2012/10/13,6,32,89
2012/10/14,6,31,84
2012/10/15,6,30,84
2012/10/16,5,28,82
2012/10/17,5,33,87
2012/10/18,5,34,85
2012/10/19,6,35,86
2012/10/20,6,35,88
2012/10/21,7,37,92
2012/10/22,7,39,96
2012/10/23,6,40,94
2012/10/24,6,42,95
2012/10/25,6,41,94
2012/10/26,6,41,94
2012/10/27,6,40,94
2012/10/28,6,40,95
2012/10/29,6,40,96
2012/10/30,6,39,97
2012/10/31,6,38,98
2012/11/01,6,38,96
2012/11/02,6,39,96
2012/11/03,6,37,102
2012/11/04,7,38,100
2012/11/05,6,39,102
2012/11/06,6,39,101
2012/11/07,6,40,102
2012/11/08,6,40,100
2012/11/09,6,42,103
2012/11/10,6,43,103
2012/11/11,6,40,100
2012/11/12,6,40,97
2012/11/13,5,40,98
2012/11/14,5,40,100
2012/11/15,5,40,103
2012/11/16,5,39,103
2012/11/17,5,37,104
2012/11/18,5,35,108
2012/11/19,5,35,107
2012/11/20,5,34,107
2012/11/21,5,32,104
2012/11/22,5,37,108
2012/11/23,6,35,104
2012/11/24,5,34,101
2012/11/25,6,34,101
2012/11/26,7,34,104
2012/11/27,7,34,104
2012/11/28,6,35,104
2012/11/29,6,35,106
2012/11/30,6,36,107
2012/12/01,6,37,109
2012/12/02,6,36,108
2012/12/03,7,35,104
2012/12/04,7,36,104
2012/12/05,6,34,102
2012/12/06,6,34,108
2012/12/07,6,33,107
2012/12/08,6,34,110
2012/12/09,6,33,109
2012/12/10,6,30,108
2012/12/11,6,30,109
2012/12/12,6,29,108
2012/12/13,6,29,107
2012/12/14,6,29,107
2012/12/15,6,29,106
2012/12/16,6,28,102
2012/12/17,6,29,101
2012/12/18,6,31,99
2012/12/19,6,32,98
2012/12/20,6,32,98
2012/12/21,6,33,97
2012/12/22,6,28,91
2012/12/23,6,28,93
2012/12/24,6,29,94
2012/12/25,5,28,92
2012/12/26,5,27,88
2012/12/27,5,27,88
2012/12/28,5,26,88
2012/12/29,5,27,86
2012/12/30,5,25,87
2012/12/31,5,24,87
2013/01/01,5,25,89
2013/01/02,5,24,90
2013/01/03,5,24,89
2013/01/04,5,23,90
2013/01/05,6,24,89
2013/01/06,6,25,89
2013/01/07,6,25,86
2013/01/08,6,24,87
2013/01/09,6,23,87
2013/01/10,5,22,89
2013/01/11,5,22,88
2013/01/12,5,22,89
2013/01/13,5,22,88
2013/01/14,5,22,88
2013/01/15,4,22,92
2013/01/16,4,22,91
2013/01/17,4,22,91
2013/01/18,4,21,94
2013/01/19,4,19,98
2013/01/20,4,19,95
2013/01/21,4,21,94
2013/01/22,4,22,94
2013/01/23,4,21,91
2013/01/24,4,22,87
2013/01/25,4,22,88
2013/01/26,4,22,86
2013/01/27,4,22,86
2013/01/28,4,22,84
2013/01/29,5,22,81
2013/01/30,5,22,76
2013/01/31,4,25,81
2013/02/01,5,24,81
2013/02/02,5,24,82
2013/02/03,5,24,82
2013/02/04,5,24,81
2013/02/05,5,24,82
2013/02/06,5,24,83
2013/02/07,5,24,80
2013/02/08,4,24,80
2013/02/09,4,22,77
