date,bugwiki (100+),bugwiki (5+),bugwiki (all)
2012/08/19,6,11,26
2012/08/20,6,11,25
2012/08/21,6,11,25
2012/08/22,6,11,25
2012/08/23,6,11,25
2012/08/24,6,11,24
2012/08/25,6,12,26
2012/08/26,6,12,25
2012/08/27,6,12,26
2012/08/28,6,13,27
2012/08/29,6,13,27
2012/08/30,6,13,28
2012/08/31,6,12,29
2012/09/01,6,12,30
2012/09/02,6,12,30
2012/09/03,6,12,31
2012/09/04,6,13,30
2012/09/05,6,13,30
2012/09/06,6,13,30
2012/09/07,6,13,28
2012/09/08,5,12,27
2012/09/09,5,12,27
2012/09/10,5,12,27
2012/09/11,5,14,30
2012/09/12,5,14,29
2012/09/13,5,14,28
2012/09/14,5,14,31
2012/09/15,5,14,31
2012/09/16,5,14,31
2012/09/17,5,14,33
2012/09/18,5,14,32
2012/09/19,5,15,31
2012/09/20,5,15,32
2012/09/21,5,14,31
2012/09/22,5,14,31
2012/09/23,5,14,30
2012/09/24,5,14,28
2012/09/25,5,15,28
2012/09/26,5,16,28
2012/09/27,5,16,28
2012/09/28,5,16,28
2012/09/29,5,16,28
2012/09/30,5,16,26
2012/10/01,5,16,25
2012/10/02,5,16,25
2012/10/03,5,16,25
2012/10/04,5,16,26
2012/10/05,5,16,25
2012/10/06,5,16,25
2012/10/07,5,16,25
2012/10/08,5,17,26
2012/10/09,5,17,26
2012/10/10,5,17,26
2012/10/11,4,15,24
2012/10/12,4,15,25
2012/10/13,4,14,25
2012/10/14,4,15,25
2012/10/15,5,15,25
2012/10/16,6,16,24
2012/10/17,6,16,25
2012/10/18,6,17,26
2012/10/19,6,17,27
2012/10/20,6,17,26
2012/10/21,6,17,26
2012/10/22,6,17,26
2012/10/23,6,17,28
2012/10/24,6,17,29
2012/10/25,6,17,30
2012/10/26,6,15,29
2012/10/27,6,15,29
2012/10/28,6,14,30
2012/10/29,6,14,31
2012/10/30,6,14,31
2012/10/31,6,14,31
2012/11/01,6,14,33
2012/11/02,6,14,34
2012/11/03,6,14,34
2012/11/04,6,14,35
2012/11/05,6,14,35
2012/11/06,6,14,35
2012/11/07,6,14,34
2012/11/08,6,14,35
2012/11/09,6,13,35
2012/11/10,6,13,35
2012/11/11,6,14,36
2012/11/12,6,14,36
2012/11/13,6,14,36
2012/11/14,6,13,36
2012/11/15,6,11,36
2012/11/16,4,9,35
2012/11/17,3,9,34
2012/11/18,2,9,32
2012/11/19,2,9,32
2012/11/20,1,9,33
2012/11/21,1,9,32
2012/11/22,1,11,32
2012/11/23,1,11,31
2012/11/24,1,11,30
2012/11/25,2,12,31
2012/11/26,3,13,31
2012/11/27,3,14,30
2012/11/28,3,14,29
2012/11/29,4,14,28
2012/11/30,5,14,29
2012/12/01,5,18,28
2012/12/02,5,18,27
2012/12/03,5,18,28
2012/12/04,5,17,29
2012/12/05,5,17,30
2012/12/06,5,17,30
2012/12/07,5,17,30
2012/12/08,5,18,30
2012/12/09,5,18,30
2012/12/10,5,17,30
2012/12/11,5,16,31
2012/12/12,5,17,31
2012/12/13,5,17,32
2012/12/14,5,18,33
2012/12/15,5,18,33
2012/12/16,5,17,32
2012/12/17,5,18,33
2012/12/18,5,17,33
2012/12/19,5,17,33
2012/12/20,5,18,32
2012/12/21,5,18,32
2012/12/22,5,19,32
2012/12/23,5,18,31
2012/12/24,5,18,31
2012/12/25,5,18,29
2012/12/26,5,18,29
2012/12/27,5,18,29
2012/12/28,5,18,28
2012/12/29,5,18,29
2012/12/30,5,18,29
2012/12/31,5,18,31
2013/01/01,5,15,31
2013/01/02,5,15,29
2013/01/03,4,15,32
2013/01/04,5,16,33
2013/01/05,7,16,36
2013/01/06,7,16,37
2013/01/07,7,15,37
2013/01/08,6,15,38
2013/01/09,6,16,38
2013/01/10,6,16,39
2013/01/11,6,16,39
2013/01/12,6,15,39
2013/01/13,6,14,40
2013/01/14,7,15,41
2013/01/15,7,15,40
2013/01/16,7,17,40
2013/01/17,7,17,41
2013/01/18,7,17,42
2013/01/19,7,17,42
2013/01/20,7,17,42
2013/01/21,7,17,42
2013/01/22,7,17,42
2013/01/23,8,17,42
2013/01/24,8,17,42
2013/01/25,9,18,42
2013/01/26,9,18,42
2013/01/27,9,18,42
2013/01/28,9,18,42
2013/01/29,9,18,42
2013/01/30,9,19,42
2013/01/31,9,19,42
2013/02/01,9,19,42
2013/02/02,9,21,39
2013/02/03,9,21,37
2013/02/04,9,21,36
2013/02/05,9,20,36
2013/02/06,9,20,36
2013/02/07,9,20,36
2013/02/08,9,21,34
2013/02/09,9,21,33
2013/02/10,9,21,32
2013/02/11,9,21,30
2013/02/12,10,21,29
2013/02/13,9,20,30
2013/02/14,9,20,31
2013/02/15,8,19,31
2013/02/16,8,19,31
2013/02/17,8,18,31
2013/02/18,8,17,31
2013/02/19,8,16,30
2013/02/20,8,15,30
2013/02/21,8,16,30
2013/02/22,8,15,30
2013/02/23,9,14,30
2013/02/24,9,14,30
2013/02/25,9,14,29
2013/02/26,8,15,29
2013/02/27,8,15,29
2013/02/28,7,15,29
2013/03/01,7,15,28
2013/03/02,7,15,29
2013/03/03,7,13,29
2013/03/04,6,13,29
2013/03/05,6,12,29
2013/03/06,6,12,29
2013/03/07,8,13,29
2013/03/08,8,13,29
2013/03/09,8,13,27
2013/03/10,8,13,27
2013/03/11,6,13,27
2013/03/12,7,14,27
2013/03/13,7,14,27
2013/03/14,7,13,25
2013/03/15,7,13,24
2013/03/16,7,13,25
2013/03/17,7,13,25
2013/03/18,7,13,25
2013/03/19,7,13,25
2013/03/20,7,13,25
2013/03/21,7,13,24
2013/03/22,7,11,23
2013/03/23,6,11,22
2013/03/24,6,9,22
2013/03/25,6,9,21
2013/03/26,6,9,20
2013/03/27,4,10,21
2013/03/28,4,10,19
2013/03/29,4,9,18
2013/03/30,3,8,18
2013/03/31,3,7,18
2013/04/01,2,8,17
2013/04/02,2,8,17
2013/04/03,2,7,17
2013/04/04,2,6,12
2013/04/05,2,6,10
2013/04/06,2,5,10
2013/04/07,2,4,7
