date,hywiki (100+),hywiki (5+),hywiki (all)
2012/08/19,22,82,185
2012/08/20,22,84,182
2012/08/21,23,82,177
2012/08/22,23,83,176
2012/08/23,23,81,171
2012/08/24,22,82,170
2012/08/25,25,82,171
2012/08/26,25,82,173
2012/08/27,27,79,172
2012/08/28,28,80,172
2012/08/29,28,82,177
2012/08/30,28,87,178
2012/08/31,29,87,175
2012/09/01,28,85,173
2012/09/02,27,86,173
2012/09/03,25,84,174
2012/09/04,26,82,172
2012/09/05,24,81,170
2012/09/06,23,79,168
2012/09/07,23,78,169
2012/09/08,23,77,167
2012/09/09,21,76,168
2012/09/10,22,80,177
2012/09/11,22,83,182
2012/09/12,22,86,183
2012/09/13,23,84,187
2012/09/14,23,83,186
2012/09/15,24,83,186
2012/09/16,23,83,183
2012/09/17,22,87,187
2012/09/18,22,87,191
2012/09/19,20,87,192
2012/09/20,20,90,193
2012/09/21,19,90,191
2012/09/22,20,89,195
2012/09/23,21,88,194
2012/09/24,20,89,194
2012/09/25,20,90,198
2012/09/26,21,91,198
2012/09/27,21,92,209
2012/09/28,21,92,215
2012/09/29,21,88,212
2012/09/30,21,90,216
2012/10/01,22,89,214
2012/10/02,21,87,217
2012/10/03,19,88,216
2012/10/04,20,88,216
2012/10/05,21,87,218
2012/10/06,22,87,220
2012/10/07,24,89,221
2012/10/08,24,89,223
2012/10/09,25,90,222
2012/10/10,24,88,216
2012/10/11,23,89,217
2012/10/12,22,89,215
2012/10/13,21,89,213
2012/10/14,21,89,214
2012/10/15,21,90,211
2012/10/16,21,89,211
2012/10/17,21,89,211
2012/10/18,21,89,205
2012/10/19,22,90,209
2012/10/20,22,87,208
2012/10/21,22,88,211
2012/10/22,22,93,210
2012/10/23,22,97,210
2012/10/24,22,94,209
2012/10/25,22,93,204
2012/10/26,23,93,206
2012/10/27,22,92,204
2012/10/28,22,91,200
2012/10/29,22,89,205
2012/10/30,22,87,198
2012/10/31,21,85,201
2012/11/01,22,84,197
2012/11/02,22,88,197
2012/11/03,22,88,197
2012/11/04,21,91,199
2012/11/05,22,91,198
2012/11/06,21,91,201
2012/11/07,20,90,203
2012/11/08,21,86,203
2012/11/09,21,87,209
