date,avwiki (100+),avwiki (5+),avwiki (all)
2012/08/19,,8,30
2012/08/20,,8,30
2012/08/21,,8,30
2012/08/22,,8,28
2012/08/23,,8,29
2012/08/24,,8,29
2012/08/25,,8,29
2012/08/26,,8,31
2012/08/27,,10,31
2012/08/28,,10,32
2012/08/29,,10,34
2012/08/30,,11,33
2012/08/31,,12,35
2012/09/01,,13,35
2012/09/02,,13,36
2012/09/03,,13,39
2012/09/04,,13,38
2012/09/05,,13,36
2012/09/06,,13,35
2012/09/07,,13,35
2012/09/08,,13,35
2012/09/09,,13,35
2012/09/10,,14,36
2012/09/11,,14,37
2012/09/12,,15,37
2012/09/13,,15,36
2012/09/14,,15,37
2012/09/15,,16,37
2012/09/16,,15,37
2012/09/17,,15,36
2012/09/18,,15,38
2012/09/19,,15,38
2012/09/20,,15,38
2012/09/21,,14,38
2012/09/22,,13,39
2012/09/23,,13,38
2012/09/24,1,14,39
2012/09/25,1,14,37
2012/09/26,,14,36
2012/09/27,,15,36
2012/09/28,,15,35
2012/09/29,,16,32
2012/09/30,,14,30
2012/10/01,,14,30
2012/10/02,,14,27
2012/10/03,,14,25
2012/10/04,,13,24
2012/10/05,,13,24
2012/10/06,,13,24
2012/10/07,,13,24
2012/10/08,,13,24
2012/10/09,,13,24
2012/10/10,,13,23
2012/10/11,,13,25
2012/10/12,1,13,26
2012/10/13,,13,26
2012/10/14,,13,27
2012/10/15,,13,27
2012/10/16,,13,27
2012/10/17,,12,27
2012/10/18,,12,27
2012/10/19,,11,27
2012/10/20,,11,27
2012/10/21,1,11,28
2012/10/22,,11,29
2012/10/23,,11,29
2012/10/24,,10,28
2012/10/25,,9,29
2012/10/26,,9,32
2012/10/27,,9,31
2012/10/28,,8,33
2012/10/29,,9,33
2012/10/30,,7,33
2012/10/31,,7,34
2012/11/01,,8,34
2012/11/02,,7,36
2012/11/03,,6,36
2012/11/04,,6,35
2012/11/05,,7,36
2012/11/06,,7,36
2012/11/07,,7,34
2012/11/08,,8,34
2012/11/09,,8,34
2012/11/10,,8,32
2012/11/11,,11,32
2012/11/12,,11,32
2012/11/13,,11,31
2012/11/14,,11,32
2012/11/15,,11,31
2012/11/16,,11,30
2012/11/17,,11,30
2012/11/18,,11,30
2012/11/19,,11,31
2012/11/20,,11,32
2012/11/21,,11,30
2012/11/22,,11,32
2012/11/23,,11,32
2012/11/24,,12,31
2012/11/25,,12,33
2012/11/26,,12,33
2012/11/27,,13,34
2012/11/28,,13,34
2012/11/29,,13,34
2012/11/30,,14,34
2012/12/01,,14,34
2012/12/02,,15,33
2012/12/03,,14,33
2012/12/04,,13,33
2012/12/05,,13,32
2012/12/06,,13,34
2012/12/07,,13,34
2012/12/08,,13,34
2012/12/09,,13,34
2012/12/10,,12,34
2012/12/11,,12,34
2012/12/12,,13,34
2012/12/13,,12,34
2012/12/14,,13,33
2012/12/15,,13,32
2012/12/16,,14,34
2012/12/17,,14,34
2012/12/18,,14,35
2012/12/19,,14,34
2012/12/20,,14,35
2012/12/21,,14,35
2012/12/22,,16,33
2012/12/23,1,16,34
2012/12/24,,15,34
2012/12/25,1,15,32
2012/12/26,1,14,32
2012/12/27,,13,32
2012/12/28,,13,31
2012/12/29,,14,32
2012/12/30,,14,32
2012/12/31,1,14,31
2013/01/01,1,14,32
2013/01/02,1,14,33
2013/01/03,1,13,33
2013/01/04,1,13,34
2013/01/05,1,13,34
2013/01/06,1,13,34
2013/01/07,1,12,33
2013/01/08,1,12,32
2013/01/09,1,12,33
2013/01/10,1,13,33
2013/01/11,1,13,33
2013/01/12,1,13,32
2013/01/13,1,13,33
2013/01/14,1,13,33
2013/01/15,1,12,31
2013/01/16,1,14,33
2013/01/17,1,14,32
2013/01/18,1,14,34
2013/01/19,1,14,35
2013/01/20,2,14,43
2013/01/21,2,14,42
2013/01/22,2,14,41
2013/01/23,2,14,41
2013/01/24,3,14,43
2013/01/25,3,14,44
2013/01/26,3,13,45
2013/01/27,4,13,45
2013/01/28,4,13,43
2013/01/29,3,13,43
2013/01/30,3,12,43
2013/01/31,3,12,44
2013/02/01,3,12,44
2013/02/02,3,12,45
2013/02/03,3,12,44
2013/02/04,3,13,43
2013/02/05,3,12,45
2013/02/06,2,13,44
2013/02/07,2,14,45
2013/02/08,2,14,46
2013/02/09,2,14,45
2013/02/10,2,14,45
2013/02/11,2,14,45
2013/02/12,2,15,44
2013/02/13,2,15,44
2013/02/14,2,16,44
2013/02/15,2,16,44
2013/02/16,2,16,45
2013/02/17,2,16,46
2013/02/18,2,17,49
2013/02/19,3,17,38
2013/02/20,3,17,37
2013/02/21,3,17,37
2013/02/22,3,17,38
2013/02/23,2,18,39
2013/02/24,2,19,38
2013/02/25,2,19,36
2013/02/26,2,19,38
2013/02/27,2,19,39
2013/02/28,3,19,39
2013/03/01,3,19,39
2013/03/02,3,18,39
2013/03/03,2,18,38
2013/03/04,2,18,38
2013/03/05,2,18,37
2013/03/06,2,17,37
2013/03/07,2,18,38
2013/03/08,3,18,37
2013/03/09,4,19,39
2013/03/10,4,18,38
2013/03/11,4,18,38
2013/03/12,4,17,38
2013/03/13,4,17,37
2013/03/14,4,16,37
2013/03/15,4,16,35
2013/03/16,4,14,34
2013/03/17,4,14,34
2013/03/18,4,14,35
2013/03/19,4,13,35
2013/03/20,4,12,34
2013/03/21,3,12,34
2013/03/22,3,10,34
2013/03/23,2,10,34
2013/03/24,2,10,34
2013/03/25,2,12,32
2013/03/26,2,12,32
2013/03/27,2,11,29
2013/03/28,2,10,31
2013/03/29,2,10,30
2013/03/30,2,8,29
2013/03/31,2,8,29
2013/04/01,2,8,29
2013/04/02,2,8,28
2013/04/03,2,8,26
2013/04/04,2,7,25
2013/04/05,2,7,23
2013/04/06,2,5,21
2013/04/07,2,5,19
2013/04/08,,5,19
2013/04/09,,5,18
2013/04/10,,5,18
2013/04/11,,5,17
2013/04/12,,5,17
2013/04/13,,5,18
2013/04/14,,4,18
2013/04/15,,4,17
2013/04/16,,3,17
2013/04/17,,2,15
2013/04/18,,1,15
2013/04/19,,1,15
2013/04/20,,1,15
2013/04/21,,1,16
2013/04/22,,2,16
2013/04/23,,2,15
2013/04/24,,2,14
2013/04/25,,3,17
2013/04/26,,3,17
2013/04/27,,3,16
2013/04/28,,3,17
2013/04/29,,3,17
2013/04/30,,3,16
2013/05/01,,3,17
2013/05/02,,3,17
2013/05/03,,3,18
2013/05/04,,3,18
2013/05/05,,3,15
2013/05/06,,3,15
2013/05/07,,3,16
2013/05/08,,3,16
2013/05/09,,3,16
2013/05/10,,3,16
2013/05/11,,3,16
2013/05/12,,3,16
2013/05/13,,3,16
2013/05/14,,3,16
2013/05/15,,2,16
2013/05/16,,2,15
2013/05/17,,2,16
2013/05/18,,2,15
2013/05/19,,2,15
2013/05/20,,2,15
2013/05/21,,2,14
2013/05/22,,1,12
2013/05/23,,1,12
2013/05/24,,1,12
2013/05/25,,,10
2013/05/26,,1,11
2013/05/27,,1,10
2013/05/28,,1,10
2013/05/29,,1,9
2013/05/30,,1,9
2013/05/31,,1,8
2013/06/01,,1,8
2013/06/02,,1,6
2013/06/03,,1,6
2013/06/04,,1,6
2013/06/05,,1,7
2013/06/06,,1,6
2013/06/07,,1,6
2013/06/08,,1,7
2013/06/09,,1,7
2013/06/10,,1,8
2013/06/11,,1,8
2013/06/12,,1,9
2013/06/13,,1,10
2013/06/14,,1,10
2013/06/15,,1,10
2013/06/16,,1,9
2013/06/17,,1,8
2013/06/18,,1,9
2013/06/19,,1,9
2013/06/20,,1,9
2013/06/21,,1,9
2013/06/22,,1,10
2013/06/23,,1,10
2013/06/24,,1,10
2013/06/25,,,9
2013/06/26,,,9
2013/06/27,,,8
2013/06/28,,,8
2013/06/29,,,8
2013/06/30,,,8
2013/07/01,,,8
2013/07/02,,,8
2013/07/03,,,8
2013/07/04,,,8
2013/07/05,,,7
2013/07/06,,,7
2013/07/07,,,6
2013/07/08,,,7
2013/07/09,,,7
2013/07/10,,,6
2013/07/11,,,6
2013/07/12,,,7
2013/07/13,,,7
2013/07/14,,,7
2013/07/15,,,7
2013/07/16,,,7
2013/07/17,,,7
2013/07/18,,,6
2013/07/19,,,6
2013/07/20,,,6
2013/07/21,,,7
2013/07/22,,,7
2013/07/23,,,7
2013/07/24,,,7
2013/07/25,,,7
2013/07/26,,,7
2013/07/27,,,7
2013/07/28,,,7
2013/07/29,,,7
2013/07/30,,,7
2013/07/31,,,8
2013/08/01,,,8
2013/08/02,,,8
2013/08/03,,,8
2013/08/04,,,7
2013/08/05,,,7
2013/08/06,,,7
2013/08/07,,,6
2013/08/08,,1,6
2013/08/09,,1,6
2013/08/10,,1,6
2013/08/11,,1,5
2013/08/12,,1,5
2013/08/13,,1,5
2013/08/14,,1,5
2013/08/15,,1,5
