date,nowiki (100+),nowiki (5+),nowiki (all)
2012/08/19,82,506,1684
2012/08/20,81,509,1685
2012/08/21,84,513,1718
2012/08/22,83,512,1737
2012/08/23,83,512,1756
2012/08/24,82,508,1712
2012/08/25,83,513,1758
2012/08/26,82,515,1761
2012/08/27,83,513,1780
2012/08/28,82,528,1796
2012/08/29,82,531,1830
2012/08/30,82,530,1841
2012/08/31,87,523,1832
2012/09/01,87,521,1836
2012/09/02,86,522,1829
2012/09/03,85,520,1829
2012/09/04,85,526,1873
2012/09/05,86,531,1900
2012/09/06,87,541,1931
2012/09/07,87,542,1943
2012/09/08,87,555,1938
2012/09/09,88,550,1922
2012/09/10,86,548,1920
2012/09/11,88,558,1941
2012/09/12,88,561,1936
2012/09/13,88,570,1941
2012/09/14,87,573,1945
2012/09/15,90,575,1952
2012/09/16,88,581,1954
2012/09/17,90,579,1946
2012/09/18,90,583,1959
2012/09/19,91,585,1964
2012/09/20,87,585,1978
2012/09/21,87,585,1971
2012/09/22,84,585,1960
2012/09/23,85,587,1957
2012/09/24,84,583,1954
2012/09/25,85,593,1985
2012/09/26,85,592,1990
2012/09/27,87,583,1984
2012/09/28,87,583,1976
2012/09/29,86,581,1953
2012/09/30,84,583,1943
2012/10/01,84,580,1949
2012/10/02,83,572,1953
2012/10/03,83,571,1961
2012/10/04,80,568,1964
2012/10/05,81,578,1973
2012/10/06,83,565,1959
2012/10/07,84,568,1940
2012/10/08,86,564,1936
2012/10/09,83,574,1974
2012/10/10,81,568,1993
2012/10/11,79,557,1977
2012/10/12,80,553,1975
2012/10/13,82,551,1973
2012/10/14,83,553,1961
2012/10/15,82,549,1951
2012/10/16,81,551,1994
2012/10/17,80,561,2005
2012/10/18,81,570,2018
2012/10/19,82,581,2023
2012/10/20,82,584,2015
2012/10/21,82,579,2016
2012/10/22,81,586,2025
2012/10/23,84,595,2071
2012/10/24,83,605,2098
2012/10/25,78,603,2097
2012/10/26,80,613,2110
2012/10/27,81,619,2113
2012/10/28,80,615,2089
2012/10/29,82,619,2107
2012/10/30,82,629,2121
2012/10/31,83,636,2124
2012/11/01,85,646,2150
2012/11/02,84,647,2159
2012/11/03,84,655,2144
2012/11/04,87,642,2118
2012/11/05,86,636,2115
2012/11/06,87,642,2133
2012/11/07,88,654,2171
2012/11/08,86,680,2202
2012/11/09,84,679,2211
2012/11/10,80,679,2214
2012/11/11,81,682,2220
2012/11/12,79,677,2216
2012/11/13,81,687,2253
2012/11/14,81,697,2260
2012/11/15,82,691,2243
2012/11/16,82,692,2239
2012/11/17,86,687,2230
2012/11/18,84,681,2213
2012/11/19,83,684,2214
2012/11/20,85,689,2228
2012/11/21,86,688,2259
2012/11/22,83,677,2259
2012/11/23,84,673,2244
2012/11/24,85,680,2226
2012/11/25,85,674,2196
2012/11/26,82,672,2197
2012/11/27,84,665,2236
2012/11/28,85,688,2273
2012/11/29,84,694,2294
2012/11/30,84,706,2320
2012/12/01,83,697,2305
2012/12/02,83,693,2290
2012/12/03,84,691,2299
2012/12/04,82,695,2312
2012/12/05,80,703,2338
2012/12/06,81,703,2338
2012/12/07,80,714,2334
2012/12/08,80,694,2287
2012/12/09,80,685,2265
2012/12/10,83,691,2271
2012/12/11,84,692,2281
2012/12/12,84,697,2299
2012/12/13,82,684,2260
2012/12/14,81,685,2247
2012/12/15,80,680,2250
2012/12/16,82,667,2227
2012/12/17,84,666,2217
2012/12/18,84,673,2222
2012/12/19,84,673,2206
2012/12/20,84,658,2189
2012/12/21,86,648,2176
2012/12/22,86,638,2133
2012/12/23,88,634,2085
2012/12/24,88,630,2076
2012/12/25,88,617,2053
2012/12/26,90,618,2025
2012/12/27,91,613,1991
2012/12/28,90,592,1940
2012/12/29,91,587,1907
2012/12/30,94,579,1887
2012/12/31,97,573,1871
2013/01/01,95,571,1875
2013/01/02,95,570,1877
2013/01/03,95,572,1859
2013/01/04,94,570,1850
2013/01/05,93,561,1850
2013/01/06,93,547,1837
2013/01/07,96,548,1845
2013/01/08,93,554,1880
2013/01/09,91,555,1886
2013/01/10,90,559,1876
2013/01/11,91,557,1875
2013/01/12,91,556,1882
2013/01/13,92,565,1878
2013/01/14,93,568,1870
2013/01/15,93,564,1883
2013/01/16,94,568,1913
2013/01/17,94,563,1918
2013/01/18,95,561,1910
2013/01/19,99,563,1911
2013/01/20,98,559,1912
2013/01/21,99,558,1928
2013/01/22,100,564,1963
2013/01/23,98,572,1987
2013/01/24,99,583,2030
2013/01/25,98,585,2049
2013/01/26,96,579,2046
2013/01/27,96,583,2046
2013/01/28,99,581,2049
2013/01/29,98,579,2041
2013/01/30,96,587,2053
2013/01/31,97,586,2060
2013/02/01,94,591,2051
2013/02/02,92,589,2044
2013/02/03,90,590,2031
2013/02/04,90,595,2035
2013/02/05,89,594,2033
2013/02/06,87,591,2043
2013/02/07,87,586,2037
2013/02/08,88,582,2047
2013/02/09,86,585,2059
2013/02/10,88,575,2025
2013/02/11,90,571,2024
2013/02/12,90,575,2029
2013/02/13,87,574,2043
2013/02/14,88,571,2028
2013/02/15,86,567,2004
2013/02/16,87,563,2007
2013/02/17,90,557,2009
2013/02/18,89,556,2005
2013/02/19,89,562,2031
2013/02/20,89,568,2045
2013/02/21,87,560,2031
2013/02/22,87,564,2018
2013/02/23,87,559,1988
2013/02/24,86,550,1983
2013/02/25,85,551,1969
2013/02/26,82,551,1970
2013/02/27,82,564,1984
2013/02/28,82,561,1999
2013/03/01,82,563,1996
2013/03/02,84,564,1991
2013/03/03,84,560,1978
2013/03/04,86,560,1985
2013/03/05,84,562,1990
2013/03/06,82,566,2009
2013/03/07,82,573,2021
2013/03/08,82,566,2010
