date,cuwiki (100+),cuwiki (5+),cuwiki (all)
2012/08/19,,9,20
2012/08/20,,9,20
2012/08/21,,9,20
2012/08/22,,9,19
2012/08/23,,9,19
2012/08/24,,9,20
2012/08/25,,10,21
2012/08/26,,10,21
2012/08/27,,11,21
2012/08/28,,11,22
2012/08/29,,11,23
2012/08/30,,11,23
2012/08/31,,11,23
2012/09/01,,11,23
2012/09/02,,11,23
2012/09/03,,11,25
2012/09/04,,11,25
2012/09/05,,11,25
2012/09/06,,11,24
2012/09/07,,11,24
2012/09/08,,10,23
2012/09/09,,10,23
2012/09/10,,10,23
2012/09/11,,9,23
2012/09/12,,9,26
2012/09/13,,9,28
2012/09/14,,9,28
2012/09/15,,9,27
2012/09/16,,9,27
2012/09/17,,10,27
2012/09/18,,11,26
2012/09/19,,11,26
2012/09/20,,11,26
2012/09/21,,11,25
2012/09/22,,11,25
2012/09/23,,11,23
2012/09/24,,11,22
2012/09/25,,11,22
2012/09/26,,11,22
2012/09/27,,11,22
2012/09/28,,10,22
2012/09/29,,10,22
2012/09/30,,10,23
2012/10/01,,10,22
2012/10/02,,10,22
2012/10/03,,10,23
2012/10/04,,10,24
2012/10/05,,10,24
2012/10/06,,10,23
2012/10/07,,10,23
2012/10/08,,10,24
2012/10/09,,10,24
2012/10/10,,12,24
2012/10/11,,12,24
2012/10/12,,12,23
2012/10/13,,12,21
2012/10/14,,12,22
2012/10/15,,12,22
2012/10/16,,11,23
2012/10/17,,10,23
2012/10/18,,11,24
2012/10/19,,11,24
2012/10/20,,11,24
2012/10/21,,12,24
2012/10/22,,13,25
2012/10/23,,13,25
2012/10/24,,13,26
2012/10/25,,13,27
2012/10/26,,12,28
2012/10/27,,12,28
2012/10/28,,12,29
2012/10/29,,13,29
2012/10/30,,12,29
2012/10/31,,13,30
2012/11/01,,13,30
2012/11/02,1,13,31
2012/11/03,,13,31
2012/11/04,,13,31
2012/11/05,,13,31
2012/11/06,,13,32
2012/11/07,,13,31
2012/11/08,,14,31
2012/11/09,,13,30
2012/11/10,,13,30
2012/11/11,,13,31
2012/11/12,,14,31
2012/11/13,,15,30
2012/11/14,,15,30
2012/11/15,,15,30
2012/11/16,,15,29
2012/11/17,,14,31
2012/11/18,,14,31
2012/11/19,,14,30
2012/11/20,,15,30
2012/11/21,,14,29
2012/11/22,,14,30
2012/11/23,,13,30
2012/11/24,,13,30
2012/11/25,,14,29
2012/11/26,,14,29
2012/11/27,,14,28
2012/11/28,,14,28
2012/11/29,,14,26
2012/11/30,,14,28
2012/12/01,,15,28
2012/12/02,,15,27
2012/12/03,,14,26
2012/12/04,,15,26
2012/12/05,,15,27
2012/12/06,,15,26
2012/12/07,,15,26
2012/12/08,,15,26
2012/12/09,,15,26
2012/12/10,,15,26
2012/12/11,,14,28
2012/12/12,,14,28
2012/12/13,,14,29
2012/12/14,,13,28
2012/12/15,,13,28
2012/12/16,,13,28
2012/12/17,,11,27
2012/12/18,,11,27
2012/12/19,,11,27
2012/12/20,,11,27
2012/12/21,,10,27
2012/12/22,,11,27
2012/12/23,,11,26
2012/12/24,,11,25
2012/12/25,,11,25
2012/12/26,,11,25
2012/12/27,,11,25
2012/12/28,,12,25
2012/12/29,,12,26
2012/12/30,,12,24
2012/12/31,,13,27
2013/01/01,,13,27
2013/01/02,,13,28
2013/01/03,,14,29
2013/01/04,,13,28
2013/01/05,,12,28
2013/01/06,,12,29
2013/01/07,,11,29
2013/01/08,,11,26
2013/01/09,,11,26
2013/01/10,,11,24
2013/01/11,,11,24
2013/01/12,,11,23
2013/01/13,,11,24
2013/01/14,,11,25
2013/01/15,,11,25
2013/01/16,,12,26
2013/01/17,,12,26
2013/01/18,,12,25
2013/01/19,,13,26
2013/01/20,,14,26
2013/01/21,,14,25
2013/01/22,,14,24
2013/01/23,,14,24
2013/01/24,,14,25
2013/01/25,,14,26
2013/01/26,,14,26
2013/01/27,,15,25
2013/01/28,,14,25
2013/01/29,,14,25
2013/01/30,,13,25
2013/01/31,,12,27
2013/02/01,1,12,27
2013/02/02,1,13,27
2013/02/03,1,13,27
2013/02/04,1,13,27
2013/02/05,1,13,27
2013/02/06,1,13,27
2013/02/07,1,13,27
2013/02/08,1,14,27
2013/02/09,1,14,26
2013/02/10,1,14,26
2013/02/11,1,13,26
2013/02/12,1,13,25
2013/02/13,1,13,25
2013/02/14,1,13,25
2013/02/15,1,13,25
2013/02/16,1,13,26
2013/02/17,1,12,27
2013/02/18,1,13,26
2013/02/19,1,11,26
2013/02/20,1,11,27
2013/02/21,1,11,27
2013/02/22,1,12,27
2013/02/23,1,12,28
2013/02/24,1,11,29
2013/02/25,1,11,29
2013/02/26,1,12,27
2013/02/27,1,11,27
2013/02/28,1,11,28
2013/03/01,1,11,28
2013/03/02,1,10,27
2013/03/03,1,10,25
2013/03/04,1,10,26
