date,nnwiki (100+),nnwiki (5+),nnwiki (all)
2012/08/19,12,49,217
2012/08/20,13,49,221
2012/08/21,13,49,223
2012/08/22,13,49,225
2012/08/23,13,48,234
2012/08/24,13,53,232
2012/08/25,13,50,231
2012/08/26,13,51,226
2012/08/27,12,51,227
2012/08/28,12,50,232
2012/08/29,12,54,228
2012/08/30,13,54,228
2012/08/31,13,52,231
2012/09/01,14,53,241
2012/09/02,14,51,237
2012/09/03,15,53,237
2012/09/04,14,55,240
2012/09/05,13,56,246
2012/09/06,15,60,251
2012/09/07,16,60,247
2012/09/08,15,58,249
2012/09/09,15,58,244
2012/09/10,16,58,243
2012/09/11,16,58,240
2012/09/12,15,60,240
2012/09/13,15,61,241
2012/09/14,16,60,242
2012/09/15,16,60,237
2012/09/16,16,60,237
2012/09/17,15,62,243
2012/09/18,15,62,237
2012/09/19,14,59,229
2012/09/20,15,57,230
2012/09/21,15,57,224
2012/09/22,15,57,221
2012/09/23,14,56,222
2012/09/24,15,56,227
2012/09/25,16,57,237
2012/09/26,15,57,242
2012/09/27,14,55,235
2012/09/28,13,54,241
2012/09/29,14,54,237
2012/09/30,13,54,233
2012/10/01,13,54,232
2012/10/02,15,54,234
2012/10/03,15,53,235
2012/10/04,15,53,237
2012/10/05,15,54,232
2012/10/06,13,51,230
2012/10/07,13,53,232
2012/10/08,13,53,232
2012/10/09,13,53,234
2012/10/10,13,53,237
2012/10/11,12,53,238
2012/10/12,12,50,240
2012/10/13,13,49,238
2012/10/14,13,48,240
2012/10/15,13,50,238
2012/10/16,13,50,237
2012/10/17,13,49,234
2012/10/18,13,49,236
2012/10/19,13,50,236
2012/10/20,13,51,235
2012/10/21,12,51,242
2012/10/22,12,50,243
2012/10/23,12,53,245
2012/10/24,12,54,240
2012/10/25,12,53,226
2012/10/26,12,51,223
2012/10/27,12,51,225
2012/10/28,12,50,222
2012/10/29,11,53,223
2012/10/30,11,51,217
2012/10/31,11,51,214
2012/11/01,10,50,215
2012/11/02,10,50,221
2012/11/03,10,51,224
2012/11/04,12,51,227
2012/11/05,11,51,226
2012/11/06,12,54,234
2012/11/07,11,60,249
2012/11/08,11,63,253
2012/11/09,11,65,255
2012/11/10,11,66,255
2012/11/11,11,67,254
2012/11/12,10,67,255
2012/11/13,10,69,264
2012/11/14,10,67,267
2012/11/15,10,66,267
2012/11/16,10,65,269
2012/11/17,10,66,266
2012/11/18,10,66,264
2012/11/19,10,64,261
2012/11/20,10,66,260
2012/11/21,10,69,265
2012/11/22,12,70,264
2012/11/23,12,68,266
2012/11/24,11,68,271
2012/11/25,12,68,269
2012/11/26,12,66,266
2012/11/27,13,68,270
2012/11/28,13,67,272
2012/11/29,12,68,275
2012/11/30,12,70,281
2012/12/01,12,68,283
2012/12/02,12,69,279
2012/12/03,12,72,280
2012/12/04,12,73,281
2012/12/05,11,73,286
2012/12/06,9,72,282
2012/12/07,9,69,275
2012/12/08,9,68,272
2012/12/09,10,71,271
2012/12/10,10,69,269
2012/12/11,10,69,265
2012/12/12,10,69,268
2012/12/13,10,67,260
2012/12/14,10,66,260
2012/12/15,10,64,257
2012/12/16,10,62,258
2012/12/17,10,62,254
2012/12/18,8,62,256
2012/12/19,8,63,252
2012/12/20,8,62,253
2012/12/21,7,60,249
2012/12/22,8,58,246
2012/12/23,7,58,245
2012/12/24,7,57,244
2012/12/25,7,57,243
2012/12/26,7,58,243
2012/12/27,7,57,242
2012/12/28,7,56,240
2012/12/29,7,55,237
2012/12/30,8,55,231
2012/12/31,8,56,229
2013/01/01,8,54,226
2013/01/02,9,48,219
2013/01/03,8,49,215
2013/01/04,9,49,207
2013/01/05,10,49,205
2013/01/06,10,47,205
2013/01/07,11,48,203
2013/01/08,11,45,210
2013/01/09,11,45,207
2013/01/10,12,45,212
2013/01/11,12,47,212
2013/01/12,13,47,212
2013/01/13,13,45,208
2013/01/14,13,47,218
2013/01/15,13,48,219
2013/01/16,13,47,221
2013/01/17,15,46,224
2013/01/18,15,44,229
2013/01/19,15,44,230
2013/01/20,15,43,228
2013/01/21,14,43,234
2013/01/22,13,45,231
