date,cebwiki (100+),cebwiki (5+),cebwiki (all)
2012/08/19,7,18,41
2012/08/20,7,19,41
2012/08/21,7,19,41
2012/08/22,7,18,42
2012/08/23,7,18,42
2012/08/24,7,19,42
2012/08/25,7,19,44
2012/08/26,7,20,46
2012/08/27,7,21,47
2012/08/28,7,19,45
2012/08/29,7,20,46
2012/08/30,7,20,45
2012/08/31,7,20,48
2012/09/01,7,21,49
2012/09/02,7,20,49
2012/09/03,7,20,48
2012/09/04,7,20,48
2012/09/05,7,20,50
2012/09/06,7,20,50
2012/09/07,7,20,49
2012/09/08,7,20,49
2012/09/09,8,19,48
2012/09/10,8,18,48
2012/09/11,8,19,48
2012/09/12,8,19,48
2012/09/13,7,19,49
2012/09/14,7,20,51
2012/09/15,7,20,52
2012/09/16,7,20,51
2012/09/17,7,19,51
2012/09/18,7,18,49
2012/09/19,7,17,47
2012/09/20,7,17,46
2012/09/21,7,17,48
2012/09/22,7,16,49
2012/09/23,7,15,48
2012/09/24,7,15,45
2012/09/25,7,15,44
2012/09/26,7,15,44
2012/09/27,7,15,45
2012/09/28,7,15,45
2012/09/29,7,15,44
2012/09/30,7,15,42
2012/10/01,7,15,42
2012/10/02,7,15,40
2012/10/03,7,15,41
2012/10/04,7,15,43
2012/10/05,7,15,42
2012/10/06,7,15,42
2012/10/07,7,15,41
2012/10/08,7,15,42
2012/10/09,7,15,40
2012/10/10,7,15,40
2012/10/11,7,14,38
2012/10/12,7,13,38
2012/10/13,7,13,37
2012/10/14,7,13,35
2012/10/15,7,13,34
2012/10/16,6,13,34
2012/10/17,6,13,37
2012/10/18,6,13,37
2012/10/19,6,13,36
2012/10/20,6,13,39
2012/10/21,6,13,36
2012/10/22,5,13,37
2012/10/23,5,12,38
2012/10/24,5,12,38
2012/10/25,5,14,37
2012/10/26,5,13,39
2012/10/27,5,13,38
2012/10/28,5,13,39
2012/10/29,5,12,39
2012/10/30,5,13,40
2012/10/31,5,12,41
2012/11/01,5,13,41
2012/11/02,5,13,42
2012/11/03,5,13,42
2012/11/04,5,14,42
2012/11/05,5,14,43
2012/11/06,5,14,43
2012/11/07,5,14,43
2012/11/08,5,14,44
2012/11/09,5,14,44
2012/11/10,5,14,43
2012/11/11,5,15,43
2012/11/12,5,15,44
2012/11/13,5,15,44
2012/11/14,5,16,44
2012/11/15,6,16,44
2012/11/16,6,16,40
2012/11/17,5,16,42
2012/11/18,5,16,42
2012/11/19,5,16,38
2012/11/20,5,16,40
2012/11/21,5,16,40
2012/11/22,5,16,39
2012/11/23,5,16,39
2012/11/24,5,15,39
2012/11/25,5,16,37
2012/11/26,5,16,39
2012/11/27,5,16,39
2012/11/28,5,16,40
2012/11/29,5,16,40
2012/11/30,5,16,39
2012/12/01,5,19,41
2012/12/02,7,20,41
2012/12/03,7,20,41
2012/12/04,7,20,46
2012/12/05,7,20,45
2012/12/06,7,19,46
2012/12/07,7,19,45
2012/12/08,7,20,47
2012/12/09,8,20,48
2012/12/10,8,20,50
2012/12/11,8,20,50
2012/12/12,8,19,50
2012/12/13,8,20,51
2012/12/14,8,20,50
2012/12/15,8,20,50
2012/12/16,8,20,50
2012/12/17,8,21,49
2012/12/18,8,21,49
2012/12/19,8,22,51
2012/12/20,8,21,50
2012/12/21,8,21,50
2012/12/22,8,22,50
2012/12/23,8,22,52
2012/12/24,8,22,52
2012/12/25,8,22,52
2012/12/26,8,22,51
2012/12/27,8,22,51
2012/12/28,8,23,50
2012/12/29,9,23,49
2012/12/30,9,23,52
2012/12/31,10,22,53
2013/01/01,9,21,52
2013/01/02,8,21,51
2013/01/03,8,21,47
2013/01/04,8,20,47
2013/01/05,8,20,47
2013/01/06,8,20,49
2013/01/07,7,19,46
2013/01/08,7,19,43
2013/01/09,8,19,43
2013/01/10,9,19,43
2013/01/11,9,19,42
2013/01/12,9,19,42
2013/01/13,9,19,42
2013/01/14,10,20,43
2013/01/15,10,18,45
2013/01/16,10,19,48
2013/01/17,10,18,48
2013/01/18,10,18,46
2013/01/19,10,18,47
2013/01/20,10,18,47
2013/01/21,10,18,47
2013/01/22,8,17,44
2013/01/23,8,17,44
2013/01/24,8,17,46
2013/01/25,7,17,47
2013/01/26,7,18,47
2013/01/27,7,19,49
2013/01/28,7,19,49
2013/01/29,7,19,49
2013/01/30,7,19,45
2013/01/31,7,20,47
2013/02/01,8,20,48
