date,orwiki (100+),orwiki (5+),orwiki (all)
2012/08/19,8,30,63
2012/08/20,8,28,62
2012/08/21,8,28,59
2012/08/22,8,26,59
2012/08/23,8,25,59
2012/08/24,8,28,57
2012/08/25,7,26,58
2012/08/26,7,25,58
2012/08/27,7,26,60
2012/08/28,7,25,61
2012/08/29,7,25,61
2012/08/30,7,25,61
2012/08/31,7,26,64
2012/09/01,7,25,65
2012/09/02,7,25,65
2012/09/03,7,24,65
2012/09/04,6,24,66
2012/09/05,5,25,67
2012/09/06,5,28,67
2012/09/07,5,29,67
2012/09/08,5,27,65
2012/09/09,5,28,66
2012/09/10,5,28,68
2012/09/11,5,28,69
2012/09/12,5,28,69
2012/09/13,6,31,68
2012/09/14,6,31,69
2012/09/15,6,30,68
2012/09/16,6,28,67
2012/09/17,6,28,67
2012/09/18,6,28,66
2012/09/19,6,28,67
2012/09/20,6,28,68
2012/09/21,6,28,68
2012/09/22,6,28,65
2012/09/23,6,28,65
2012/09/24,5,27,65
2012/09/25,5,26,61
2012/09/26,6,26,60
2012/09/27,6,27,59
2012/09/28,6,26,59
2012/09/29,6,25,60
2012/09/30,6,25,62
2012/10/01,6,25,62
2012/10/02,6,25,62
2012/10/03,6,26,62
2012/10/04,6,24,61
2012/10/05,6,24,58
2012/10/06,6,24,57
2012/10/07,6,24,57
2012/10/08,6,24,57
2012/10/09,6,23,54
2012/10/10,6,22,52
2012/10/11,6,22,52
2012/10/12,6,22,50
2012/10/13,5,22,51
2012/10/14,5,24,51
2012/10/15,5,25,50
2012/10/16,5,25,52
2012/10/17,5,24,53
2012/10/18,5,24,53
2012/10/19,5,24,54
2012/10/20,5,25,53
2012/10/21,4,25,54
2012/10/22,4,25,56
2012/10/23,4,25,55
2012/10/24,4,26,56
2012/10/25,4,26,56
2012/10/26,4,26,60
2012/10/27,4,26,60
2012/10/28,4,27,64
2012/10/29,3,27,62
2012/10/30,3,26,59
2012/10/31,3,28,61
2012/11/01,3,27,60
2012/11/02,3,26,60
2012/11/03,3,26,58
2012/11/04,3,26,61
2012/11/05,4,25,61
2012/11/06,4,25,62
2012/11/07,4,27,62
2012/11/08,4,28,63
2012/11/09,4,29,65
2012/11/10,3,29,66
2012/11/11,2,30,66
2012/11/12,2,29,68
2012/11/13,2,28,68
2012/11/14,2,28,69
2012/11/15,2,29,70
2012/11/16,2,29,71
