date,ndswiki (100+),ndswiki (5+),ndswiki (all)
2012/08/19,3,9,47
2012/08/20,3,9,47
2012/08/21,3,9,44
2012/08/22,4,9,46
2012/08/23,4,9,44
2012/08/24,4,9,43
2012/08/25,4,9,44
2012/08/26,4,9,44
2012/08/27,4,9,45
2012/08/28,4,9,45
2012/08/29,4,9,43
2012/08/30,4,9,42
2012/08/31,3,10,42
2012/09/01,3,10,45
2012/09/02,3,10,46
2012/09/03,3,10,49
2012/09/04,3,10,48
2012/09/05,3,10,49
2012/09/06,3,10,47
2012/09/07,3,10,48
2012/09/08,3,10,48
2012/09/09,3,11,49
2012/09/10,3,11,49
2012/09/11,3,11,48
2012/09/12,3,11,45
2012/09/13,3,12,44
2012/09/14,3,12,44
2012/09/15,3,12,45
2012/09/16,3,12,47
2012/09/17,3,11,45
2012/09/18,3,11,45
2012/09/19,3,12,47
2012/09/20,3,12,49
2012/09/21,3,11,45
2012/09/22,3,12,45
2012/09/23,3,13,45
2012/09/24,3,13,44
2012/09/25,3,13,46
2012/09/26,3,13,46
2012/09/27,3,13,46
2012/09/28,3,13,46
2012/09/29,3,13,46
2012/09/30,3,12,46
2012/10/01,3,12,46
2012/10/02,3,12,46
2012/10/03,3,13,46
2012/10/04,3,13,49
2012/10/05,3,13,46
2012/10/06,3,13,47
2012/10/07,2,14,47
2012/10/08,2,14,50
2012/10/09,2,13,49
2012/10/10,2,13,51
2012/10/11,2,13,52
2012/10/12,2,13,52
2012/10/13,2,12,53
2012/10/14,2,12,54
2012/10/15,2,12,55
2012/10/16,2,12,54
2012/10/17,2,12,57
2012/10/18,3,12,58
2012/10/19,3,11,56
2012/10/20,3,11,53
2012/10/21,3,11,52
2012/10/22,3,13,55
2012/10/23,3,13,56
2012/10/24,3,13,58
2012/10/25,3,14,57
2012/10/26,3,14,61
2012/10/27,3,15,63
2012/10/28,3,15,65
2012/10/29,3,15,66
2012/10/30,3,15,65
2012/10/31,3,14,65
2012/11/01,3,14,65
2012/11/02,3,13,64
2012/11/03,3,11,67
2012/11/04,3,11,68
2012/11/05,3,11,68
2012/11/06,3,12,68
2012/11/07,3,12,66
2012/11/08,3,12,65
2012/11/09,3,12,63
2012/11/10,3,11,61
2012/11/11,3,11,60
2012/11/12,3,11,63
2012/11/13,3,11,63
2012/11/14,3,10,62
2012/11/15,3,10,61
2012/11/16,3,10,56
2012/11/17,2,10,57
2012/11/18,2,10,60
2012/11/19,2,10,62
2012/11/20,2,10,63
2012/11/21,2,9,62
2012/11/22,2,9,66
2012/11/23,2,9,66
2012/11/24,2,8,66
2012/11/25,2,8,60
2012/11/26,2,8,60
2012/11/27,2,8,61
2012/11/28,2,8,62
2012/11/29,2,6,63
2012/11/30,2,6,60
2012/12/01,2,6,60
2012/12/02,2,7,61
2012/12/03,2,7,60
2012/12/04,2,7,56
2012/12/05,2,10,59
2012/12/06,2,10,57
2012/12/07,2,10,58
2012/12/08,2,11,59
2012/12/09,2,11,58
2012/12/10,2,10,63
2012/12/11,3,11,63
2012/12/12,3,11,59
2012/12/13,3,11,61
2012/12/14,3,11,59
2012/12/15,3,11,62
2012/12/16,3,11,64
2012/12/17,3,11,65
2012/12/18,3,10,65
2012/12/19,3,10,62
2012/12/20,3,10,62
2012/12/21,3,10,62
2012/12/22,3,10,57
2012/12/23,3,12,57
2012/12/24,3,12,58
2012/12/25,3,12,58
2012/12/26,3,12,59
2012/12/27,3,11,60
2012/12/28,3,11,59
2012/12/29,3,12,58
2012/12/30,3,13,58
2012/12/31,3,12,61
2013/01/01,3,12,59
2013/01/02,3,12,58
2013/01/03,3,12,58
2013/01/04,3,9,57
2013/01/05,3,9,58
2013/01/06,3,9,60
2013/01/07,3,8,62
2013/01/08,3,8,61
2013/01/09,3,9,59
2013/01/10,3,9,58
2013/01/11,3,9,61
2013/01/12,3,9,59
2013/01/13,2,9,59
2013/01/14,2,9,57
2013/01/15,2,9,57
2013/01/16,2,9,57
2013/01/17,3,9,55
2013/01/18,3,10,56
2013/01/19,3,10,56
2013/01/20,3,9,54
2013/01/21,3,10,55
2013/01/22,3,10,53
2013/01/23,3,10,51
2013/01/24,3,10,52
2013/01/25,3,12,56
2013/01/26,3,12,56
2013/01/27,3,12,57
2013/01/28,3,12,57
2013/01/29,3,11,57
2013/01/30,3,11,54
2013/01/31,3,11,57
2013/02/01,3,11,57
2013/02/02,3,11,57
2013/02/03,3,12,59
2013/02/04,3,12,58
2013/02/05,3,12,57
2013/02/06,3,12,57
2013/02/07,3,11,59
2013/02/08,3,11,59
2013/02/09,3,11,59
2013/02/10,3,11,57
2013/02/11,3,11,56
2013/02/12,3,11,55
2013/02/13,4,11,55
2013/02/14,4,11,54
2013/02/15,4,12,53
2013/02/16,4,12,57
2013/02/17,4,11,55
2013/02/18,3,12,54
2013/02/19,3,11,57
2013/02/20,3,12,55
2013/02/21,3,12,55
2013/02/22,3,12,55
2013/02/23,3,11,56
2013/02/24,4,10,53
2013/02/25,4,10,52
2013/02/26,4,10,54
2013/02/27,4,10,54
2013/02/28,5,10,54
2013/03/01,5,10,56
2013/03/02,5,10,52
2013/03/03,5,9,55
2013/03/04,5,9,55
2013/03/05,5,9,52
2013/03/06,5,9,53
2013/03/07,5,9,52
2013/03/08,5,9,50
2013/03/09,5,9,50
2013/03/10,5,9,49
2013/03/11,5,9,49
2013/03/12,5,10,49
2013/03/13,5,10,52
2013/03/14,5,10,53
2013/03/15,5,10,54
2013/03/16,5,10,54
2013/03/17,5,10,55
2013/03/18,5,10,55
2013/03/19,5,10,54
2013/03/20,5,10,54
2013/03/21,5,9,52
2013/03/22,4,8,51
2013/03/23,4,10,54
2013/03/24,4,10,54
2013/03/25,4,10,55
2013/03/26,4,10,54
2013/03/27,4,10,52
2013/03/28,4,10,52
2013/03/29,4,10,54
2013/03/30,4,10,54
2013/03/31,4,10,52
2013/04/01,4,9,52
2013/04/02,4,9,50
2013/04/03,4,9,51
2013/04/04,4,9,51
2013/04/05,4,9,50
2013/04/06,4,9,51
2013/04/07,4,9,50
2013/04/08,4,9,50
2013/04/09,4,8,50
2013/04/10,4,8,49
2013/04/11,4,7,52
2013/04/12,4,7,51
2013/04/13,4,7,53
2013/04/14,4,7,49
2013/04/15,4,8,51
2013/04/16,4,8,50
2013/04/17,4,8,48
2013/04/18,3,8,48
2013/04/19,3,8,48
2013/04/20,3,8,47
2013/04/21,3,8,46
2013/04/22,3,6,43
2013/04/23,3,6,43
2013/04/24,3,6,41
2013/04/25,3,6,41
2013/04/26,3,6,43
2013/04/27,3,6,44
2013/04/28,3,6,42
2013/04/29,3,6,41
2013/04/30,3,6,43
2013/05/01,3,6,46
2013/05/02,3,6,46
2013/05/03,3,6,45
2013/05/04,3,6,44
2013/05/05,3,6,44
2013/05/06,3,6,44
2013/05/07,3,6,45
2013/05/08,3,6,44
2013/05/09,3,7,41
2013/05/10,3,7,40
2013/05/11,3,8,42
2013/05/12,3,7,42
2013/05/13,3,7,40
2013/05/14,3,7,39
2013/05/15,3,7,38
2013/05/16,3,7,37
2013/05/17,3,7,36
2013/05/18,3,7,36
2013/05/19,3,7,35
2013/05/20,3,7,35
2013/05/21,3,7,35
2013/05/22,3,7,37
2013/05/23,3,6,38
2013/05/24,3,6,39
2013/05/25,3,6,38
2013/05/26,3,6,37
2013/05/27,3,6,34
2013/05/28,3,6,34
2013/05/29,3,6,35
2013/05/30,3,6,32
2013/05/31,3,6,30
2013/06/01,3,5,29
2013/06/02,3,5,29
2013/06/03,3,5,29
2013/06/04,3,5,33
2013/06/05,3,5,31
2013/06/06,3,5,32
2013/06/07,3,4,30
2013/06/08,3,4,29
2013/06/09,3,4,30
2013/06/10,3,4,26
2013/06/11,3,5,27
