date,nlwiki (100+),nlwiki (5+),nlwiki (all)
2012/08/19,250,1435,4210
2012/08/20,250,1434,4208
2012/08/21,251,1458,4250
2012/08/22,248,1462,4286
2012/08/23,249,1449,4303
2012/08/24,244,1423,4224
2012/08/25,250,1436,4309
2012/08/26,252,1439,4316
2012/08/27,250,1444,4318
2012/08/28,253,1450,4324
2012/08/29,252,1469,4350
2012/08/30,250,1470,4348
2012/08/31,254,1486,4355
2012/09/01,255,1478,4345
2012/09/02,252,1473,4332
2012/09/03,254,1468,4308
2012/09/04,250,1481,4348
2012/09/05,248,1470,4368
2012/09/06,251,1469,4399
2012/09/07,247,1455,4373
2012/09/08,248,1461,4365
2012/09/09,246,1448,4333
2012/09/10,249,1447,4317
2012/09/11,250,1446,4344
2012/09/12,249,1439,4344
2012/09/13,249,1443,4328
2012/09/14,248,1442,4306
2012/09/15,246,1435,4284
2012/09/16,247,1425,4242
2012/09/17,248,1415,4244
2012/09/18,253,1431,4273
2012/09/19,256,1437,4282
2012/09/20,255,1422,4266
2012/09/21,259,1403,4242
2012/09/22,254,1400,4244
2012/09/23,256,1397,4223
2012/09/24,255,1402,4242
2012/09/25,254,1391,4249
2012/09/26,249,1390,4243
2012/09/27,247,1387,4247
2012/09/28,248,1395,4268
2012/09/29,250,1394,4265
2012/09/30,252,1399,4240
2012/10/01,257,1396,4241
2012/10/02,253,1392,4251
2012/10/03,247,1403,4273
2012/10/04,247,1406,4275
2012/10/05,247,1391,4270
2012/10/06,247,1382,4234
2012/10/07,248,1393,4229
2012/10/08,250,1391,4213
2012/10/09,257,1399,4253
2012/10/10,253,1396,4280
2012/10/11,256,1391,4317
2012/10/12,250,1389,4323
2012/10/13,245,1384,4310
2012/10/14,245,1380,4304
2012/10/15,247,1386,4350
2012/10/16,238,1400,4395
2012/10/17,238,1392,4421
2012/10/18,236,1397,4419
2012/10/19,236,1399,4421
2012/10/20,232,1407,4418
2012/10/21,240,1412,4422
2012/10/22,237,1418,4437
2012/10/23,236,1444,4462
2012/10/24,230,1433,4467
2012/10/25,230,1447,4466
2012/10/26,232,1454,4457
2012/10/27,231,1445,4460
2012/10/28,236,1431,4431
2012/10/29,242,1426,4430
2012/10/30,245,1423,4448
2012/10/31,243,1435,4461
2012/11/01,244,1438,4474
2012/11/02,243,1434,4464
2012/11/03,240,1435,4436
2012/11/04,245,1429,4409
2012/11/05,246,1446,4432
2012/11/06,245,1442,4468
2012/11/07,244,1442,4468
2012/11/08,248,1437,4476
2012/11/09,246,1443,4500
2012/11/10,250,1441,4469
2012/11/11,253,1450,4488
2012/11/12,256,1458,4515
2012/11/13,255,1481,4536
2012/11/14,256,1479,4504
2012/11/15,254,1462,4479
2012/11/16,255,1461,4478
2012/11/17,253,1452,4457
2012/11/18,251,1441,4434
2012/11/19,249,1443,4462
2012/11/20,249,1452,4473
2012/11/21,247,1450,4503
2012/11/22,241,1434,4513
2012/11/23,241,1432,4500
2012/11/24,238,1445,4488
2012/11/25,241,1442,4478
2012/11/26,244,1455,4460
2012/11/27,248,1450,4510
2012/11/28,241,1480,4553
2012/11/29,241,1485,4559
2012/11/30,242,1481,4528
2012/12/01,243,1485,4512
2012/12/02,241,1489,4516
2012/12/03,244,1491,4534
2012/12/04,244,1486,4554
2012/12/05,243,1477,4531
2012/12/06,241,1478,4516
2012/12/07,242,1482,4538
2012/12/08,237,1477,4530
2012/12/09,238,1463,4511
2012/12/10,245,1473,4553
2012/12/11,253,1481,4560
2012/12/12,255,1465,4557
2012/12/13,255,1463,4547
2012/12/14,255,1457,4566
2012/12/15,252,1455,4587
2012/12/16,250,1459,4554
2012/12/17,246,1474,4605
2012/12/18,247,1479,4623
2012/12/19,250,1471,4581
2012/12/20,253,1470,4566
2012/12/21,252,1465,4538
2012/12/22,251,1465,4505
2012/12/23,252,1465,4479
2012/12/24,258,1470,4506
2012/12/25,255,1481,4487
2012/12/26,254,1480,4468
2012/12/27,256,1486,4451
2012/12/28,257,1489,4438
2012/12/29,261,1489,4438
2012/12/30,262,1491,4445
2012/12/31,266,1493,4443
2013/01/01,265,1488,4429
2013/01/02,264,1485,4397
2013/01/03,267,1498,4428
2013/01/04,267,1502,4459
2013/01/05,268,1514,4486
2013/01/06,273,1506,4493
2013/01/07,269,1522,4516
2013/01/08,267,1552,4556
2013/01/09,262,1560,4565
2013/01/10,266,1552,4561
2013/01/11,266,1560,4577
2013/01/12,265,1549,4591
2013/01/13,265,1557,4576
2013/01/14,264,1546,4598
2013/01/15,268,1567,4647
2013/01/16,268,1558,4639
2013/01/17,261,1564,4650
2013/01/18,263,1573,4674
2013/01/19,265,1580,4665
2013/01/20,267,1588,4682
2013/01/21,275,1602,4720
2013/01/22,275,1615,4762
2013/01/23,277,1628,4733
2013/01/24,283,1628,4773
2013/01/25,281,1641,4793
2013/01/26,286,1641,4812
2013/01/27,285,1628,4826
2013/01/28,284,1630,4848
2013/01/29,281,1634,4889
2013/01/30,276,1634,4913
2013/01/31,272,1645,4931
2013/02/01,272,1657,4946
2013/02/02,277,1648,4925
2013/02/03,272,1641,4878
2013/02/04,272,1647,4858
2013/02/05,269,1639,4868
2013/02/06,268,1629,4871
2013/02/07,266,1625,4865
2013/02/08,271,1619,4847
2013/02/09,263,1603,4827
2013/02/10,267,1600,4783
2013/02/11,268,1595,4769
2013/02/12,261,1588,4800
2013/02/13,257,1595,4806
2013/02/14,257,1576,4802
2013/02/15,260,1567,4790
2013/02/16,251,1556,4798
2013/02/17,255,1549,4785
2013/02/18,253,1552,4781
2013/02/19,258,1557,4787
2013/02/20,253,1559,4780
2013/02/21,248,1556,4794
2013/02/22,250,1553,4803
2013/02/23,249,1533,4806
2013/02/24,257,1528,4795
2013/02/25,253,1522,4778
2013/02/26,251,1528,4771
2013/02/27,248,1545,4744
2013/02/28,253,1549,4716
2013/03/01,251,1551,4711
2013/03/02,249,1543,4667
2013/03/03,254,1532,4656
2013/03/04,258,1538,4648
2013/03/05,255,1527,4675
2013/03/06,258,1528,4656
2013/03/07,258,1532,4652
2013/03/08,257,1530,4630
2013/03/09,258,1525,4626
2013/03/10,259,1525,4626
2013/03/11,264,1525,4623
2013/03/12,264,1529,4630
2013/03/13,265,1537,4619
2013/03/14,261,1541,4601
2013/03/15,263,1542,4612
2013/03/16,264,1537,4573
2013/03/17,265,1539,4568
2013/03/18,266,1545,4576
2013/03/19,269,1541,4580
2013/03/20,265,1541,4571
2013/03/21,262,1525,4552
2013/03/22,257,1518,4520
2013/03/23,259,1517,4518
2013/03/24,262,1507,4517
2013/03/25,265,1517,4521
2013/03/26,258,1515,4521
2013/03/27,256,1520,4524
2013/03/28,255,1522,4519
2013/03/29,251,1519,4519
2013/03/30,253,1525,4518
2013/03/31,255,1520,4492
