date,lijwiki (100+),lijwiki (5+),lijwiki (all)
2012/08/19,4,21,35
2012/08/20,4,20,36
2012/08/21,4,20,38
2012/08/22,4,19,38
2012/08/23,4,19,39
2012/08/24,4,18,39
2012/08/25,4,17,40
2012/08/26,4,18,38
2012/08/27,4,18,40
2012/08/28,4,18,41
2012/08/29,4,19,42
2012/08/30,4,19,42
2012/08/31,4,19,42
2012/09/01,4,21,43
2012/09/02,4,22,44
2012/09/03,4,22,45
2012/09/04,4,23,45
2012/09/05,4,23,45
2012/09/06,4,24,45
2012/09/07,4,24,44
2012/09/08,4,24,43
2012/09/09,4,24,45
2012/09/10,4,24,44
2012/09/11,4,24,44
2012/09/12,4,23,44
2012/09/13,4,23,43
2012/09/14,4,25,44
2012/09/15,4,26,46
2012/09/16,4,26,46
2012/09/17,4,26,47
2012/09/18,4,26,49
2012/09/19,4,25,50
2012/09/20,4,24,49
2012/09/21,4,23,50
2012/09/22,4,23,51
2012/09/23,4,24,50
2012/09/24,5,23,48
2012/09/25,5,23,48
2012/09/26,5,22,47
2012/09/27,5,23,45
2012/09/28,5,22,44
2012/09/29,5,22,42
2012/09/30,5,22,42
2012/10/01,5,20,40
2012/10/02,5,20,40
2012/10/03,5,20,39
2012/10/04,5,20,42
2012/10/05,5,19,42
2012/10/06,5,19,41
2012/10/07,5,19,40
2012/10/08,5,19,41
2012/10/09,6,18,39
2012/10/10,6,19,37
2012/10/11,6,19,37
2012/10/12,5,19,36
2012/10/13,6,19,36
2012/10/14,6,18,35
2012/10/15,6,18,33
2012/10/16,6,19,33
2012/10/17,5,19,33
2012/10/18,5,19,32
2012/10/19,5,19,31
2012/10/20,5,19,32
2012/10/21,5,19,30
2012/10/22,5,18,29
2012/10/23,5,19,29
2012/10/24,4,19,29
2012/10/25,4,19,30
2012/10/26,4,19,33
2012/10/27,4,19,37
2012/10/28,4,19,37
2012/10/29,5,20,40
2012/10/30,5,20,40
2012/10/31,5,21,41
2012/11/01,5,21,41
2012/11/02,5,21,43
2012/11/03,5,20,40
2012/11/04,5,20,41
2012/11/05,5,21,42
2012/11/06,5,21,43
2012/11/07,5,20,43
2012/11/08,5,19,43
2012/11/09,4,20,43
2012/11/10,4,20,45
2012/11/11,4,20,46
2012/11/12,4,21,46
2012/11/13,4,22,45
2012/11/14,4,22,46
2012/11/15,4,21,47
2012/11/16,4,21,46
2012/11/17,4,21,46
2012/11/18,4,21,46
2012/11/19,5,21,46
2012/11/20,5,21,47
2012/11/21,5,22,47
2012/11/22,5,22,47
2012/11/23,6,22,47
2012/11/24,6,23,47
2012/11/25,6,22,45
2012/11/26,6,21,46
2012/11/27,6,21,47
2012/11/28,6,23,45
2012/11/29,6,23,46
2012/11/30,5,23,45
2012/12/01,5,23,48
2012/12/02,5,22,48
2012/12/03,5,22,48
2012/12/04,5,22,48
2012/12/05,5,22,47
2012/12/06,6,22,46
2012/12/07,6,22,46
2012/12/08,6,22,48
2012/12/09,6,22,48
2012/12/10,6,22,47
2012/12/11,6,23,46
2012/12/12,6,23,46
2012/12/13,6,22,46
2012/12/14,6,24,46
2012/12/15,5,24,47
2012/12/16,5,26,49
2012/12/17,5,26,49
2012/12/18,5,26,47
2012/12/19,5,26,47
2012/12/20,5,26,48
2012/12/21,5,26,48
2012/12/22,5,26,48
2012/12/23,5,26,49
2012/12/24,5,26,48
2012/12/25,7,26,50
2012/12/26,6,26,50
2012/12/27,6,26,50
2012/12/28,6,25,50
2012/12/29,7,26,50
2012/12/30,8,26,50
2012/12/31,8,26,50
2013/01/01,8,26,50
2013/01/02,7,26,47
2013/01/03,7,25,44
2013/01/04,7,24,45
2013/01/05,6,23,45
2013/01/06,7,23,44
2013/01/07,6,24,43
2013/01/08,6,25,43
2013/01/09,6,25,41
2013/01/10,6,24,40
2013/01/11,6,25,39
2013/01/12,6,24,41
2013/01/13,6,24,42
2013/01/14,7,24,42
2013/01/15,7,24,42
2013/01/16,7,25,43
2013/01/17,7,24,43
2013/01/18,7,26,43
2013/01/19,7,27,43
2013/01/20,7,27,44
2013/01/21,7,27,43
2013/01/22,6,27,43
2013/01/23,6,27,44
2013/01/24,5,27,44
2013/01/25,5,26,44
2013/01/26,5,26,44
2013/01/27,5,26,43
2013/01/28,7,26,44
2013/01/29,7,26,45
2013/01/30,6,26,45
2013/01/31,6,26,45
2013/02/01,6,26,45
2013/02/02,6,27,46
2013/02/03,6,27,46
2013/02/04,6,26,47
2013/02/05,6,25,47
2013/02/06,7,25,46
2013/02/07,7,24,46
2013/02/08,7,24,47
2013/02/09,7,25,47
2013/02/10,7,26,46
2013/02/11,7,26,46
2013/02/12,7,26,44
2013/02/13,6,26,45
2013/02/14,6,26,43
2013/02/15,6,26,44
2013/02/16,6,26,48
2013/02/17,6,26,48
2013/02/18,6,24,47
2013/02/19,6,25,47
2013/02/20,6,25,48
2013/02/21,6,25,46
2013/02/22,6,25,46
2013/02/23,6,26,47
2013/02/24,6,25,47
2013/02/25,6,25,45
2013/02/26,6,25,42
2013/02/27,5,25,42
2013/02/28,5,24,42
2013/03/01,5,24,42
2013/03/02,5,24,42
2013/03/03,5,24,42
