date,bawiki (100+),bawiki (5+),bawiki (all)
2012/08/19,1,16,40
2012/08/20,1,16,40
2012/08/21,1,16,40
2012/08/22,1,16,41
2012/08/23,1,15,40
2012/08/24,1,16,41
2012/08/25,1,15,41
2012/08/26,1,14,40
2012/08/27,2,14,44
2012/08/28,2,14,45
2012/08/29,2,14,46
2012/08/30,1,15,48
2012/08/31,1,15,49
2012/09/01,1,14,51
2012/09/02,1,14,51
2012/09/03,2,13,50
2012/09/04,2,13,50
2012/09/05,2,13,50
2012/09/06,2,13,51
2012/09/07,2,13,50
2012/09/08,2,13,49
2012/09/09,2,14,52
2012/09/10,2,15,51
2012/09/11,2,15,51
2012/09/12,2,14,51
2012/09/13,2,14,53
2012/09/14,2,14,52
2012/09/15,2,14,51
2012/09/16,2,14,50
2012/09/17,2,14,50
2012/09/18,2,14,50
2012/09/19,3,15,51
2012/09/20,3,15,50
2012/09/21,3,14,49
2012/09/22,3,14,49
2012/09/23,3,15,46
2012/09/24,3,15,46
2012/09/25,3,16,46
2012/09/26,4,16,41
2012/09/27,4,16,41
2012/09/28,4,16,40
2012/09/29,4,16,40
2012/09/30,4,16,39
2012/10/01,4,16,38
2012/10/02,4,15,39
2012/10/03,3,15,39
2012/10/04,4,15,38
2012/10/05,4,15,38
2012/10/06,4,16,37
2012/10/07,4,18,40
2012/10/08,4,19,40
2012/10/09,4,18,37
2012/10/10,4,18,37
2012/10/11,4,18,37
2012/10/12,4,18,37
2012/10/13,4,18,35
2012/10/14,4,18,35
2012/10/15,4,18,37
2012/10/16,5,20,37
2012/10/17,6,20,38
2012/10/18,6,20,36
2012/10/19,6,20,36
2012/10/20,5,19,39
2012/10/21,5,19,40
2012/10/22,6,21,39
2012/10/23,6,21,38
2012/10/24,6,21,39
2012/10/25,6,21,38
2012/10/26,6,21,40
2012/10/27,6,21,39
2012/10/28,5,21,41
2012/10/29,5,22,42
2012/10/30,5,23,44
2012/10/31,6,23,43
2012/11/01,6,23,43
2012/11/02,6,23,46
2012/11/03,6,23,47
2012/11/04,6,22,51
2012/11/05,6,22,52
2012/11/06,6,22,51
2012/11/07,6,23,51
2012/11/08,6,23,52
2012/11/09,6,23,52
2012/11/10,6,22,54
2012/11/11,6,23,55
2012/11/12,6,24,55
2012/11/13,6,24,57
2012/11/14,5,24,56
2012/11/15,5,24,56
2012/11/16,4,24,55
2012/11/17,4,24,57
2012/11/18,4,24,57
2012/11/19,4,23,56
2012/11/20,4,23,57
2012/11/21,4,22,57
2012/11/22,4,22,59
2012/11/23,4,24,59
2012/11/24,4,23,60
2012/11/25,4,23,60
2012/11/26,4,22,60
2012/11/27,4,24,61
2012/11/28,3,24,62
2012/11/29,3,24,61
2012/11/30,3,24,61
2012/12/01,3,24,61
2012/12/02,3,24,57
2012/12/03,3,24,56
2012/12/04,3,24,52
2012/12/05,3,24,54
2012/12/06,4,25,54
2012/12/07,4,26,52
2012/12/08,4,26,54
2012/12/09,4,27,54
2012/12/10,4,28,53
2012/12/11,6,28,52
2012/12/12,6,28,52
2012/12/13,7,28,50
2012/12/14,7,29,48
2012/12/15,7,28,49
2012/12/16,7,30,54
2012/12/17,8,31,54
2012/12/18,8,30,53
2012/12/19,8,29,54
2012/12/20,8,29,56
2012/12/21,8,31,56
2012/12/22,9,31,55
2012/12/23,9,30,56
2012/12/24,9,30,56
2012/12/25,8,30,55
2012/12/26,8,32,58
2012/12/27,8,32,59
2012/12/28,8,32,59
2012/12/29,9,31,60
2012/12/30,9,31,59
2012/12/31,9,32,61
2013/01/01,10,33,62
2013/01/02,10,34,62
2013/01/03,11,34,63
2013/01/04,11,34,61
2013/01/05,11,33,62
2013/01/06,11,31,62
2013/01/07,11,31,62
2013/01/08,11,31,62
2013/01/09,12,31,61
2013/01/10,12,30,62
2013/01/11,12,30,62
2013/01/12,12,30,62
2013/01/13,12,29,62
2013/01/14,11,29,62
2013/01/15,11,29,58
2013/01/16,11,29,59
2013/01/17,11,29,58
2013/01/18,11,30,57
2013/01/19,11,29,55
2013/01/20,11,28,55
2013/01/21,11,28,56
2013/01/22,10,27,55
2013/01/23,10,29,57
2013/01/24,10,29,57
2013/01/25,9,29,55
2013/01/26,9,28,55
2013/01/27,9,27,55
2013/01/28,9,27,54
2013/01/29,9,28,55
2013/01/30,8,26,54
2013/01/31,8,27,55
2013/02/01,8,27,56
2013/02/02,7,27,58
2013/02/03,7,27,58
2013/02/04,8,27,57
2013/02/05,8,27,56
2013/02/06,8,28,57
2013/02/07,8,27,57
2013/02/08,8,27,59
2013/02/09,8,26,59
2013/02/10,8,29,59
2013/02/11,8,28,61
2013/02/12,8,29,61
2013/02/13,8,29,61
2013/02/14,8,30,62
2013/02/15,8,30,61
2013/02/16,8,31,63
2013/02/17,8,31,65
2013/02/18,8,31,67
2013/02/19,8,31,64
2013/02/20,8,31,65
2013/02/21,8,30,64
2013/02/22,8,28,63
2013/02/23,8,27,63
2013/02/24,8,27,64
2013/02/25,8,27,62
2013/02/26,8,29,64
2013/02/27,8,29,63
2013/02/28,8,27,62
2013/03/01,8,25,60
2013/03/02,8,24,62
2013/03/03,8,24,59
2013/03/04,8,25,61
2013/03/05,8,25,60
2013/03/06,8,27,63
2013/03/07,8,28,62
2013/03/08,9,28,61
2013/03/09,10,29,66
2013/03/10,11,29,65
2013/03/11,11,28,65
2013/03/12,10,25,64
2013/03/13,11,27,63
