date,bswiki (100+),bswiki (5+),bswiki (all)
2012/08/19,6,34,174
2012/08/20,6,34,169
2012/08/21,6,34,172
2012/08/22,5,34,173
2012/08/23,5,32,171
2012/08/24,5,30,167
2012/08/25,5,28,170
2012/08/26,5,28,174
2012/08/27,5,31,173
2012/08/28,5,34,172
2012/08/29,5,35,169
2012/08/30,5,35,171
2012/08/31,5,36,173
2012/09/01,5,33,173
2012/09/02,5,36,172
2012/09/03,4,37,171
2012/09/04,5,37,173
2012/09/05,5,36,176
2012/09/06,5,37,176
2012/09/07,5,38,174
2012/09/08,5,38,172
2012/09/09,5,37,172
2012/09/10,5,38,176
2012/09/11,5,39,178
2012/09/12,5,36,174
2012/09/13,5,36,172
2012/09/14,6,38,170
2012/09/15,6,38,162
2012/09/16,6,38,163
2012/09/17,6,37,162
2012/09/18,6,38,162
2012/09/19,6,39,162
2012/09/20,6,39,162
2012/09/21,6,41,165
2012/09/22,5,40,169
2012/09/23,5,39,167
2012/09/24,5,38,166
2012/09/25,6,39,167
2012/09/26,6,37,163
2012/09/27,6,36,162
2012/09/28,6,36,158
2012/09/29,7,34,154
2012/09/30,7,33,156
2012/10/01,7,36,156
2012/10/02,7,35,155
2012/10/03,7,35,152
2012/10/04,6,36,147
2012/10/05,6,36,143
2012/10/06,6,33,136
2012/10/07,6,33,136
2012/10/08,6,33,136
2012/10/09,6,31,136
2012/10/10,6,31,137
2012/10/11,5,33,136
2012/10/12,4,33,137
2012/10/13,4,34,136
2012/10/14,4,33,139
2012/10/15,4,30,141
2012/10/16,5,29,143
2012/10/17,5,31,144
2012/10/18,5,30,140
2012/10/19,5,29,140
2012/10/20,5,28,138
2012/10/21,5,27,136
2012/10/22,5,27,133
2012/10/23,5,28,137
2012/10/24,5,28,139
2012/10/25,5,30,140
2012/10/26,5,31,142
2012/10/27,5,31,146
2012/10/28,5,33,150
2012/10/29,5,34,148
2012/10/30,5,35,150
2012/10/31,5,32,153
2012/11/01,5,33,154
2012/11/02,5,34,159
2012/11/03,5,35,165
2012/11/04,5,37,169
2012/11/05,5,37,174
2012/11/06,5,37,174
2012/11/07,5,35,178
2012/11/08,5,36,173
2012/11/09,5,36,171
2012/11/10,5,35,169
2012/11/11,5,33,167
2012/11/12,5,34,162
2012/11/13,5,34,162
2012/11/14,4,35,160
2012/11/15,3,34,160
2012/11/16,3,34,161
2012/11/17,3,34,166
2012/11/18,3,33,169
2012/11/19,3,34,167
2012/11/20,4,35,163
2012/11/21,5,36,166
2012/11/22,4,35,166
2012/11/23,5,33,171
2012/11/24,5,32,170
2012/11/25,5,30,167
2012/11/26,5,30,170
2012/11/27,5,29,170
