date,arzwiki (100+),arzwiki (5+),arzwiki (all)
2012/08/19,8,39,106
2012/08/20,8,39,105
2012/08/21,8,36,106
2012/08/22,9,37,104
2012/08/23,9,35,102
2012/08/24,9,38,101
2012/08/25,9,34,105
2012/08/26,9,33,103
2012/08/27,9,36,103
2012/08/28,9,35,107
2012/08/29,9,37,110
2012/08/30,10,34,113
2012/08/31,10,37,110
2012/09/01,10,39,107
2012/09/02,9,38,108
2012/09/03,9,38,105
2012/09/04,9,37,105
2012/09/05,9,36,108
2012/09/06,9,35,103
2012/09/07,9,35,101
2012/09/08,9,35,102
2012/09/09,9,36,101
2012/09/10,9,37,102
2012/09/11,8,37,103
2012/09/12,8,37,101
2012/09/13,8,39,105
2012/09/14,7,40,103
2012/09/15,8,41,103
2012/09/16,8,42,103
2012/09/17,10,41,101
2012/09/18,10,42,99
2012/09/19,10,41,98
2012/09/20,10,41,101
2012/09/21,10,40,102
2012/09/22,10,40,101
2012/09/23,9,39,99
2012/09/24,9,38,98
2012/09/25,9,39,97
2012/09/26,10,37,99
2012/09/27,10,38,94
2012/09/28,10,37,96
2012/09/29,10,35,93
2012/09/30,10,35,93
2012/10/01,10,35,96
2012/10/02,10,36,96
2012/10/03,10,34,96
2012/10/04,10,34,92
2012/10/05,10,35,92
2012/10/06,11,35,94
2012/10/07,11,35,94
2012/10/08,11,37,96
2012/10/09,11,37,95
2012/10/10,11,37,96
2012/10/11,11,38,98
2012/10/12,11,39,97
2012/10/13,10,38,95
2012/10/14,10,38,96
2012/10/15,10,37,95
2012/10/16,10,36,95
2012/10/17,10,36,96
2012/10/18,10,36,97
2012/10/19,10,34,99
2012/10/20,9,33,99
2012/10/21,8,34,100
2012/10/22,8,35,102
2012/10/23,8,34,105
2012/10/24,8,34,105
2012/10/25,8,35,107
2012/10/26,8,36,107
2012/10/27,7,37,107
2012/10/28,7,38,105
2012/10/29,7,37,109
2012/10/30,7,37,106
2012/10/31,7,36,104
2012/11/01,7,36,104
2012/11/02,7,37,103
2012/11/03,7,38,102
2012/11/04,7,38,104
2012/11/05,7,38,104
2012/11/06,7,38,103
2012/11/07,7,39,104
2012/11/08,7,38,105
2012/11/09,7,37,103
2012/11/10,7,37,100
2012/11/11,7,36,98
2012/11/12,7,36,98
2012/11/13,7,36,96
2012/11/14,7,35,98
2012/11/15,8,35,103
2012/11/16,8,36,102
2012/11/17,8,35,98
2012/11/18,8,35,97
2012/11/19,9,37,95
2012/11/20,9,38,95
2012/11/21,9,39,97
2012/11/22,9,39,97
2012/11/23,9,38,99
2012/11/24,9,37,99
2012/11/25,9,36,96
2012/11/26,9,36,96
2012/11/27,9,36,98
2012/11/28,9,37,99
2012/11/29,10,38,100
2012/11/30,10,39,103
2012/12/01,10,38,107
2012/12/02,10,37,107
2012/12/03,11,38,108
2012/12/04,11,38,106
2012/12/05,11,39,107
2012/12/06,11,39,114
2012/12/07,11,38,111
2012/12/08,11,40,109
2012/12/09,11,40,108
2012/12/10,11,40,109
2012/12/11,11,40,108
2012/12/12,11,42,108
2012/12/13,11,42,111
2012/12/14,11,42,108
2012/12/15,11,41,108
2012/12/16,11,41,108
2012/12/17,11,40,109
2012/12/18,11,40,109
2012/12/19,11,38,106
2012/12/20,11,39,108
2012/12/21,11,38,104
2012/12/22,11,39,106
2012/12/23,11,39,106
2012/12/24,11,39,107
2012/12/25,11,39,109
2012/12/26,11,40,112
2012/12/27,11,40,111
2012/12/28,12,38,109
2012/12/29,12,39,106
