date,ocwiki (100+),ocwiki (5+),ocwiki (all)
2012/08/19,11,39,122
2012/08/20,11,40,121
2012/08/21,11,39,122
2012/08/22,11,39,122
2012/08/23,11,40,128
2012/08/24,11,40,122
2012/08/25,11,39,122
2012/08/26,10,41,120
2012/08/27,10,41,119
2012/08/28,11,38,121
2012/08/29,11,40,126
2012/08/30,11,39,123
2012/08/31,11,38,117
2012/09/01,11,41,118
2012/09/02,11,41,120
2012/09/03,11,41,121
2012/09/04,11,41,123
2012/09/05,11,41,123
2012/09/06,11,39,123
2012/09/07,11,39,118
2012/09/08,11,39,121
2012/09/09,12,38,121
2012/09/10,12,40,119
2012/09/11,12,41,121
2012/09/12,12,41,119
2012/09/13,12,41,116
2012/09/14,11,41,113
2012/09/15,12,41,113
2012/09/16,13,41,110
2012/09/17,13,41,109
2012/09/18,13,41,110
2012/09/19,14,38,108
2012/09/20,15,39,106
2012/09/21,15,39,110
2012/09/22,15,38,111
2012/09/23,15,38,111
2012/09/24,15,39,111
2012/09/25,15,39,107
2012/09/26,15,39,110
2012/09/27,15,39,110
2012/09/28,15,39,114
2012/09/29,15,39,114
2012/09/30,16,39,116
2012/10/01,16,38,117
2012/10/02,16,38,115
2012/10/03,16,38,113
2012/10/04,16,38,110
2012/10/05,16,38,111
2012/10/06,16,38,115
2012/10/07,16,39,115
2012/10/08,16,39,116
2012/10/09,16,38,114
2012/10/10,17,37,116
2012/10/11,17,37,117
2012/10/12,17,38,118
2012/10/13,17,38,120
2012/10/14,17,38,122
2012/10/15,16,40,120
2012/10/16,15,39,119
2012/10/17,16,39,120
2012/10/18,16,39,119
2012/10/19,15,40,119
2012/10/20,16,44,122
2012/10/21,16,44,121
2012/10/22,16,44,118
2012/10/23,16,43,119
2012/10/24,16,43,117
2012/10/25,16,43,118
2012/10/26,16,43,121
2012/10/27,16,44,119
2012/10/28,17,46,116
2012/10/29,17,46,122
2012/10/30,17,46,125
2012/10/31,16,43,124
2012/11/01,15,44,126
2012/11/02,15,45,130
2012/11/03,15,45,129
2012/11/04,15,46,132
2012/11/05,16,46,127
2012/11/06,16,46,126
2012/11/07,18,46,125
2012/11/08,18,45,126
2012/11/09,17,44,129
2012/11/10,18,43,128
2012/11/11,18,44,128
2012/11/12,19,43,127
2012/11/13,17,43,127
2012/11/14,16,42,124
2012/11/15,14,43,126
2012/11/16,14,42,124
2012/11/17,14,43,123
2012/11/18,14,42,123
2012/11/19,13,41,118
2012/11/20,13,40,116
2012/11/21,12,39,120
2012/11/22,12,40,120
2012/11/23,12,39,121
2012/11/24,12,39,120
2012/11/25,12,40,118
2012/11/26,12,41,118
2012/11/27,12,43,116
2012/11/28,12,43,115
2012/11/29,12,43,111
2012/11/30,12,43,111
2012/12/01,13,43,107
2012/12/02,15,41,102
2012/12/03,16,41,98
2012/12/04,16,41,103
