date,quwiki (100+),quwiki (5+),quwiki (all)
2012/08/19,9,28,58
2012/08/20,9,28,60
2012/08/21,9,27,58
2012/08/22,9,26,58
2012/08/23,9,26,59
2012/08/24,9,26,60
2012/08/25,9,27,61
2012/08/26,9,28,62
2012/08/27,9,28,60
2012/08/28,9,28,62
2012/08/29,9,29,63
2012/08/30,9,30,64
2012/08/31,9,28,63
2012/09/01,9,30,65
2012/09/02,9,30,65
2012/09/03,9,29,66
2012/09/04,9,29,66
2012/09/05,9,29,66
2012/09/06,8,29,67
2012/09/07,8,28,66
2012/09/08,9,28,66
2012/09/09,8,28,68
2012/09/10,9,29,67
2012/09/11,9,28,67
2012/09/12,9,28,67
2012/09/13,9,28,71
2012/09/14,9,29,71
2012/09/15,8,29,71
2012/09/16,7,29,70
2012/09/17,8,29,69
2012/09/18,8,29,66
2012/09/19,8,29,65
2012/09/20,8,29,64
2012/09/21,8,28,63
2012/09/22,8,28,62
2012/09/23,8,29,61
2012/09/24,8,29,63
2012/09/25,7,29,62
2012/09/26,7,29,62
2012/09/27,6,29,63
2012/09/28,6,27,62
2012/09/29,6,26,59
2012/09/30,6,25,58
2012/10/01,6,25,57
2012/10/02,6,24,57
2012/10/03,6,24,56
2012/10/04,6,23,54
2012/10/05,6,24,53
2012/10/06,6,24,51
2012/10/07,7,24,51
2012/10/08,7,23,53
2012/10/09,7,21,50
2012/10/10,7,21,48
2012/10/11,7,21,48
2012/10/12,7,22,49
2012/10/13,7,23,47
2012/10/14,7,22,47
2012/10/15,7,23,46
2012/10/16,7,21,46
2012/10/17,7,21,49
2012/10/18,7,21,50
2012/10/19,7,21,49
2012/10/20,7,21,50
2012/10/21,7,22,51
2012/10/22,7,24,52
2012/10/23,7,25,53
2012/10/24,6,25,51
2012/10/25,6,25,51
2012/10/26,6,25,52
2012/10/27,6,26,55
2012/10/28,6,27,55
2012/10/29,6,27,57
2012/10/30,6,27,57
2012/10/31,6,27,57
2012/11/01,6,25,58
2012/11/02,6,24,59
2012/11/03,6,24,60
2012/11/04,6,24,61
2012/11/05,6,24,61
2012/11/06,6,25,61
2012/11/07,5,24,61
2012/11/08,5,25,62
2012/11/09,5,24,63
2012/11/10,5,24,63
2012/11/11,5,24,61
2012/11/12,6,24,62
2012/11/13,7,24,61
2012/11/14,7,24,60
2012/11/15,8,24,61
2012/11/16,8,24,58
2012/11/17,8,24,58
2012/11/18,8,25,59
2012/11/19,8,24,58
2012/11/20,8,23,58
2012/11/21,8,22,58
2012/11/22,9,22,58
2012/11/23,9,23,57
2012/11/24,9,25,57
2012/11/25,10,25,58
2012/11/26,10,25,59
2012/11/27,9,26,59
2012/11/28,8,26,57
2012/11/29,9,25,56
2012/11/30,9,26,56
2012/12/01,10,26,57
2012/12/02,9,26,58
2012/12/03,9,26,56
2012/12/04,9,27,57
2012/12/05,10,27,56
2012/12/06,10,27,54
2012/12/07,10,27,53
2012/12/08,11,28,57
2012/12/09,10,27,57
2012/12/10,11,27,55
2012/12/11,11,26,55
2012/12/12,12,26,55
2012/12/13,12,27,56
2012/12/14,12,27,57
2012/12/15,12,27,55
2012/12/16,12,29,58
2012/12/17,11,29,59
2012/12/18,11,29,60
2012/12/19,11,29,60
2012/12/20,11,29,59
2012/12/21,11,29,58
2012/12/22,11,29,60
2012/12/23,11,29,61
2012/12/24,11,28,63
2012/12/25,10,28,62
2012/12/26,10,28,62
2012/12/27,10,29,62
2012/12/28,10,29,63
2012/12/29,10,29,63
2012/12/30,10,28,64
2012/12/31,10,28,64
2013/01/01,10,28,65
2013/01/02,10,28,65
2013/01/03,9,27,64
2013/01/04,9,28,62
2013/01/05,9,28,62
2013/01/06,9,30,63
2013/01/07,9,29,60
2013/01/08,9,29,63
2013/01/09,9,30,67
2013/01/10,9,30,68
2013/01/11,10,31,68
2013/01/12,10,31,69
2013/01/13,10,31,68
2013/01/14,10,32,69
2013/01/15,10,32,68
2013/01/16,10,33,66
2013/01/17,10,34,65
2013/01/18,10,34,65
2013/01/19,11,34,66
2013/01/20,11,34,67
2013/01/21,11,34,66
2013/01/22,12,33,67
2013/01/23,12,33,64
2013/01/24,11,32,66
2013/01/25,12,32,65
2013/01/26,13,33,66
2013/01/27,13,33,66
2013/01/28,11,33,67
2013/01/29,11,33,66
2013/01/30,12,33,65
2013/01/31,12,32,65
