date,rwwiki (100+),rwwiki (5+),rwwiki (all)
2012/08/19,1,17,43
2012/08/20,3,17,43
2012/08/21,3,17,43
2012/08/22,3,16,42
2012/08/23,3,15,42
2012/08/24,3,15,40
2012/08/25,3,16,41
2012/08/26,3,15,40
2012/08/27,3,15,41
2012/08/28,3,15,42
2012/08/29,3,16,41
2012/08/30,3,16,41
2012/08/31,4,16,40
2012/09/01,3,16,40
2012/09/02,4,16,40
2012/09/03,4,15,41
2012/09/04,3,16,43
2012/09/05,3,16,43
2012/09/06,4,18,43
2012/09/07,4,18,42
2012/09/08,4,19,41
2012/09/09,4,19,42
2012/09/10,4,19,43
2012/09/11,4,19,44
2012/09/12,3,19,44
2012/09/13,3,19,44
2012/09/14,3,20,49
2012/09/15,3,20,50
2012/09/16,3,20,50
2012/09/17,3,20,50
2012/09/18,3,21,48
2012/09/19,3,20,47
2012/09/20,3,20,48
2012/09/21,3,18,47
2012/09/22,3,18,47
2012/09/23,3,18,48
2012/09/24,2,18,48
2012/09/25,2,19,48
2012/09/26,2,17,48
2012/09/27,2,18,47
2012/09/28,2,18,47
2012/09/29,2,17,47
2012/09/30,2,17,46
2012/10/01,2,15,45
2012/10/02,3,15,45
2012/10/03,2,15,43
2012/10/04,2,15,42
2012/10/05,2,16,41
2012/10/06,2,16,39
2012/10/07,2,16,39
2012/10/08,2,16,41
2012/10/09,2,16,37
2012/10/10,4,17,36
2012/10/11,3,17,37
2012/10/12,3,16,36
2012/10/13,3,16,35
2012/10/14,4,15,35
2012/10/15,4,15,34
2012/10/16,3,15,34
2012/10/17,3,15,33
2012/10/18,3,14,33
2012/10/19,4,15,35
2012/10/20,4,16,36
2012/10/21,4,17,37
2012/10/22,4,17,39
2012/10/23,4,16,40
2012/10/24,4,16,40
2012/10/25,4,16,40
2012/10/26,3,17,41
2012/10/27,4,16,41
2012/10/28,4,17,41
2012/10/29,4,17,42
2012/10/30,4,17,43
2012/10/31,4,17,43
2012/11/01,5,17,43
2012/11/02,5,18,43
2012/11/03,5,17,41
2012/11/04,4,18,41
2012/11/05,4,18,41
2012/11/06,3,18,41
2012/11/07,3,19,40
2012/11/08,2,18,40
2012/11/09,3,18,41
2012/11/10,3,18,41
2012/11/11,3,19,41
2012/11/12,3,19,41
2012/11/13,3,19,38
2012/11/14,3,19,38
2012/11/15,3,19,38
2012/11/16,3,19,40
2012/11/17,3,20,40
2012/11/18,3,19,40
2012/11/19,3,19,38
2012/11/20,3,18,38
2012/11/21,3,18,37
2012/11/22,2,18,36
2012/11/23,2,20,37
2012/11/24,2,21,37
2012/11/25,2,21,38
2012/11/26,2,21,37
2012/11/27,1,21,36
2012/11/28,1,21,36
2012/11/29,1,21,36
2012/11/30,1,21,35
2012/12/01,1,21,38
2012/12/02,2,21,39
2012/12/03,2,22,39
2012/12/04,2,22,39
2012/12/05,2,22,39
2012/12/06,2,22,39
2012/12/07,2,22,38
2012/12/08,2,22,39
2012/12/09,2,22,38
2012/12/10,2,22,38
2012/12/11,2,22,36
2012/12/12,2,23,36
2012/12/13,2,23,37
2012/12/14,2,23,37
2012/12/15,2,23,38
2012/12/16,2,23,37
2012/12/17,3,22,38
2012/12/18,3,22,38
2012/12/19,3,22,39
2012/12/20,2,22,40
2012/12/21,3,22,40
2012/12/22,2,22,40
2012/12/23,3,22,40
2012/12/24,3,22,41
2012/12/25,3,22,38
