date,wowiki (100+),wowiki (5+),wowiki (all)
2012/08/19,1,15,30
2012/08/20,1,15,30
2012/08/21,1,15,30
2012/08/22,1,15,29
2012/08/23,1,16,30
2012/08/24,1,16,29
2012/08/25,2,16,31
2012/08/26,2,15,30
2012/08/27,2,14,31
2012/08/28,2,15,33
2012/08/29,2,15,34
2012/08/30,1,15,34
2012/08/31,1,15,36
2012/09/01,1,15,36
2012/09/02,1,15,36
2012/09/03,1,15,36
2012/09/04,1,14,36
2012/09/05,1,14,36
2012/09/06,1,14,36
2012/09/07,1,15,37
2012/09/08,1,13,38
2012/09/09,1,12,39
2012/09/10,1,12,39
2012/09/11,1,12,39
2012/09/12,1,12,41
2012/09/13,2,12,41
2012/09/14,2,12,41
2012/09/15,2,12,39
2012/09/16,2,12,39
2012/09/17,2,11,39
2012/09/18,2,11,37
2012/09/19,2,11,37
2012/09/20,2,11,37
2012/09/21,2,10,36
2012/09/22,2,10,35
2012/09/23,2,10,35
2012/09/24,2,9,34
2012/09/25,2,10,34
2012/09/26,2,11,34
2012/09/27,2,12,34
2012/09/28,2,12,32
2012/09/29,2,11,31
2012/09/30,2,11,29
2012/10/01,2,11,28
2012/10/02,2,11,29
2012/10/03,2,11,28
2012/10/04,2,11,29
2012/10/05,3,12,27
2012/10/06,2,12,28
2012/10/07,3,12,28
2012/10/08,3,12,27
2012/10/09,3,13,23
2012/10/10,3,15,23
2012/10/11,3,15,23
2012/10/12,3,15,22
2012/10/13,3,15,22
2012/10/14,3,14,23
2012/10/15,3,14,24
2012/10/16,3,15,24
2012/10/17,3,15,24
2012/10/18,3,15,24
2012/10/19,3,15,26
2012/10/20,3,16,27
2012/10/21,3,17,27
2012/10/22,3,18,27
2012/10/23,3,18,28
2012/10/24,3,17,30
2012/10/25,2,16,30
2012/10/26,2,17,32
2012/10/27,2,17,32
2012/10/28,2,18,32
2012/10/29,2,18,32
2012/10/30,2,18,33
2012/10/31,1,17,33
2012/11/01,1,17,32
2012/11/02,1,17,33
2012/11/03,1,17,35
2012/11/04,1,16,35
2012/11/05,1,16,35
2012/11/06,1,17,35
2012/11/07,1,17,35
2012/11/08,1,17,35
2012/11/09,1,17,35
2012/11/10,1,17,36
2012/11/11,2,19,34
2012/11/12,2,20,34
2012/11/13,2,20,34
2012/11/14,2,20,33
2012/11/15,2,19,33
2012/11/16,2,19,34
2012/11/17,2,19,34
2012/11/18,2,18,34
2012/11/19,2,18,32
2012/11/20,2,18,30
2012/11/21,2,18,31
2012/11/22,2,18,30
2012/11/23,2,17,29
2012/11/24,2,18,29
2012/11/25,1,18,29
2012/11/26,1,18,30
2012/11/27,1,18,30
2012/11/28,1,18,31
2012/11/29,1,18,30
2012/11/30,1,18,32
2012/12/01,1,18,34
2012/12/02,1,18,33
2012/12/03,1,18,31
2012/12/04,1,18,31
2012/12/05,1,18,31
2012/12/06,1,18,31
2012/12/07,1,17,31
2012/12/08,1,16,31
2012/12/09,1,16,32
2012/12/10,1,16,33
2012/12/11,1,16,33
2012/12/12,1,16,33
2012/12/13,1,16,34
2012/12/14,1,16,34
2012/12/15,1,15,34
2012/12/16,2,17,35
2012/12/17,2,17,35
2012/12/18,3,17,34
2012/12/19,1,17,34
2012/12/20,1,17,34
2012/12/21,1,17,33
2012/12/22,1,17,33
2012/12/23,1,17,33
2012/12/24,1,17,33
2012/12/25,2,16,32
2012/12/26,2,16,31
2012/12/27,3,16,31
2012/12/28,2,16,33
2012/12/29,2,16,33
2012/12/30,2,16,31
2012/12/31,4,17,31
2013/01/01,2,16,31
2013/01/02,3,16,31
2013/01/03,3,16,33
2013/01/04,2,16,33
2013/01/05,1,16,34
2013/01/06,1,15,34
2013/01/07,1,14,34
2013/01/08,1,14,33
2013/01/09,1,14,31
2013/01/10,1,13,31
2013/01/11,1,13,31
2013/01/12,1,13,31
2013/01/13,1,13,32
2013/01/14,1,13,33
2013/01/15,1,14,32
2013/01/16,1,14,32
2013/01/17,1,14,33
2013/01/18,1,14,34
2013/01/19,1,15,34
2013/01/20,2,15,34
2013/01/21,2,15,33
2013/01/22,2,15,33
2013/01/23,2,15,33
2013/01/24,2,15,33
2013/01/25,2,15,33
2013/01/26,2,16,33
2013/01/27,2,14,32
2013/01/28,2,12,32
2013/01/29,2,12,31
2013/01/30,2,12,30
2013/01/31,2,14,30
2013/02/01,2,14,30
2013/02/02,2,12,29
2013/02/03,2,12,30
2013/02/04,2,12,29
2013/02/05,2,12,30
2013/02/06,2,12,32
2013/02/07,2,12,31
2013/02/08,2,11,31
2013/02/09,1,12,32
2013/02/10,2,14,32
2013/02/11,2,15,32
2013/02/12,2,15,33
2013/02/13,2,15,33
2013/02/14,2,14,32
2013/02/15,2,14,32
2013/02/16,2,13,34
2013/02/17,2,13,33
2013/02/18,2,12,34
2013/02/19,2,12,34
2013/02/20,2,12,33
2013/02/21,2,12,33
2013/02/22,2,12,33
2013/02/23,2,12,33
2013/02/24,2,12,34
2013/02/25,2,12,34
2013/02/26,2,12,33
2013/02/27,2,12,32
2013/02/28,2,13,34
2013/03/01,2,12,32
2013/03/02,2,13,30
2013/03/03,2,13,30
2013/03/04,2,14,32
2013/03/05,2,15,33
2013/03/06,2,15,33
2013/03/07,2,14,32
2013/03/08,3,14,31
2013/03/09,3,14,31
2013/03/10,3,14,31
2013/03/11,3,13,30
2013/03/12,2,13,31
2013/03/13,2,13,31
2013/03/14,2,13,29
2013/03/15,2,13,29
2013/03/16,2,13,27
2013/03/17,2,13,27
2013/03/18,2,13,25
2013/03/19,2,13,25
2013/03/20,1,13,24
2013/03/21,1,13,24
2013/03/22,1,13,25
2013/03/23,1,13,26
2013/03/24,1,13,26
2013/03/25,1,13,26
2013/03/26,1,11,25
2013/03/27,1,11,24
2013/03/28,1,10,23
2013/03/29,1,10,23
2013/03/30,1,10,23
2013/03/31,1,8,23
2013/04/01,1,8,23
2013/04/02,1,8,23
2013/04/03,2,7,21
2013/04/04,2,6,17
2013/04/05,2,5,16
2013/04/06,2,4,12
2013/04/07,2,4,10
2013/04/08,1,4,12
2013/04/09,1,4,12
2013/04/10,1,4,13
2013/04/11,,4,13
2013/04/12,,4,13
2013/04/13,,4,13
2013/04/14,,4,14
2013/04/15,,4,14
2013/04/16,,3,14
2013/04/17,,3,14
2013/04/18,,3,15
2013/04/19,,3,16
2013/04/20,,3,16
2013/04/21,,3,15
2013/04/22,,3,14
2013/04/23,,3,14
2013/04/24,,3,14
2013/04/25,,3,14
2013/04/26,,3,14
2013/04/27,,3,14
2013/04/28,,3,14
2013/04/29,,3,13
2013/04/30,,4,14
2013/05/01,,4,13
2013/05/02,,4,13
2013/05/03,,3,11
2013/05/04,,3,11
2013/05/05,,3,11
2013/05/06,,3,10
2013/05/07,,3,10
2013/05/08,,3,9
2013/05/09,,3,9
2013/05/10,,3,8
2013/05/11,,3,9
2013/05/12,,3,9
2013/05/13,,3,9
2013/05/14,,2,9
2013/05/15,,2,8
2013/05/16,,1,8
2013/05/17,,1,7
2013/05/18,,1,5
2013/05/19,,1,5
2013/05/20,,1,5
2013/05/21,,1,5
2013/05/22,,1,7
2013/05/23,,1,7
2013/05/24,,1,7
2013/05/25,,1,7
2013/05/26,,1,7
2013/05/27,,1,7
2013/05/28,,1,7
2013/05/29,,1,7
2013/05/30,,,7
2013/05/31,,,7
2013/06/01,,,7
2013/06/02,,,6
2013/06/03,,,6
2013/06/04,,,6
2013/06/05,,,6
2013/06/06,,,8
2013/06/07,,,8
2013/06/08,,,8
2013/06/09,,,9
2013/06/10,,,9
2013/06/11,,,9
2013/06/12,,,10
2013/06/13,,,10
2013/06/14,,,10
2013/06/15,,,10
2013/06/16,,,11
2013/06/17,,,11
2013/06/18,,,10
2013/06/19,,,11
2013/06/20,,,11
2013/06/21,,1,10
2013/06/22,,1,9
2013/06/23,,1,10
2013/06/24,,1,10
2013/06/25,,1,10
2013/06/26,,1,11
2013/06/27,,1,11
2013/06/28,,1,12
2013/06/29,,1,12
2013/06/30,,1,12
2013/07/01,,1,12
2013/07/02,,1,13
2013/07/03,,1,13
2013/07/04,,1,13
2013/07/05,,1,13
2013/07/06,,1,11
2013/07/07,,1,11
2013/07/08,,1,10
