date,sowiki (100+),sowiki (5+),sowiki (all)
2012/08/19,3,29,63
2012/08/20,3,28,62
2012/08/21,3,28,63
2012/08/22,3,27,64
2012/08/23,3,28,65
2012/08/24,3,28,65
2012/08/25,3,29,67
2012/08/26,3,28,69
2012/08/27,3,29,69
2012/08/28,3,29,68
2012/08/29,3,27,69
2012/08/30,3,28,70
2012/08/31,3,28,71
2012/09/01,3,29,72
2012/09/02,3,32,73
2012/09/03,3,32,72
2012/09/04,3,29,70
2012/09/05,3,29,72
2012/09/06,3,29,73
2012/09/07,3,28,71
2012/09/08,3,28,71
2012/09/09,4,28,70
2012/09/10,4,28,69
2012/09/11,4,30,69
2012/09/12,4,29,71
2012/09/13,4,28,73
2012/09/14,4,30,73
2012/09/15,4,31,71
2012/09/16,4,30,73
2012/09/17,4,30,71
2012/09/18,4,29,68
2012/09/19,4,29,69
2012/09/20,4,29,69
2012/09/21,4,29,67
2012/09/22,4,29,68
2012/09/23,4,29,69
2012/09/24,4,29,66
2012/09/25,4,30,67
2012/09/26,4,28,68
2012/09/27,4,28,68
2012/09/28,4,25,69
2012/09/29,4,25,66
2012/09/30,4,25,63
2012/10/01,4,24,63
2012/10/02,4,24,63
2012/10/03,4,25,63
2012/10/04,4,24,63
2012/10/05,4,24,62
2012/10/06,4,25,60
2012/10/07,4,25,59
2012/10/08,4,25,59
2012/10/09,4,26,59
2012/10/10,4,26,60
2012/10/11,4,26,62
2012/10/12,4,25,60
2012/10/13,4,25,59
2012/10/14,4,25,58
2012/10/15,3,26,60
2012/10/16,3,27,62
2012/10/17,3,27,62
2012/10/18,3,27,60
2012/10/19,4,26,62
2012/10/20,4,26,63
2012/10/21,4,26,61
2012/10/22,4,26,61
2012/10/23,4,26,62
2012/10/24,4,26,63
2012/10/25,4,26,63
2012/10/26,4,26,65
2012/10/27,4,26,65
2012/10/28,4,29,65
2012/10/29,4,31,68
2012/10/30,5,31,68
2012/10/31,5,31,67
2012/11/01,5,30,67
2012/11/02,5,29,68
2012/11/03,6,29,68
2012/11/04,6,28,67
2012/11/05,6,27,65
2012/11/06,6,27,66
2012/11/07,5,27,65
2012/11/08,5,27,63
2012/11/09,4,27,62
2012/11/10,5,27,62
2012/11/11,5,26,61
2012/11/12,4,25,60
2012/11/13,4,26,59
2012/11/14,4,26,58
2012/11/15,3,24,55
2012/11/16,3,24,58
2012/11/17,3,24,56
2012/11/18,3,24,56
2012/11/19,3,24,55
2012/11/20,3,23,55
2012/11/21,3,24,57
2012/11/22,4,24,56
2012/11/23,4,26,58
2012/11/24,4,27,58
2012/11/25,3,28,55
2012/11/26,3,28,54
2012/11/27,3,28,56
2012/11/28,3,26,54
2012/11/29,2,25,53
2012/11/30,2,25,54
2012/12/01,2,25,53
2012/12/02,3,26,52
2012/12/03,3,29,50
2012/12/04,3,30,51
2012/12/05,3,30,51
2012/12/06,3,30,54
2012/12/07,3,30,55
2012/12/08,3,29,57
2012/12/09,3,30,57
2012/12/10,3,31,58
2012/12/11,3,32,61
2012/12/12,3,30,61
2012/12/13,4,30,64
2012/12/14,4,34,67
2012/12/15,4,35,69
2012/12/16,4,34,67
2012/12/17,4,33,68
2012/12/18,4,33,72
2012/12/19,5,33,73
2012/12/20,4,33,71
2012/12/21,4,33,70
2012/12/22,4,34,72
2012/12/23,4,33,73
2012/12/24,4,33,73
2012/12/25,4,33,75
2012/12/26,4,33,76
2012/12/27,4,32,78
2012/12/28,4,34,80
2012/12/29,4,36,81
2012/12/30,4,36,83
2012/12/31,5,36,82
2013/01/01,6,36,82
2013/01/02,6,36,81
2013/01/03,6,35,83
2013/01/04,6,37,84
2013/01/05,6,37,83
2013/01/06,6,37,85
2013/01/07,6,37,84
2013/01/08,6,38,85
2013/01/09,6,37,83
2013/01/10,6,38,82
2013/01/11,6,39,83
2013/01/12,6,39,86
2013/01/13,6,38,84
2013/01/14,6,35,85
2013/01/15,5,35,85
2013/01/16,5,35,88
2013/01/17,5,36,86
2013/01/18,5,36,84
2013/01/19,5,37,85
2013/01/20,5,36,87
2013/01/21,5,36,84
2013/01/22,5,36,84
2013/01/23,5,36,84
2013/01/24,5,36,84
2013/01/25,5,38,83
2013/01/26,5,37,81
2013/01/27,5,37,81
2013/01/28,4,35,81
2013/01/29,3,37,79
2013/01/30,3,36,77
2013/01/31,3,34,79
2013/02/01,3,33,80
2013/02/02,3,34,76
2013/02/03,3,32,75
2013/02/04,3,32,73
2013/02/05,3,33,74
2013/02/06,3,33,74
2013/02/07,3,33,71
2013/02/08,3,32,72
2013/02/09,4,31,70
2013/02/10,4,32,71
2013/02/11,4,32,70
2013/02/12,4,32,69
2013/02/13,4,33,68
2013/02/14,4,32,69
2013/02/15,4,33,67
2013/02/16,4,33,68
2013/02/17,4,34,69
2013/02/18,4,32,68
2013/02/19,4,32,67
2013/02/20,4,33,69
2013/02/21,4,33,68
2013/02/22,4,33,68
2013/02/23,4,33,68
2013/02/24,4,32,69
2013/02/25,4,32,67
2013/02/26,4,32,67
2013/02/27,4,32,67
2013/02/28,4,31,66
2013/03/01,4,31,66
2013/03/02,4,29,63
2013/03/03,4,31,60
2013/03/04,4,29,63
2013/03/05,4,29,62
2013/03/06,4,29,63
2013/03/07,4,28,62
2013/03/08,5,29,61
2013/03/09,5,27,63
2013/03/10,5,26,63
2013/03/11,4,25,61
2013/03/12,6,21,60
2013/03/13,6,22,62
2013/03/14,6,21,62
